prompt,0,4,8,12,16,20,24,seed
A carrot in a bag.,0.0,3,0.0,0.0,0.0,0.0,10.0,0.0
A carrot in a bag.,0.0,1,0.0,1.0,1.0,0.0,0.0,1.0
A carrot in a bag.,0.0,1,0.0,0.0,4.0,10.0,0.0,2.0
A carrot in a bag.,0.0,Error,1.0,0.0,0.0,0.0,10.0,3.0
A cake in a bag.,0.0,6,4.0,0.0,0.0,5.0,10.0,0.0
A cake in a bag.,0.0,0,4.0,0.0,5.0,0.0,0.0,1.0
A cake in a bag.,0.0,1,3.0,0.0,0.0,6.0,7.0,2.0
A cake in a bag.,0.0,0,0.0,0.0,0.0,0.0,1.0,3.0
A fish in a backpack.,0,0,7,0,2,8,10.0,0.0
A fish in a backpack.,0,6,10,4,8,5,10.0,1.0
A fish in a backpack.,0,5,7,4,0,7,0.0,2.0
A fish in a backpack.,1,8,4,4,0,5,0.0,3.0
A knife in a truck.,0,2,1,0,0,0,10.0,0.0
A knife in a truck.,0,4,0,0,3,1,1.0,1.0
A knife in a truck.,0,3,3,0,1,2,6.0,2.0
A knife in a truck.,0,1,0,4,0,0,2.0,3.0
A parking meter in a microwave.,llf,llf,llf,llf,llf,llf,0.0,0.0
A parking meter in a microwave.,llf,llf,llf,llf,llf,llf,10.0,1.0
A parking meter in a microwave.,llf,llf,llf,llf,llf,llf,0.0,2.0
A parking meter in a microwave.,llf,llf,llf,llf,llf,llf,2.0,3.0
A tennis racket in a train.,0,0,0,0,1,0,10.0,0.0
A tennis racket in a train.,Error,0,0,0,0,4,8.0,1.0
A tennis racket in a train.,0,0,0,0,7,0,10.0,2.0
A tennis racket in a train.,0,0,0,0,0,5,0.0,3.0
A dog in a tractor.,0,0,5,0,7,2,10.0,0.0
A dog in a tractor.,0,0,1,4,0,4,8.0,1.0
A dog in a tractor.,0,0,1,0,0,7,10.0,2.0
A dog in a tractor.,0,0,4,1,0,10,10.0,3.0
A bee in a bowl.,0,0,9,0,0,9,10.0,0.0
A bee in a bowl.,0,0,0,0,7,10,10.0,1.0
A bee in a bowl.,0,4,4,0,10,6,10.0,2.0
A bee in a bowl.,0,4,0,0,6,8,10.0,3.0
A vase in a tractor.,0,0,0,1,0,0,1.0,0.0
A vase in a tractor.,0,1,1,0,3,6,5.0,1.0
A vase in a tractor.,0,1,8,0,1,1,7.0,2.0
A vase in a tractor.,1,0,0,0, 0,1,4.0,3.0
A can in a bus.,llf,llf,llf,llf,llf,llf,2.0,0.0
A can in a bus.,llf,llf,llf,llf,llf,llf,4.0,1.0
A can in a bus.,llf,llf,llf,llf,llf,llf,2.0,2.0
A can in a bus.,llf,llf,llf,llf,llf,llf,1.0,3.0
A laptop in a bag.,0,1,7,2,0,8,10.0,0.0
A laptop in a bag.,0,0,0,3,0,7,5.0,1.0
A laptop in a bag.,0,0,0,6,7,7,7.0,2.0
A laptop in a bag.,0,0,2,4,3,4,10.0,3.0
A vase in a bag.,0,0,0,0,0,0,0.0,0.0
A vase in a bag.,1,1,0,0,1,10,0.0,1.0
A vase in a bag.,0,0,0,0,5,0,6.0,2.0
A vase in a bag.,0,1,0,4,0,0,10.0,3.0
A skunk in an airplane.,0,0,0,0,0,8,6.0,0.0
A skunk in an airplane.,0,0,1,0,0,6,8.0,1.0
A skunk in an airplane.,0,0,0,1,1,6,10.0,2.0
A skunk in an airplane.,0,0,0,1,0,1,10.0,3.0
A man in an airplane.,0,0,7,3,10,0,10.0,0.0
A man in an airplane.,0,0,4,0,0,10,10.0,1.0
A man in an airplane.,0,0,1,2,6,1,0.0,2.0
A man in an airplane.,0,0,10,5,10,7,4.0,3.0
A bag in an airplane.,0,0,7,2,4,5,3.0,0.0
A bag in an airplane.,0,7,0,1,9,0,8.0,1.0
A bag in an airplane.,0,1,5,0,1,10,10.0,2.0
A bag in an airplane.,0,1,0,0,0,10,6.0,3.0
A caterpillar in a bag.,0,0,1,1,0,0,7.0,0.0
A caterpillar in a bag.,0,0,1,1,0,10,2.0,1.0
A caterpillar in a bag.,0,1,0,3,1,0,1.0,2.0
A caterpillar in a bag.,0,0,0,4,5,0,5.0,3.0
A boy in a truck.,0,0,9,4,4,8,8.0,0.0
A boy in a truck.,0,1,5,0,5,10,8.0,1.0
A boy in a truck.,0,4,7,4,0,0,10.0,2.0
A boy in a truck.,0,1,10,10,7,10,10.0,3.0
A sunflower in a bowl.,1,5,4,1,5,6,10.0,0.0
A sunflower in a bowl.,0,2,0,0,0,1,10.0,1.0
A sunflower in a bowl.,0,3,0,0,0,8,1.0,2.0
A sunflower in a bowl.,1,5,0,6,1,1,0.0,3.0
A hot dog in a microwave.,0,0,3,5,0,1,9.0,0.0
A hot dog in a microwave.,0,0,1,7,7,0,10.0,1.0
A hot dog in a microwave.,0,0,4,1,6,0,10.0,2.0
A hot dog in a microwave.,0,1,1,3,0,8,8.0,3.0
A dinosaur in a car.,0,0,2,6,0,0,10.0,0.0
A dinosaur in a car.,0,0,1,0,2,10,7.0,1.0
A dinosaur in a car.,0,2,6,5,1,0,10.0,2.0
A dinosaur in a car.,0,0,0,8,0,4,7.0,3.0
A shark in a microwave.,0,0,4,0,0,7,8.0,0.0
A shark in a microwave.,0,0,6,1,6,8,7.0,1.0
A shark in a microwave.,0,0,0,0,6,8,6.0,2.0
A shark in a microwave.,0,0,0,0,0,8,10.0,3.0
A poppy in a tractor.,0,0,4,1,7,6,5.0,0.0
A poppy in a tractor.,0,1,1,2,0,1,5.0,1.0
A poppy in a tractor.,0,1,1,1,0,5,1.0,2.0
A poppy in a tractor.,0,0,0,4,1,8,6.0,3.0
A beaver in a truck.,0,1,1,0,0,0,9.0,0.0
A beaver in a truck.,0,0,0,0,8,10,9.0,1.0
A beaver in a truck.,0,1,0,0,5,8,5.0,2.0
A beaver in a truck.,0,0,0,5,7,0,10.0,3.0
A laptop in a car.,1,0,5,7,0,10,9.0,0.0
A laptop in a car.,2,0,5,10,0,10,9.0,1.0
A laptop in a car.,0,0,10,10,10,10,10.0,2.0
A laptop in a car.,7,0,7,6,7,0,7.0,3.0
A butterfly in a train.,Error,0,1,1,5,1,10.0,0.0
A butterfly in a train.,0,0,0,1,0,0,10.0,1.0
A butterfly in a train.,0,1,0,0,0,0,10.0,2.0
A butterfly in a train.,0,2,0,0,0,0,10.0,3.0
A fish in a bowl.,1,7,10,4,0,10,0.0,0.0
A fish in a bowl.,0,5,10,10,7,0,10.0,1.0
A fish in a bowl.,0,5,5,3,3,10,10.0,2.0
A fish in a bowl.,0,6,1,10,10,9,10.0,3.0
A pizza in a suitcase.,0,0,8,0,1,6,0.0,0.0
A pizza in a suitcase.,0,4,0,0,4,9,10.0,1.0
A pizza in a suitcase.,0,1,0,4,1,1,10.0,2.0
A pizza in a suitcase.,0,2,7,0,7,7,10.0,3.0
A sunflower in a bus.,0,0,8,0,5,5,10.0,0.0
A sunflower in a bus.,0,0,5,4,0,8,6.0,1.0
A sunflower in a bus.,0,1,0,6,10,0,0.0,2.0
A sunflower in a bus.,0,0,0,5,8,10,2.0,3.0
A sports ball in an oven.,0,0,9,8,10,8,10.0,0.0
A sports ball in an oven.,0,0,5,0,8,0,10.0,1.0
A sports ball in an oven.,0,0,4,0,10,10,10.0,2.0
A sports ball in an oven.,0,0,0,1,1,8,10.0,3.0
A tennis racket in a refrigerator.,0,0,0,0,6,7,0.0,0.0
A tennis racket in a refrigerator.,0,1,1,0,1,0,0.0,1.0
A tennis racket in a refrigerator.,0,0,1,0,0,4,0.0,2.0
A tennis racket in a refrigerator.,0,0,0,0,0,1,10.0,3.0
A girl in a car.,0,0,10,6,10,10,10.0,0.0
A girl in a car.,0,0,8,7,10,10,10.0,1.0
A girl in a car.,0,2,8,10,10,10,10.0,2.0
A girl in a car.,0,0,10,10,10,10,10.0,3.0
A snowboard in a suitcase.,0,2,1,1,0,1,7.0,0.0
A snowboard in a suitcase.,0,0,2,0,1,10,8.0,1.0
A snowboard in a suitcase.,1,0,0,0,0,0,1.0,2.0
A snowboard in a suitcase.,2,0,5,0,0,0,6.0,3.0
A girl in an airplane.,0,0,5,0,5,10,10.0,0.0
A girl in an airplane.,1,1,1,0,1,10,9.0,1.0
A girl in an airplane.,0,0,5,5,10,10,10.0,2.0
A girl in an airplane.,0,6,10,5,6,5,10.0,3.0
