prompt,3,7,11,15,19,23,seed
A photo of an Aye-aye.,0,0,0,8,10,10,0
A photo of an Aye-aye.,1,0,1,10,7,9,1
A photo of an Aye-aye.,0,0,0,8,10,10,2
A photo of an Aye-aye.,2,0,0,7,10,10,3
A photo of a Dik-dik.,0,4,0,8,10,10,0
A photo of a Dik-dik.,0,0,2,10,10,10,1
A photo of a Dik-dik.,2,0,0,1,10,10,2
A photo of a Dik-dik.,0,0,0,7,10,10,3
A photo of a Tarsier.,0,0,3,10,10,10,0
A photo of a Tarsier.,2,0,6,10,10,10,1
A photo of a Tarsier.,0,0,10,8,10,10,2
A photo of a Tarsier.,0,2,0,10,10,10,3
A photo of a Gerenuk.,0,0,7,8,8,10,0
A photo of a Gerenuk.,2,0,0,10,10,10,1
A photo of a Gerenuk.,0,0,1,0,10,10,2
A photo of a Gerenuk.,0,1,4,0,10,10,3
A photo of a Jerboa.,2,0,8,10,10,10,0
A photo of a Jerboa.,1,2,2,0,8,10,1
A photo of a Jerboa.,1,10,0,10,7,10,2
A photo of a Jerboa.,0,7,7,10,7,10,3
A photo of a Babirusa.,0,0,3,8,10,10,0
A photo of a Babirusa.,1,0,7,8,8,10,1
A photo of a Babirusa.,1,0,0,10,7,10,2
A photo of a Babirusa.,1,0,10,10,10,10,3
A photo of a Saola.,0,0,0,8,9,10,0
A photo of a Saola.,0,0,1,0,10,10,1
A photo of a Saola.,0,0,0,2,8,7,2
A photo of a Saola.,0,1,2,7,10,10,3
A photo of a Galago.,0,0,7,10,10,10,0
A photo of a Galago.,0,0,2,7,10,10,1
A photo of a Galago.,0,0,0,10,10,10,2
A photo of a Galago.,1,0,0,8,10,10,3
A photo of a Vervet.,0,1,0,0,10,10,0
A photo of a Vervet.,0,0,7,4,8,10,1
A photo of a Vervet.,0,0,0,8,10,8,2
A photo of a Vervet.,0,0,0,8,5,10,3
A photo of a guppy.,0,2,7,10,10,10,0
A photo of a guppy.,5,3,8,10,10,10,1
A photo of a guppy.,5,1,10,7,8,10,2
A photo of a guppy.,1,4,10,8,8,10,3
A photo of a Celestial Pearl Danio.,1,1,10,9,10,9,0
