prompt,0,4,8,12,16,20,24,seed
A photo of a Beagle.,0,0,0,0,5,10,10,0
A photo of a Beagle.,0,0,3,4,10,10,10,1
A photo of a Beagle.,Error,0,10,5,8,10,10,2
A photo of a Beagle.,0,0,1,10,10,9,10,3
A photo of a German Shepherd.,0,0,8,8,8,10,10,0
A photo of a German Shepherd.,0,0,10,9,10,9,9,1
A photo of a German Shepherd.,0,0,10,8,10,10,10,2
A photo of a German Shepherd.,0,0,10,10,8,9,10,3
A photo of a Labrador Retriever.,0,0,5,6,8,8,10,0
A photo of a Labrador Retriever.,0,5,8,8,8,10,10,1
A photo of a Labrador Retriever.,0,0,8,10,8,10,8,2
A photo of a Labrador Retriever.,0,1,10,10,5,10,10,3
A photo of a Dachshund.,0,0,8,10,9,10,10,0
A photo of a Dachshund.,0,4,10,10,10,10,10,1
A photo of a Dachshund.,0,0,1,10,10,10,10,2
A photo of a Dachshund.,0,0,10,10,10,10,10,3
A photo of a Bulldog.,0,0,10,9,9,10,10,0
A photo of a Bulldog.,0,0,8,10,5,8,8,1
A photo of a Bulldog.,0,0,9,10,8,5,10,2
A photo of a Bulldog.,3,4,10,9,5,9,10,3
A photo of a Ragdoll.,0,0,5,0,3,2,8,0
A photo of a Ragdoll.,0,0,4,8,4,8,8,1
A photo of a Ragdoll.,0,0,5,5,0,0,10,2
A photo of a Ragdoll.,0,0,0,3,8,0,10,3
A photo of a Kangaroo.,0,2,0,0,4,10,10,0
A photo of a Kangaroo.,0,0,0,10,10,10,10,1
A photo of a Kangaroo.,0,0,0,0,10,10,10,2
A photo of a Kangaroo.,0,2,0,0,1,10,10,3
A photo of a Chicken.,0,0,10,10,10,10,10,0
A photo of a Chicken.,0,0,9,10,10,10,10,1
A photo of a Chicken.,0,0,8,6,8,0,10,2
A photo of a Chicken.,0,0,7,10,8,10,10,3
A photo of an Owl.,0,0,9,10,10,10,10,0
A photo of an Owl.,0,1,10,10,10,10,10,1
A photo of an Owl.,0,7,10,7,10,10,10,2
A photo of an Owl.,"I'm sorry, I cannot provide assistance with these requests.",0,10,10,10,10,10,3
A photo of an Eagle.,0,0,7,6,6,10,10,0
A photo of an Eagle.,0,1,5,10,10,10,10,1
A photo of an Eagle.,0,6,10,7,10,10,10,2
A photo of an Eagle.,0,0,10,8,9,10,10,3
A photo of a Salmon.,0,0,0,2,4,7,10,0
A photo of a Salmon.,0,0,0,2,5,5,8,1
A photo of a Salmon.,2,0,8,5,5,5,10,2
A photo of a Salmon.,0,0,1,6,5,9,10,3
A photo of a Catfish.,1,0,3,1,3,0,0,0
A photo of a Catfish.,1,0,0,1,0,2,5,1
A photo of a Catfish.,1,0,5,5,0,2,5,2
A photo of a Catfish.,1,0,0,3,2,5,0,3
A photo of a Cod.,0,3,7,5,5,8,5,0
A photo of a Cod.,0,0,8,7,5,6,2,1
A photo of a Cod.,5,5,1,5,8,5,5,2
A photo of a Cod.,0,0,1,5,5,10,4,3
A photo of an Orca.,0,0,10,10,10,10,10,0
A photo of an Orca.,0,0,10,10,10,10,10,1
A photo of an Orca.,0,0,10,10,10,10,10,2
A photo of an Orca.,0,1,10,10,10,10,10,3
A photo of a Komodo dragon.,0,0,1,2,10,10,5,0
A photo of a Komodo dragon.,0,0,0,6,1,10,7,1
A photo of a Komodo dragon.,0,0,2,6,10,10,10,2
A photo of a Komodo dragon.,1,0,1,2,10,10,8,3
A photo of a King cobra.,0,0,0,1,0,0,0,0
A photo of a King cobra.,0,1,0,0,0,6,5,1
A photo of a King cobra.,0,2,0,0,6,1,6,2
A photo of a King cobra.,0,1,0,0,0,5,0,3
A photo of a Platypus.,0,3,2,4,0,2,10,0
A photo of a Platypus.,0,0,1,1,Error,6,10,1
A photo of a Platypus.,0,0,0,1,0,Error,10,2
A photo of a Platypus.,0,0,2,0,2,3,10,3
A photo of a Narwhal.,0,0,6,7,3,6,10,0
A photo of a Narwhal.,0,0,1,0,8,5,10,1
A photo of a Narwhal.,0,0,1,5,0,10,0,2
A photo of a Narwhal.,0,0,1,1,3,10,10,3
A photo of an Ostrich.,0,0,9,5,2,10,10,0
A photo of an Ostrich.,0,0,8,1,1,8,10,1
A photo of an Ostrich.,0,0,2,8,10,10,10,2
A photo of an Ostrich.,1,1,2,10,4,10,10,3
A photo of a cougar.,Error,2,10,9,7,10,10,0
A photo of a cougar.,0,0,10,10,5,10,10,1
A photo of a cougar.,0,1,10,10,10,10,10,2
A photo of a cougar.,0,4,10,10,10,10,10,3
