prompt,3,7,11,15,19,23,seed
Many different colorful flowers are on a table.,0,6,6,7,10,10,0
Many different colorful flowers are on a table.,2,9,5,10,9,10,1
Many different colorful flowers are on a table.,0,9,8,10,10,10,2
Many different colorful flowers are on a table.,1,3,6,6,7,10,3
A few different animals are in the wild.,0,0,6,5,8,8,0
A few different animals are in the wild.,0,0,0,6,5,10,1
A few different animals are in the wild.,1,1,0,0,6,9,2
A few different animals are in the wild.,0,0,2,0,2,7,3
a white stove is next to a window,2,7,6,10,0,7,0
a white stove is next to a window,0,8,7,8,1,10,1
a white stove is next to a window,5,0,7,6,3,0,2
a white stove is next to a window,0,0,10,8,10,10,3
A rectangular shaped pizza is on a wooden board.,2,0,10,8,10,10,0
A rectangular shaped pizza is on a wooden board.,0,8,10,10,10,10,1
A rectangular shaped pizza is on a wooden board.,4,2,6,6,10,10,2
A rectangular shaped pizza is on a wooden board.,0,1,7,8,10,10,3
"A slim, modern fridge is next to some clean, sleek cabinets. ",4,5,10,8,10,10,0
"A slim, modern fridge is next to some clean, sleek cabinets. ",2,10,8,10,10,10,1
"A slim, modern fridge is next to some clean, sleek cabinets. ",4,8,10,10,8,10,2
"A slim, modern fridge is next to some clean, sleek cabinets. ",3,10,10,10,10,10,3
Apples of green and red are in white baskets.,0,0,10,10,10,10,0
Apples of green and red are in white baskets.,2,9,10,8,10,10,1
Apples of green and red are in white baskets.,4,5,8,7,10,10,2
Apples of green and red are in white baskets.,2,0,10,8,9,10,3
A large empty silver kitchen is under construction.,6,8,8,7,8,3,0
A large empty silver kitchen is under construction.,5,8,9,7,5,4,1
A large empty silver kitchen is under construction.,6,8,7,5,4,5,2
A large empty silver kitchen is under construction.,7,7,10,9,10,4,3
The young boy is on the boat navigating it.,0,3,6,5,10,10,0
The young boy is on the boat navigating it.,0,5,5,7,10,10,1
The young boy is on the boat navigating it.,5,6,8,5,10,10,2
The young boy is on the boat navigating it.,0,8,10,8,8,10,3
Three brown bananas are by a measuring glass.,0,0,10,10,8,10,0
Three brown bananas are by a measuring glass.,0,0,9,10,10,10,1
Three brown bananas are by a measuring glass.,0,3,6,7,7,8,2
Three brown bananas are by a measuring glass.,0,5,6,10,10,9,3
a clock is on a white tower outside,0,8,10,10,10,10,0
a clock is on a white tower outside,10,10,9,10,10,10,1
a clock is on a white tower outside,0,10,10,10,9,10,2
a clock is on a white tower outside,0,8,10,10,10,10,3
The dog is on the leash walking outside.,6,8,10,10,10,10,0
The dog is on the leash walking outside.,6,7,8,8,8,10,1
The dog is on the leash walking outside.,0,5,6,10,10,10,2
The dog is on the leash walking outside.,3,8,10,10,10,10,3
a large bed is in a white room,6,0,7,10,0,8,0
a large bed is in a white room,7,7,8,9,10,8,1
a large bed is in a white room,6,9,7,9,0,9,2
a large bed is in a white room,6,7,8,10,8,8,3
Several zebras are in an open grassy field.,0,4,8,8,8,10,0
Several zebras are in an open grassy field.,2,0,9,8,10,8,1
Several zebras are in an open grassy field.,8,7,8,8,8,10,2
Several zebras are in an open grassy field.,0,8,9,8,8,10,3
An airplane is in a yellow and blue sky.,3,0,9,10,10,10,0
An airplane is in a yellow and blue sky.,4,0,10,10,9,10,1
An airplane is in a yellow and blue sky.,0,10,10,10,10,10,2
An airplane is in a yellow and blue sky.,2,8,10,10,10,8,3
Two little white boxes are on a mat.,0,5,8,6,9,7,0
Two little white boxes are on a mat.,4,4,5,0,6,8,1
Two little white boxes are on a mat.,4,6,5,8,6,8,2
Two little white boxes are on a mat.,2,6,6,5,8,8,3
The zebra is in the field standing all alone.,0,8,10,8,8,8,0
The zebra is in the field standing all alone.,0,8,10,10,8,10,1
The zebra is in the field standing all alone.,3,7,10,10,9,10,2
The zebra is in the field standing all alone.,0,8,8,10,7,10,3
many different tools are on different wooden shelves,7,6,9,10,10,10,0
many different tools are on different wooden shelves,5,8,8,10,10,9,1
many different tools are on different wooden shelves,0,6,6,10,10,8,2
many different tools are on different wooden shelves,5,5,10,8,9,9,3
The cloudy sky is above the grassy land.,0,7,7,5,8,8,0
The cloudy sky is above the grassy land.,0,0,3,0,6,8,1
The cloudy sky is above the grassy land.,5,0,8,10,8,10,2
The cloudy sky is above the grassy land.,5,7,0,8,7,7,3
A few people are in the ocean splashing around.,0,8,7,10,10,10,0
A few people are in the ocean splashing around.,4,10,9,10,10,8,1
A few people are in the ocean splashing around.,5,10,8,8,10,10,2
A few people are in the ocean splashing around.,1,0,10,8,10,10,3
The suitcases are on the ramp waiting to get picked up.,0,8,10,10,9,8,0
The suitcases are on the ramp waiting to get picked up.,5,5,7,10,10,6,1
The suitcases are on the ramp waiting to get picked up.,8,5,10,8,10,10,2
The suitcases are on the ramp waiting to get picked up.,5,6,8,10,8,8,3
The pretty colored cookies are on the table.,5,8,6,8,8,10,0
The pretty colored cookies are on the table.,5,6,10,8,8,10,1
The pretty colored cookies are on the table.,4,4,8,10,10,10,2
The pretty colored cookies are on the table.,6,0,6,10,10,10,3
A man is next to a blue and yellow train.,0,10,10,0,0,0,0
A man is next to a blue and yellow train.,4,5,10,8,8,10,1
A man is next to a blue and yellow train.,5,10,7,0,10,10,2
A man is next to a blue and yellow train.,0,10,10,0,10,10,3
