prompt,0,4,8,12,16,20,24,seed
A donut on a suitcase.,1,8,8,0,4,10,10,0
A donut on a suitcase.,0,0,7,0,2,0,10,1
A donut on a suitcase.,0,0,10,7,5,8,10,2
A donut on a suitcase.,0,6,6,8,8,10,10,3
A telephone on a refrigerator.,0,5,7,1,0,8,0,0
A telephone on a refrigerator.,0,5,10,8,0,8,7,1
A telephone on a refrigerator.,0,0,1,1,5,7,1,2
A telephone on a refrigerator.,0,1,0,0,1,8,4,3
A bottle on a tractor.,0,5,8,4,1,10,7,0
A bottle on a tractor.,0,0,8,2,8,8,8,1
A bottle on a tractor.,0,1,10,7,0,0,10,2
A bottle on a tractor.,0,0,8,5,7,10,8,3
A cake on a mountain.,0,6,10,7,0,0,10,0
A cake on a mountain.,0,8,7,0,0,7,7,1
A cake on a mountain.,5,8,10,10,0,5,10,2
A cake on a mountain.,0,0,7,8,0,0,4,3
A book on a bed.,0,10,7,0,2,10,10,0
A book on a bed.,0,0,1,3,10,10,10,1
A book on a bed.,10,5,10,1,0,10,10,2
A book on a bed.,5,0,10,4,8,10,10,3
A surfboard on a pickup truck.,0,5,7,8,4,10,8,0
A surfboard on a pickup truck.,0,4,0,8,10,8,7,1
A surfboard on a pickup truck.,1,5,9,6,0,8,10,2
A surfboard on a pickup truck.,0,6,8,0,5,8,10,3
A leopard on a tank.,8,0,0,0,0,0,10,0
A leopard on a tank.,5,0,0,0,0,0,0,1
A leopard on a tank.,10,0,0,0,0,0,2,2
A leopard on a tank.,10,5,4,0,0,0,10,3
A zebra on a bridge.,0,5,0,0,8,10,9,0
A zebra on a bridge.,0,0,0,0,5,8,10,1
A zebra on a bridge.,0,5,0,0,0,0,10,2
A zebra on a bridge.,0,5,0,0,0,10,9,3
A kite on a mountain.,5,4,4,5,5,7,7,0
A kite on a mountain.,1,4,8,4,7,6,8,1
A kite on a mountain.,0,5,7,8,7,7,8,2
A kite on a mountain.,0,0,8,8,8,10,10,3
A kangaroo on a suitcase.,0,5,0,0,6,10,10,0
A kangaroo on a suitcase.,0,0,7,1,7,0,10,1
A kangaroo on a suitcase.,0,0,5,7,0,10,8,2
A kangaroo on a suitcase.,0,1,0,8,4,8,10,3
A mushroom on a cloud.,4,4,8,10,6,7,10,0
A mushroom on a cloud.,2,8,10,8,5,10,10,1
A mushroom on a cloud.,0,8,8,0,0,10,10,2
A mushroom on a cloud.,4,0,10,10,5,7,10,3
A teddy bear on a road.,0,8,10,0,6,10,10,0
A teddy bear on a road.,0,5,6,0,10,10,10,1
A teddy bear on a road.,10,8,10,1,10,10,10,2
A teddy bear on a road.,10,6,10,10,10,10,10,3
A bee on a surfboard.,1,5,10,10,8,8,10,0
A bee on a surfboard.,1,4,10,10,8,8,10,1
A bee on a surfboard.,0,0,8,10,8,10,7,2
A bee on a surfboard.,0,5,10,10,10,10,10,3
An apple on a leopard.,0,0,10,0,10,10,7,0
An apple on a leopard.,0,4,4,0,8,10,10,1
An apple on a leopard.,0,0,5,5,10,10,10,2
An apple on a leopard.,0,2,10,10,8,10,0,3
A cup on a table.,0,0,10,0,10,10,10,0
A cup on a table.,5,5,10,5,10,10,10,1
A cup on a table.,0,7,10,10,10,10,10,2
A cup on a table.,10,10,10,10,10,10,10,3
A laptop on a bridge.,0,0,0,8,0,7,7,0
A laptop on a bridge.,0,0,5,3,6,10,10,1
A laptop on a bridge.,0,0,7,5,10,8,10,2
A laptop on a bridge.,0,0,8,0,8,8,10,3
A fox on a boat.,0,0,5,4,10,10,10,0
A fox on a boat.,5,8,7,8,8,10,10,1
A fox on a boat.,1,0,10,7,8,10,10,2
A fox on a boat.,0,0,7,10,8,10,10,3
A banana on a leopard.,0,6,10,6,10,0,0,0
A banana on a leopard.,0,1,8,9,10,10,10,1
A banana on a leopard.,0,1,10,0,10,7,7,2
A banana on a leopard.,0,0,10,8,0,5,9,3
A baseball glove on a cloud.,1,5,0,Error,8,8,0,0
A baseball glove on a cloud.,0,4,8,0,0,8,0,1
A baseball glove on a cloud.,1,4,5,0,0,7,9,2
A baseball glove on a cloud.,5,0,0,0,5,10,10,3
A rose on a whale.,1,Error,0,8,0,0,7,0
A rose on a whale.,0,0,0,0,0,0,10,1
A rose on a whale.,7,5,10,0,0,6,10,2
A rose on a whale.,0,0,10,0,8,1,8,3
A caterpillar on a bridge.,llf,llf,llf,llf,llf,llf,10,0
A caterpillar on a bridge.,llf,llf,llf,llf,llf,llf,8,1
A caterpillar on a bridge.,llf,llf,llf,llf,llf,llf,10,2
A caterpillar on a bridge.,llf,llf,llf,llf,llf,llf,5,3
A kangaroo on a cloud.,0,0,10,0,10,10,8,0
A kangaroo on a cloud.,0,1,8,5,7,7,10,1
A kangaroo on a cloud.,0,0,8,0,8,10,10,2
A kangaroo on a cloud.,0,0,10,7,10,7,10,3
A lion on a leopard.,10,0,5,6,10,5,9,0
A lion on a leopard.,0,2,0,7,6,5,10,1
A lion on a leopard.,7,5,4,0,8,10,5,2
A lion on a leopard.,0,5,4,5,8,10,8,3
A zebra on a camel.,0,5,10,5,10,10,8,0
A zebra on a camel.,0,8,6,10,10,10,10,1
A zebra on a camel.,0,0,5,10,0,5,5,2
A zebra on a camel.,0,0,5,10,10,10,10,3
A sandwich on a whale.,0,4,0,0,0,10,10,0
A sandwich on a whale.,0,1,0,0,0,7,8,1
A sandwich on a whale.,0,0,6,0,0,10,10,2
A sandwich on a whale.,5,0,0,0,6,10,6,3
A spider on a couch.,0,0,10,0,8,10,10,0
A spider on a couch.,8,0,1,0,8,10,10,1
A spider on a couch.,10,8,10,10,10,10,10,2
A spider on a couch.,0,0,10,10,8,10,10,3
A baseball bat on a plate.,0,3,2,0,0,10,7,0
A baseball bat on a plate.,0,0,0,2,2,8,0,1
A baseball bat on a plate.,0,0,0,5,6,10,10,2
A baseball bat on a plate.,5,1,0,5,0,7,10,3
A pear on a bench.,0,0,0,10,0,5,10,0
A pear on a bench.,0,0,3,0,8,10,10,1
A pear on a bench.,0,0,0,1,10,7,10,2
A pear on a bench.,0,0,0,8,10,10,10,3
A pear on a dolphin.,0,0,0,0,0,0,6,0
A pear on a dolphin.,0,0,0,0,0,0,8,1
A pear on a dolphin.,2,2,0,0,4,0,0,2
A pear on a dolphin.,0,0,0,0,0,0,10,3
A dog on a surfboard.,5,7,10,8,10,10,10,0
A dog on a surfboard.,0,8,10,10,10,10,10,1
A dog on a surfboard.,8,0,10,8,10,8,10,2
A dog on a surfboard.,8,8,10,7,6,10,10,3
A bee on a suitcase.,0,1,8,8,7,10,10,0
A bee on a suitcase.,0,5,8,10,8,10,10,1
A bee on a suitcase.,0,8,7,5,10,8,10,2
A bee on a suitcase.,0,5,10,2,5,9,10,3
A sunflower on a leopard.,10,8,10,10,10,0,8,0
A sunflower on a leopard.,10,6,10,7,4,0,7,1
A sunflower on a leopard.,10,5,10,10,10,7,10,2
A sunflower on a leopard.,9,6,10,6,8,7,7,3
A tulip on a whale.,0,0,8,8,0,10,10,0
A tulip on a whale.,3,0,0,0,8,0,6,1
A tulip on a whale.,1,0,10,0,0,1,7,2
A tulip on a whale.,2,0,0,4,10,10,10,3
A bowl on a whale.,0,5,8,0,1,1,8,0
A bowl on a whale.,0,5,7,4,0,0,7,1
A bowl on a whale.,5,0,10,5,0,0,0,2
A bowl on a whale.,5,0,10,10,5,10,10,3
An elephant on a couch.,0,5,10,8,0,10,10,0
An elephant on a couch.,5,6,10,4,6,10,10,1
An elephant on a couch.,10,2,10,10,10,8,10,2
An elephant on a couch.,8,0,10,8,5,10,10,3
A fork on a leopard.,3,5,0,0,0,1,0,0
A fork on a leopard.,0,0,0,0,0,0,8,1
A fork on a leopard.,0,5,1,0,0,0,0,2
A fork on a leopard.,5,7,0,0,0,0,0,3
A squirrel on a refrigerator.,8,5,7,10,10,10,10,0
A squirrel on a refrigerator.,10,5,10,8,8,8,10,1
A squirrel on a refrigerator.,10,0,10,10,10,10,10,2
A squirrel on a refrigerator.,6,5,10,10,10,7,10,3
A knife on a dinosaur.,0,0,6,1,10,10,0,0
A knife on a dinosaur.,0,0,10,6,10,10,7,1
A knife on a dinosaur.,0,5,2,4,0,10,8,2
A knife on a dinosaur.,0,4,10,2,10,10,0,3
A bottle on a couch.,10,6,7,10,8,10,10,0
A bottle on a couch.,10,0,2,5,2,10,10,1
A bottle on a couch.,2,0,10,8,0,10,10,2
A bottle on a couch.,0,6,2,5,0,10,7,3
A fork on a suitcase.,0,0,0,0,5,10,10,0
A fork on a suitcase.,0,8,0,0,0,10,7,1
A fork on a suitcase.,0,0,8,0,7,10,8,2
A fork on a suitcase.,0,8,0,0,1,10,10,3
A baseball glove on a leopard.,llf,llf,llf,llf,llf,llf,2,0
A baseball glove on a leopard.,llf,llf,llf,llf,llf,llf,5,1
A baseball glove on a leopard.,llf,llf,llf,llf,llf,llf,0,2
A baseball glove on a leopard.,llf,llf,llf,llf,llf,llf,0,3
A knife on a television.,0,5,8,0,5,8,8,0
A knife on a television.,0,6,0,10,10,10,10,1
A knife on a television.,0,5,2,0,5,10,9,2
A knife on a television.,0,5,10,10,1,10,10,3
A lamp on a snowboard.,3,5,7,8,6,10,8,0
A lamp on a snowboard.,0,0,7,10,7,0,10,1
A lamp on a snowboard.,8,5,7,0,8,4,0,2
A lamp on a snowboard.,6,2,9,10,10,7,10,3
A raccoon on a leopard.,llf,llf,llf,llf,llf,llf,5,0
A raccoon on a leopard.,llf,llf,llf,llf,llf,llf,10,1
A raccoon on a leopard.,llf,llf,llf,llf,llf,llf,10,2
A raccoon on a leopard.,llf,llf,llf,llf,llf,llf,8,3
A wolf on a snowboard.,7,3,7,10,4,7,10,0
A wolf on a snowboard.,9,1,8,8,0,7,8,1
A wolf on a snowboard.,8,0,7,9,10,10,10,2
A wolf on a snowboard.,5,2,8,10,8,10,8,3
A sheep on a bench.,0,9,8,7,10,10,10,0
A sheep on a bench.,0,5,5,6,10,5,10,1
A sheep on a bench.,0,5,8,5,10,8,10,2
A sheep on a bench.,0,10,9,10,10,8,10,3
A book on a car.,0,6,10,8,8,8,10,0
A book on a car.,0,3,0,0,6,8,7,1
A book on a car.,0,2,4,10,10,8,10,2
A book on a car.,0,6,10,6,0,10,7,3
An orchid on a table.,0,0,8,10,7,10,10,0
An orchid on a table.,0,0,10,10,10,10,10,1
An orchid on a table.,0,4,10,8,10,5,7,2
An orchid on a table.,0,0,10,10,10,10,8,3
A broccoli on a dolphin.,0,0,0,0,0,0,10,0
A broccoli on a dolphin.,1,0,6,0,8,0,10,1
A broccoli on a dolphin.,1,1,0,Error,1,0,8,2
A broccoli on a dolphin.,0,0,0,8,0,0,10,3
A snake on a cloud.,10,0,0,1,8,8,8,0
A snake on a cloud.,4,3,0,6,8,8,10,1
A snake on a cloud.,0,5,6,5,4,0,10,2
A snake on a cloud.,0,0,8,1,7,8,10,3
A pear on a bicycle.,0,0,0,0,0,10,10,0
A pear on a bicycle.,0,0,0,0,0,10,10,1
A pear on a bicycle.,0,2,0,5,0,10,10,2
A pear on a bicycle.,0,7,0,2,0,10,10,3
A stop sign on a bench.,0,0,1,1,0,8,10,0
A stop sign on a bench.,0,0,4,0,0,6,10,1
A stop sign on a bench.,0,6,8,0,3,0,9,2
A stop sign on a bench.,0,0,4,6,0,0,10,3
A stop sign on a car.,0,0,10,6,0,10,10,0
A stop sign on a car.,0,7,0,4,5,0,0,1
A stop sign on a car.,0,7,0,0,10,0,10,2
A stop sign on a car.,0,0,8,0,3,10,10,3
A wardrobe on a pickup truck.,0,5,0,5,3,7,0,0
A wardrobe on a pickup truck.,4,5,4,2,0,5,5,1
A wardrobe on a pickup truck.,2,0,1,0,4,0,10,2
A wardrobe on a pickup truck.,5,5,5,0,0,5,8,3
A chimpanzee on a chair.,0,0,10,2,8,8,8,0
A chimpanzee on a chair.,0,0,0,6,8,10,10,1
A chimpanzee on a chair.,0,1,0,0,10,10,10,2
A chimpanzee on a chair.,0,0,0,8,5,8,10,3
A stop sign on a table.,0,1,6,5,10,10,10,0
