prompt,0,4,8,12,16,20,24,seed
A carrot in a bag.,0.0,5,10.0,10.0,10.0,10.0,10.0,0.0
A carrot in a bag.,0.0,8,10.0,10.0,10.0,10.0,10.0,1.0
A carrot in a bag.,1.0,5,10.0,8.0,5.0,10.0,10.0,2.0
A carrot in a bag.,1.0,Error,8.0,10.0,10.0,10.0,10.0,3.0
A cake in a bag.,0.0,8,10.0,0.0,0.0,7.0,10.0,0.0
A cake in a bag.,0.0,0,5.0,10.0,7.0,10.0,10.0,1.0
A cake in a bag.,7.0,5,8.0,0.0,0.0,6.0,10.0,2.0
A cake in a bag.,2.0,0,0.0,0.0,0.0,10.0,7.0,3.0
A fish in a backpack.,0,0,8,0,5,8,10.0,0.0
A fish in a backpack.,0,8,10,5,8,8,10.0,1.0
A fish in a backpack.,0,6,8,7,0,7,6.0,2.0
A fish in a backpack.,2,8,5,8,0,7,0.0,3.0
A knife in a truck.,0,4,1,0,0,0,10.0,0.0
A knife in a truck.,0,5,1,0,3,10,10.0,1.0
A knife in a truck.,0,5,3,0,6,8,8.0,2.0
A knife in a truck.,5,6,0,5,0,10,10.0,3.0
A parking meter in a microwave.,llf,llf,llf,llf,llf,llf,0.0,0.0
A parking meter in a microwave.,llf,llf,llf,llf,llf,llf,7.0,1.0
A parking meter in a microwave.,llf,llf,llf,llf,llf,llf,0.0,2.0
A parking meter in a microwave.,llf,llf,llf,llf,llf,llf,2.0,3.0
A tennis racket in a train.,0,0,5,1,1,0,10.0,0.0
A tennis racket in a train.,Error,0,10,3,0,5,9.0,1.0
A tennis racket in a train.,0,1,0,0,7,0,10.0,2.0
A tennis racket in a train.,0,0,2,7,10,10,0.0,3.0
A dog in a tractor.,0,0,10,0,7,10,10.0,0.0
A dog in a tractor.,0,0,6,8,0,10,10.0,1.0
A dog in a tractor.,0,0,6,5,0,10,10.0,2.0
A dog in a tractor.,10,0,5,10,0,10,10.0,3.0
A bee in a bowl.,0,0,8,0,0,8,10.0,0.0
A bee in a bowl.,0,0,0,0,7,10,10.0,1.0
A bee in a bowl.,0,4,4,0,10,7,10.0,2.0
A bee in a bowl.,0,5,0,0,6,8,8.0,3.0
A vase in a tractor.,0,5,10,7,0,5,10.0,0.0
A vase in a tractor.,0,5,8,10,4,7,6.0,1.0
A vase in a tractor.,0,8,10,10,5,8,7.0,2.0
A vase in a tractor.,3,10,10,10,4,5,5.0,3.0
A can in a bus.,llf,llf,llf,llf,llf,llf,10.0,0.0
A can in a bus.,llf,llf,llf,llf,llf,llf,7.0,1.0
A can in a bus.,llf,llf,llf,llf,llf,llf,10.0,2.0
A can in a bus.,llf,llf,llf,llf,llf,llf,5.0,3.0
A laptop in a bag.,0,4,8,8,10,9,10.0,0.0
A laptop in a bag.,0,0,0,6,9,8,0.0,1.0
A laptop in a bag.,0,0,0,3,8,8,10.0,2.0
A laptop in a bag.,0,1,8,0,3,6,10.0,3.0
A vase in a bag.,0,0,10,10,10,10,0.0,0.0
A vase in a bag.,8,8,10,10,2,0,0.0,1.0
A vase in a bag.,0,5,10,0,6,0,4.0,2.0
A vase in a bag.,0,6,10,8,10,7,10.0,3.0
A skunk in an airplane.,0,0,0,5,0,8,8.0,0.0
A skunk in an airplane.,0,0,4,7,0,8,8.0,1.0
A skunk in an airplane.,0,0,5,5,5,8,10.0,2.0
A skunk in an airplane.,0,1,5,5,10,8,10.0,3.0
A man in an airplane.,0,0,10,8,10,0,10.0,0.0
A man in an airplane.,0,0,5,0,10,10,10.0,1.0
A man in an airplane.,0,0,10,0,8,10,0.0,2.0
A man in an airplane.,0,0,10,10,10,10,8.0,3.0
A bag in an airplane.,0,0,10,8,6,10,3.0,0.0
A bag in an airplane.,10,8,10,8,10,10,7.0,1.0
A bag in an airplane.,0,7,7,10,7,10,10.0,2.0
A bag in an airplane.,1,5,10,10,0,10,6.0,3.0
A caterpillar in a bag.,2,0,1,1,0,10,8.0,0.0
A caterpillar in a bag.,2,0,2,5,10,10,10.0,1.0
A caterpillar in a bag.,0,6,0,5,8,8,9.0,2.0
A caterpillar in a bag.,0,0,0,5,6,8,8.0,3.0
A boy in a truck.,0,0,8,5,6,10,8.0,0.0
A boy in a truck.,0,1,6,0,9,10,8.0,1.0
A boy in a truck.,0,5,8,8,7,10,10.0,2.0
A boy in a truck.,0,1,10,10,7,10,10.0,3.0
A sunflower in a bowl.,8,5,5,10,5,7,10.0,0.0
A sunflower in a bowl.,0,6,0,10,0,10,10.0,1.0
A sunflower in a bowl.,0,6,0,0,0,10,10.0,2.0
A sunflower in a bowl.,9,5,10,8,10,9,10.0,3.0
A hot dog in a microwave.,0,0,3,5,0,6,8.0,0.0
A hot dog in a microwave.,0,0,1,7,6,0,10.0,1.0
A hot dog in a microwave.,0,0,4,1,5,1,10.0,2.0
A hot dog in a microwave.,0,1,1,4,10,8,8.0,3.0
A dinosaur in a car.,6,0,4,8,0,0,10.0,0.0
A dinosaur in a car.,0,0,1,0,8,10,10.0,1.0
A dinosaur in a car.,8,4,6,5,8,0,10.0,2.0
A dinosaur in a car.,10,0,0,7,0,10,7.0,3.0
A shark in a microwave.,8,0,1,0,0,8,8.0,0.0
A shark in a microwave.,10,0,6,8,6,8,7.0,1.0
A shark in a microwave.,10,2,10,0,8,8,7.0,2.0
A shark in a microwave.,10,0,0,0,0,8,10.0,3.0
A poppy in a tractor.,0,0,5,3,8,5,7.0,0.0
A poppy in a tractor.,0,6,1,5,0,5,10.0,1.0
A poppy in a tractor.,0,5,3,2,1,6,10.0,2.0
A poppy in a tractor.,0,0,10,5,1,7,7.0,3.0
A beaver in a truck.,0,2,3,0,0,0,9.0,0.0
A beaver in a truck.,0,0,0,0,7,10,8.0,1.0
A beaver in a truck.,2,0,0,0,5,5,5.0,2.0
A beaver in a truck.,0,0,0,4,8,0,10.0,3.0
