prompt,0,4,8,12,16,20,24,seed
a herd of elephants all grouped up together.,0,7,8,8,10,9,10,0
a herd of elephants all grouped up together.,5,6,9,8,9,8,8,1
a herd of elephants all grouped up together.,0,5,8,10,8,10,10,2
a herd of elephants all grouped up together.,0,5,6,9,8,10,10,3
a pizza well made in a brown box.,Error,5,8,4,8,10,10,0
a pizza well made in a brown box.,0,5,0,0,5,8,10,1
a pizza well made in a brown box.,0,6,8,7,8,9,10,2
a pizza well made in a brown box.,0,6,8,8,10,10,10,3
people sitting together while holding onto skiis.,5,5,10,10,10,10,8,0
people sitting together while holding onto skiis.,10,5,10,10,10,10,8,1
people sitting together while holding onto skiis.,8,5,10,9,10,10,10,2
people sitting together while holding onto skiis.,10,5,8,10,10,10,10,3
two bears in the water and one is growling.,0,5,10,7,5,8,10,0
two bears in the water and one is growling.,4,7,10,0,0,8,10,1
two bears in the water and one is growling.,0,8,10,8,8,6,7,2
two bears in the water and one is growling.,5,5,10,8,10,9,10,3
a very long river moving in a big forest.,0,5,8,7,7,7,7,0
a very long river moving in a big forest.,0,5,7,6,0,7,7,1
a very long river moving in a big forest.,0,6,7,0,6,8,7,2
a very long river moving in a big forest.,0,5,8,5,7,7,8,3
A little girl holding a Nintendo Wii game controller.,0,6,10,10,8,7,10,0
A little girl holding a Nintendo Wii game controller.,5,0,10,8,10,10,10,1
A little girl holding a Nintendo Wii game controller.,5,0,10,7,8,10,10,2
A little girl holding a Nintendo Wii game controller.,5,0,10,10,6,10,10,3
this is a woman cleaning a public restroom.,0,0,5,7,5,7,10,0
this is a woman cleaning a public restroom.,0,0,6,10,0,10,7,1
this is a woman cleaning a public restroom.,0,0,7,0,10,0,8,2
this is a woman cleaning a public restroom.,0,6,10,10,10,8,8,3
there is a white dog playing with a green apple.,0,8,7,10,8,10,8,0
there is a white dog playing with a green apple.,0,7,10,8,10,10,10,1
there is a white dog playing with a green apple.,0,8,8,8,10,10,10,2
there is a white dog playing with a green apple.,8,7,8,5,10,10,10,3
A cat that is sitting on some cushions.,8,10,10,10,10,10,10,0
A cat that is sitting on some cushions.,9,4,10,9,10,10,10,1
A cat that is sitting on some cushions.,10,8,0,10,10,9,10,2
A cat that is sitting on some cushions.,9,8,10,10,10,10,10,3
A white toilet sitting next to a wooden cabinet.,0,0,0,0,10,10,10,0
A white toilet sitting next to a wooden cabinet.,0,0,0,5,9,10,10,1
A white toilet sitting next to a wooden cabinet.,0,0,0,10,10,10,10,2
A white toilet sitting next to a wooden cabinet.,0,0,8,9,10,10,10,3
There is a black bird perched on wood.,5,5,8,8,7,10,8,0
There is a black bird perched on wood.,10,0,8,7,7,10,10,1
There is a black bird perched on wood.,10,0,10,10,10,10,10,2
There is a black bird perched on wood.,7,0,10,8,8,8,10,3
A man in a white tie smiles while posing.,0,8,8,8,10,10,5,0
A man in a white tie smiles while posing.,Error,5,10,10,10,10,10,1
A man in a white tie smiles while posing.,0,8,10,8,10,10,10,2
A man in a white tie smiles while posing.,0,0,10,10,10,10,10,3
many different sinks near one another with mirrors,0,0,9,8,8,9,8,0
many different sinks near one another with mirrors,4,0,6,8,8,8,9,1
many different sinks near one another with mirrors,0,5,8,8,8,10,8,2
many different sinks near one another with mirrors,0,5,9,8,8,7,7,3
A man that is sitting down and wearing a tie.,0,6,10,10,9,10,10,0
A man that is sitting down and wearing a tie.,0,6,6,7,10,10,8,1
