prompt,3,7,11,15,19,23,seed
Many different colorful flowers are on a table.,0,6,2,8,10,9,0
Many different colorful flowers are on a table.,1,7,3,0,6,6,1
Many different colorful flowers are on a table.,0,7,6,10,9,7,2
Many different colorful flowers are on a table.,1,2,4,7,6,7,3
A few different animals are in the wild.,0,0,2,1,6,8,0
A few different animals are in the wild.,0,0,0,2,4,7,1
A few different animals are in the wild.,1,1,0,0,5,8,2
A few different animals are in the wild.,0,0,0,0,2,6,3
a white stove is next to a window,2,8,2,0,0,7,0
a white stove is next to a window,0,0,7,5,1,10,1
a white stove is next to a window,3,0,6,5,10,0,2
a white stove is next to a window,0,0,10,10,10,0,3
A rectangular shaped pizza is on a wooden board.,1,0,7,7,10,10,0
A rectangular shaped pizza is on a wooden board.,0,0,7,4,3,10,1
A rectangular shaped pizza is on a wooden board.,2,1,1,5,7,9,2
A rectangular shaped pizza is on a wooden board.,0,1,1,6,8,10,3
"A slim, modern fridge is next to some clean, sleek cabinets. ",0,4,8,5,8,9,0
"A slim, modern fridge is next to some clean, sleek cabinets. ",1,0,4,3,10,8,1
"A slim, modern fridge is next to some clean, sleek cabinets. ",2,6,5,0,6,10,2
"A slim, modern fridge is next to some clean, sleek cabinets. ",1,7,0,5,7,9,3
Apples of green and red are in white baskets.,0,0,4,5,10,8,0
Apples of green and red are in white baskets.,1,2,4,5,10,10,1
Apples of green and red are in white baskets.,2,0,5,5,10,10,2
Apples of green and red are in white baskets.,1,0,0,7,7,8,3
A large empty silver kitchen is under construction.,4,6,2,5,4,5,0
A large empty silver kitchen is under construction.,4,5,4,4,6,6,1
A large empty silver kitchen is under construction.,4,4,4,3,7,6,2
A large empty silver kitchen is under construction.,4,5,3,2,3,7,3
The young boy is on the boat navigating it.,0,0,0,5,10,6,0
The young boy is on the boat navigating it.,0,0,0,6,8,10,1
The young boy is on the boat navigating it.,1,0,0,10,10,7,2
The young boy is on the boat navigating it.,0,0,0,5,8,5,3
Three brown bananas are by a measuring glass.,0,0,0,0,5,7,0
Three brown bananas are by a measuring glass.,0,0,0,0,0,1,1
Three brown bananas are by a measuring glass.,0,0,2,5,5,0,2
Three brown bananas are by a measuring glass.,0,1,0,1,7,7,3
a clock is on a white tower outside,0,5,7,0,10,5,0
a clock is on a white tower outside,1,1,10,6,7,10,1
a clock is on a white tower outside,0,4,7,0,4,10,2
a clock is on a white tower outside,0,0,0,5,9,7,3
The dog is on the leash walking outside.,2,0,4,8,8,8,0
The dog is on the leash walking outside.,1,1,0,7,6,8,1
The dog is on the leash walking outside.,0,4,7,9,9,10,2
The dog is on the leash walking outside.,1,7,4,8,9,9,3
a large bed is in a white room,5,0,6,8,0,8,0
a large bed is in a white room,5,4,2,7,8,9,1
a large bed is in a white room,5,7,4,2,0,9,2
a large bed is in a white room,3,6,7,7,5,9,3
Several zebras are in an open grassy field.,0,2,7,9,7,10,0
Several zebras are in an open grassy field.,1,0,7,8,8,8,1
Several zebras are in an open grassy field.,8,2,7,9,9,10,2
Several zebras are in an open grassy field.,0,7,9,5,8,10,3
An airplane is in a yellow and blue sky.,2,0,2,0,0,10,0
An airplane is in a yellow and blue sky.,1,0,0,0,0,8,1
An airplane is in a yellow and blue sky.,0,0,7,0,1,9,2
An airplane is in a yellow and blue sky.,0,1,0,0,0,0,3
Two little white boxes are on a mat.,0,3,3,4,5,4,0
Two little white boxes are on a mat.,1,2,2,0,1,3,1
Two little white boxes are on a mat.,1,1,4,5,4,9,2
Two little white boxes are on a mat.,1,1,1,0,9,8,3
The zebra is in the field standing all alone.,0,3,8,6,4,6,0
The zebra is in the field standing all alone.,0,4,8,0,6,10,1
The zebra is in the field standing all alone.,0,1,3,0,8,5,2
The zebra is in the field standing all alone.,0,1,5,0,2,10,3
many different tools are on different wooden shelves,7,5,10,10,10,10,0
many different tools are on different wooden shelves,5,7,7,10,10,10,1
many different tools are on different wooden shelves,0,4,7,0,9,9,2
many different tools are on different wooden shelves,5,5,10,9,9,9,3
The cloudy sky is above the grassy land.,0,2,6,3,7,9,0
The cloudy sky is above the grassy land.,0,0,1,0,5,9,1
The cloudy sky is above the grassy land.,4,0,7,10,8,10,2
The cloudy sky is above the grassy land.,3,7,0,7,7,7,3
