prompt,0,4,8,12,16,20,24,seed
A street sign is painted yellow and white.,0,2,8,7,10,10,10,0
A street sign is painted yellow and white.,0,0,2,1,2,10,10,1
A street sign is painted yellow and white.,0,1,10,5,8,10,10,2
A street sign is painted yellow and white.,0,1,8,10,10,10,10,3
She doesn't look very comfortable holding the tennis racket.,0,9,0,7,9,6,8,0
She doesn't look very comfortable holding the tennis racket.,0,0,6,0,7,7,8,1
She doesn't look very comfortable holding the tennis racket.,0,0,7,7,6,7,7,2
She doesn't look very comfortable holding the tennis racket.,0,0,8,10,0,4,9,3
"I cannot tell what that glass bottle is lying on,",6,0,10,10,5,0,10,0
"I cannot tell what that glass bottle is lying on,",0,6,8,0,10,7,7,1
"I cannot tell what that glass bottle is lying on,",0,7,10,5,0,7,10,2
"I cannot tell what that glass bottle is lying on,",0,"I'm sorry, I cannot assist with these requests.",10,10,2,9,10,3
A food processor that has been mixing something red.,0,0,0,4,1,10,8,0
A food processor that has been mixing something red.,0,0,0,1,2,8,10,1
A food processor that has been mixing something red.,0,0,10,6,1,10,8,2
A food processor that has been mixing something red.,0,1,7,4,8,10,10,3
A wedding cake is white and dark blue.,2,10,10,10,10,10,10,0
A wedding cake is white and dark blue.,0,10,10,10,10,10,10,1
A wedding cake is white and dark blue.,5,10,10,10,10,10,10,2
A wedding cake is white and dark blue.,0,10,10,10,10,10,10,3
there is a small baby zebra looking behind it,0,8,10,10,10,10,10,0
there is a small baby zebra looking behind it,0,10,8,10,10,10,10,1
there is a small baby zebra looking behind it,0,8,10,10,10,10,10,2
there is a small baby zebra looking behind it,0,10,10,10,10,10,10,3
All of the pizza slices are being eaten except two.,10,4,10,5,7,5,10,0
All of the pizza slices are being eaten except two.,4,0,7,6,7,5,10,1
All of the pizza slices are being eaten except two.,10,0,7,10,10,10,10,2
All of the pizza slices are being eaten except two.,10,0,8,10,10,8,9,3
A single yellow rose in a small glass vase,5,4,10,7,5,7,8,0
A single yellow rose in a small glass vase,0,7,9,1,6,10,9,1
A single yellow rose in a small glass vase,2,7,8,4,0,7,7,2
A single yellow rose in a small glass vase,2,8,8,6,8,8,5,3
An adult black and brown bear looking straight ahead.,0,0,10,10,10,10,10,0
An adult black and brown bear looking straight ahead.,0,10,10,10,10,10,10,1
An adult black and brown bear looking straight ahead.,0,8,10,10,10,10,10,2
An adult black and brown bear looking straight ahead.,0,10,10,10,10,10,10,3
Two retro school buses parked behind one another.,7,0,3,10,9,10,10,0
Two retro school buses parked behind one another.,0,0,5,8,7,8,10,1
Two retro school buses parked behind one another.,2,0,8,7,10,6,10,2
Two retro school buses parked behind one another.,2,8,7,9,4,10,10,3
He is drinking outside from a wine goblet.,0,0,5,5,7,7,9,0
He is drinking outside from a wine goblet.,0,0,3,0,8,3,7,1
He is drinking outside from a wine goblet.,0,2,6,4,0,8,3,2
He is drinking outside from a wine goblet.,0,0,5,10,5,8,5,3
A beautiful brown muted colored mosaic tiled bathroom.,0,0,9,8,8,10,10,0
A beautiful brown muted colored mosaic tiled bathroom.,0,8,8,9,8,9,10,1
A beautiful brown muted colored mosaic tiled bathroom.,0,0,10,10,9,10,10,2
A beautiful brown muted colored mosaic tiled bathroom.,0,6,10,10,10,9,10,3
"So, this is what an Alienware keyboard looks like.",0,8,0,10,8,10,10,0
"So, this is what an Alienware keyboard looks like.",10,0,8,10,10,10,10,1
"So, this is what an Alienware keyboard looks like.",0,0,8,10,10,9,10,2
