prompt,0,4,8,12,16,20,24,seed
A photo of a Beagle.,0,0,10,6,8,10,10,0
A photo of a Beagle.,0,0,8,7,10,10,9,1
A photo of a Beagle.,Error,0,10,8,10,10,10,2
A photo of a Beagle.,0,0,5,10,10,10,10,3
A photo of a German Shepherd.,0,0,10,10,10,10,10,0
A photo of a German Shepherd.,0,0,10,10,10,9,10,1
A photo of a German Shepherd.,0,0,10,9,10,10,10,2
A photo of a German Shepherd.,0,0,10,10,10,10,10,3
A photo of a Labrador Retriever.,0,0,8,10,10,9,10,0
A photo of a Labrador Retriever.,0,5,10,10,10,10,10,1
A photo of a Labrador Retriever.,0,0,10,10,10,10,10,2
A photo of a Labrador Retriever.,0,2,10,10,10,10,10,3
A photo of a Dachshund.,0,0,10,10,9,10,10,0
A photo of a Dachshund.,0,5,10,10,10,10,10,1
A photo of a Dachshund.,0,0,7,10,10,10,10,2
A photo of a Dachshund.,0,0,10,10,10,10,10,3
A photo of a Bulldog.,0,0,10,8,10,10,10,0
A photo of a Bulldog.,0,0,10,10,7,8,10,1
A photo of a Bulldog.,0,0,10,10,10,8,10,2
A photo of a Bulldog.,5,5,10,10,8,10,10,3
A photo of a Ragdoll.,0,0,10,8,10,0,10,0
A photo of a Ragdoll.,0,0,6,10,7,10,10,1
A photo of a Ragdoll.,0,0,8,10,10,10,10,2
A photo of a Ragdoll.,0,0,0,8,10,0,10,3
A photo of a Kangaroo.,0,2,0,10,6,10,10,0
A photo of a Kangaroo.,0,0,4,9,10,10,10,1
A photo of a Kangaroo.,0,0,0,6,10,10,10,2
A photo of a Kangaroo.,0,4,10,6,6,10,10,3
A photo of a Chicken.,0,0,10,10,10,10,10,0
A photo of a Chicken.,0,0,8,10,8,10,10,1
A photo of a Chicken.,0,0,10,6,8,0,10,2
A photo of a Chicken.,0,0,8,10,6,10,10,3
A photo of an Owl.,0,2,8,10,10,10,10,0
A photo of an Owl.,0,5,10,10,10,10,10,1
A photo of an Owl.,0,8,10,8,10,10,10,2
A photo of an Owl.,"I'm sorry, I cannot provide assistance with these requests.",0,10,10,10,10,10,3
A photo of an Eagle.,0,0,8,8,7,10,10,0
A photo of an Eagle.,0,1,5,10,10,10,10,1
A photo of an Eagle.,0,8,10,8,10,10,10,2
A photo of an Eagle.,0,0,10,10,10,10,10,3
A photo of a Salmon.,0,0,0,4,7,10,10,0
A photo of a Salmon.,0,0,0,5,7,10,10,1
A photo of a Salmon.,4,0,10,7,10,10,10,2
A photo of a Salmon.,0,0,5,8,10,8,10,3
A photo of a Catfish.,8,0,10,10,8,10,10,0
A photo of a Catfish.,6,0,10,10,10,7,10,1
A photo of a Catfish.,8,0,8,8,10,10,10,2
A photo of a Catfish.,5,0,10,7,7,7,10,3
A photo of a Cod.,0,5,10,7,8,10,10,0
A photo of a Cod.,0,0,5,10,8,10,10,1
A photo of a Cod.,5,8,2,7,10,7,10,2
A photo of a Cod.,0,0,1,10,10,10,10,3
A photo of an Orca.,0,0,10,10,10,10,10,0
A photo of an Orca.,0,0,10,10,10,10,10,1
A photo of an Orca.,0,0,10,10,10,10,10,2
A photo of an Orca.,0,3,10,10,10,10,10,3
A photo of a Komodo dragon.,0,0,2,6,10,10,10,0
A photo of a Komodo dragon.,0,0,5,10,5,10,10,1
A photo of a Komodo dragon.,0,0,6,7,10,10,10,2
A photo of a Komodo dragon.,1,0,5,5,10,10,10,3
A photo of a King cobra.,0,0,0,5,2,10,10,0
A photo of a King cobra.,0,4,0,0,0,8,10,1
A photo of a King cobra.,0,5,3,0,8,6,8,2
A photo of a King cobra.,0,4,0,0,0,8,10,3
A photo of a Platypus.,0,5,8,5,0,5,10,0
A photo of a Platypus.,0,0,2,5,Error,8,10,1
A photo of a Platypus.,0,0,0,5,0,Error,10,2
A photo of a Platypus.,0,0,5,8,5,5,10,3
A photo of a Narwhal.,0,0,4,8,5,10,10,0
A photo of a Narwhal.,0,0,5,7,10,7,10,1
A photo of a Narwhal.,0,0,5,10,10,10,0,2
A photo of a Narwhal.,0,0,4,5,5,10,10,3
A photo of an Ostrich.,0,0,8,8,5,10,10,0
A photo of an Ostrich.,0,2,10,4,5,10,10,1
A photo of an Ostrich.,0,0,5,8,10,10,10,2
A photo of an Ostrich.,5,1,8,10,6,10,10,3
A photo of a cougar.,Error,5,10,8,8,10,10,0
A photo of a cougar.,0,0,10,10,6,10,10,1
A photo of a cougar.,0,4,10,10,10,10,10,2
A photo of a cougar.,0,5,10,10,10,10,10,3
