prompt,0,4,8,12,16,20,24,seed
Many different colorful flowers are on a table.,5,1,0,0,1,0,0,0
Many different colorful flowers are on a table.,0,0,0,0,1,3,0,1
Many different colorful flowers are on a table.,1,1,0,0,10,4,0,2
Many different colorful flowers are on a table.,0,1,0,1,1,0,0,3
A few different animals are in the wild.,4,0,2,1,5,2,2,0
A few different animals are in the wild.,1,0,6,1,1,0,5,1
A few different animals are in the wild.,2,0,2,0,2,5,1,2
A few different animals are in the wild.,3,0,2,1,3,2,2,3
a white stove is next to a window,10,8,10,0,10,10,10,0
a white stove is next to a window,10,10,10,10,9,8,10,1
a white stove is next to a window,1,0,0,1,10,10,10,2
a white stove is next to a window,10,0,7,2,10,10,10,3
A rectangular shaped pizza is on a wooden board.,10,7,10,7,10,7,10,0
A rectangular shaped pizza is on a wooden board.,0,0,8,10,7,10,10,1
A rectangular shaped pizza is on a wooden board.,0,0,8,7,7,10,10,2
A rectangular shaped pizza is on a wooden board.,10,0,10,8,8,10,10,3
"A slim, modern fridge is next to some clean, sleek cabinets. ",0,5,3,9,10,8,8,0
"A slim, modern fridge is next to some clean, sleek cabinets. ",4,2,9,8,9,10,8,1
"A slim, modern fridge is next to some clean, sleek cabinets. ",0,1,0,8,10,10,8,2
"A slim, modern fridge is next to some clean, sleek cabinets. ",6,0,8,8,7,7,8,3
Apples of green and red are in white baskets.,10,2,7,0,6,10,10,0
Apples of green and red are in white baskets.,10,0,0,7,2,0,1,1
Apples of green and red are in white baskets.,7,1,7,7,7,10,10,2
Apples of green and red are in white baskets.,10,4,10,7,6,10,10,3
A large empty silver kitchen is under construction.,0,1,2,0,2,2,8,0
A large empty silver kitchen is under construction.,0,2,2,4,1,2,7,1
A large empty silver kitchen is under construction.,0,4,2,2,0,2,5,2
A large empty silver kitchen is under construction.,1,0,2,1,0,2,7,3
The young boy is on the boat navigating it.,7,6,10,7,8,7,10,0
The young boy is on the boat navigating it.,10,8,10,8,10,5,10,1
The young boy is on the boat navigating it.,10,8,10,7,10,10,8,2
The young boy is on the boat navigating it.,10,7,10,8,8,7,10,3
Three brown bananas are by a measuring glass.,4,0,0,0,0,0,10,0
Three brown bananas are by a measuring glass.,0,0,0,0,0,0,10,1
Three brown bananas are by a measuring glass.,0,0,0,0,0,0,6,2
Three brown bananas are by a measuring glass.,0,0,0,2,0,0,10,3
a clock is on a white tower outside,9,8,9,8,10,10,10,0
a clock is on a white tower outside,7,7,10,7,6,10,10,1
