prompt,3,7,11,15,19,23,seed
a herd of elephants all grouped up together.,0,3,7,10,10,10,0
a herd of elephants all grouped up together.,1,0,5,10,10,10,1
a herd of elephants all grouped up together.,0,10,9,8,9,10,2
a herd of elephants all grouped up together.,0,8,7,7,8,10,3
a pizza well made in a brown box.,7,3,10,10,10,10,0
a pizza well made in a brown box.,1,0,2,6,1,10,1
a pizza well made in a brown box.,0,1,1,7,7,10,2
a pizza well made in a brown box.,1,1,10,8,10,10,3
people sitting together while holding onto skiis.,0,0,0,10,10,10,0
people sitting together while holding onto skiis.,5,0,0,0,10,10,1
people sitting together while holding onto skiis.,2,0,0,0,10,10,2
people sitting together while holding onto skiis.,8,0,0,1,10,10,3
two bears in the water and one is growling.,2,1,0,10,10,10,0
two bears in the water and one is growling.,2,0,0,10,8,10,1
two bears in the water and one is growling.,2,0,1,8,10,10,2
two bears in the water and one is growling.,2,7,5,10,10,10,3
a very long river moving in a big forest.,1,8,7,7,7,8,0
a very long river moving in a big forest.,1,8,7,7,8,8,1
a very long river moving in a big forest.,0,10,7,8,8,9,2
a very long river moving in a big forest.,3,7,4,4,7,8,3
A little girl holding a Nintendo Wii game controller.,0,2,1,1,0,1,0
A little girl holding a Nintendo Wii game controller.,2,10,0,4,0,8,1
A little girl holding a Nintendo Wii game controller.,1,7,2,5,0,0,2
A little girl holding a Nintendo Wii game controller.,0,1,1,10,1,0,3
this is a woman cleaning a public restroom.,0,1,10,10,2,7,0
this is a woman cleaning a public restroom.,5,6,6,2,7,10,1
this is a woman cleaning a public restroom.,1,2,4,7,0,2,2
this is a woman cleaning a public restroom.,0,0,2,0,10,9,3
there is a white dog playing with a green apple.,0,0,9,10,8,10,0
there is a white dog playing with a green apple.,0,0,0,3,10,10,1
there is a white dog playing with a green apple.,0,0,8,10,10,10,2
there is a white dog playing with a green apple.,0,0,10,10,8,10,3
A cat that is sitting on some cushions.,0,1,8,10,10,10,0
A cat that is sitting on some cushions.,0,5,10,10,10,10,1
A cat that is sitting on some cushions.,1,4,7,10,8,10,2
A cat that is sitting on some cushions.,0,0,10,10,9,10,3
A white toilet sitting next to a wooden cabinet.,5,10,7,10,0,10,0
A white toilet sitting next to a wooden cabinet.,0,10,7,10,3,10,1
A white toilet sitting next to a wooden cabinet.,0,10,0,1,10,10,2
A white toilet sitting next to a wooden cabinet.,0,5,10,8,7,8,3
There is a black bird perched on wood.,4,2,1,8,10,8,0
There is a black bird perched on wood.,2,8,7,8,5,6,1
There is a black bird perched on wood.,2,4,10,10,7,10,2
There is a black bird perched on wood.,7,10,10,7,4,10,3
A man in a white tie smiles while posing.,2,0,6,0,7,0,0
A man in a white tie smiles while posing.,0,0,0,6,4,0,1
A man in a white tie smiles while posing.,1,0,0,1,4,5,2
A man in a white tie smiles while posing.,4,1,1,0,0,2,3
many different sinks near one another with mirrors,1,8,1,2,10,8,0
many different sinks near one another with mirrors,1,"I'm sorry, I cannot provide assistance with these requests.",0,7,8,8,1
many different sinks near one another with mirrors,0,6,8,10,0,8,2
many different sinks near one another with mirrors,1,0,0,1,8,10,3
A man that is sitting down and wearing a tie.,1,0,9,10,10,10,0
A man that is sitting down and wearing a tie.,0,0,0,10,2,10,1
A man that is sitting down and wearing a tie.,1,0,10,10,10,10,2
A man that is sitting down and wearing a tie.,10,10,10,10,8,10,3
Several sandwiches sliced and neatly arranged on a white plate.,0,7,10,10,10,10,0
Several sandwiches sliced and neatly arranged on a white plate.,0,10,10,10,10,8,1
Several sandwiches sliced and neatly arranged on a white plate.,0,10,8,8,8,0,2
Several sandwiches sliced and neatly arranged on a white plate.,1,5,7,8,10,10,3
An apple with a funny face carved into it.,0,4,10,2,10,0,0
An apple with a funny face carved into it.,0,2,6,4,7,10,1
An apple with a funny face carved into it.,2,0,8,6,10,1,2
An apple with a funny face carved into it.,4,1,0,0,7,5,3
A elephant that is standing in the dirt.,1,2,5,10,8,9,0
A elephant that is standing in the dirt.,2,0,8,7,10,7,1
A elephant that is standing in the dirt.,0,4,7,10,8,10,2
A elephant that is standing in the dirt.,1,3,1,7,8,10,3
A kitchen that has an island are in it.,0,0,2,0,0,9,0
A kitchen that has an island are in it.,4,1,1,10,7,10,1
A kitchen that has an island are in it.,5,5,7,0,7,10,2
A kitchen that has an island are in it.,0,3,1,0,10,10,3
a girl and a dog looking angry in a photo,0,0,0,10,10,10,0
a girl and a dog looking angry in a photo,0,0,0,7,8,10,1
a girl and a dog looking angry in a photo,1,7,8,0,10,10,2
a girl and a dog looking angry in a photo,0,10,10,10,10,8,3
A train traveling along a lush green countryside.,0,7,10,8,7,10,0
A train traveling along a lush green countryside.,1,4,7,7,10,10,1
A train traveling along a lush green countryside.,0,7,8,8,10,10,2
A train traveling along a lush green countryside.,2,8,7,6,8,10,3
There are many birds on and around the bench.,2,0,10,10,10,10,0
There are many birds on and around the bench.,4,0,10,10,10,10,1
There are many birds on and around the bench.,2,3,10,10,10,10,2
There are many birds on and around the bench.,3,0,10,10,8,6,3
A single yellow rose standing in a vase,7,10,7,8,10,10,0
A single yellow rose standing in a vase,5,1,10,8,10,10,1
A single yellow rose standing in a vase,8,0,10,8,10,10,2
A single yellow rose standing in a vase,5,8,10,8,8,10,3
a blender full of liquid is spilling everywhere,1,7,4,7,10,8,0
a blender full of liquid is spilling everywhere,0,2,4,7,10,10,1
a blender full of liquid is spilling everywhere,1,2,0,0,10,10,2
a blender full of liquid is spilling everywhere,5,1,1,0,7,10,3
A plate full of broccoli sitting together.,0,7,10,10,8,10,0
A plate full of broccoli sitting together.,2,10,10,10,10,10,1
A plate full of broccoli sitting together.,4,10,10,8,10,10,2
A plate full of broccoli sitting together.,4,0,10,10,10,10,3
