prompt,3,7,11,15,19,23,seed
A street sign is painted yellow and white.,0,1,0,0,0,7,0
A street sign is painted yellow and white.,0,0,0,0,0,7,1
A street sign is painted yellow and white.,1,0,1,0,4,5,2
A street sign is painted yellow and white.,1,0,1,0,4,10,3
She doesn't look very comfortable holding the tennis racket.,0,5,0,0,4,4,0
She doesn't look very comfortable holding the tennis racket.,0,3,0,4,5,5,1
She doesn't look very comfortable holding the tennis racket.,0,5,2,4,5,4,2
She doesn't look very comfortable holding the tennis racket.,0,2,2,6,5,2,3
"I cannot tell what that glass bottle is lying on,",8,10,2,5,10,3,0
"I cannot tell what that glass bottle is lying on,",6,5,10,6,10,0,1
"I cannot tell what that glass bottle is lying on,",3,10,2,1,4,0,2
"I cannot tell what that glass bottle is lying on,",0,5,1,4,2,1,3
A food processor that has been mixing something red.,0,4,0,4,0,4,0
A food processor that has been mixing something red.,0,0,2,3,10,8,1
A food processor that has been mixing something red.,3,2,2,4,0,9,2
A food processor that has been mixing something red.,5,0,5,4,6,5,3
A wedding cake is white and dark blue.,0,0,0,7,5,10,0
A wedding cake is white and dark blue.,0,0,0,7,2,10,1
A wedding cake is white and dark blue.,1,0,0,10,7,10,2
A wedding cake is white and dark blue.,0,0,1,10,10,10,3
there is a small baby zebra looking behind it,0,10,10,7,10,10,0
there is a small baby zebra looking behind it,1,10,10,10,7,8,1
there is a small baby zebra looking behind it,2,10,10,10,10,10,2
there is a small baby zebra looking behind it,0,9,10,10,10,6,3
All of the pizza slices are being eaten except two.,0,0,0,0,0,0,0
All of the pizza slices are being eaten except two.,0,0,0,0,0,0,1
All of the pizza slices are being eaten except two.,0,0,0,0,0,0,2
All of the pizza slices are being eaten except two.,0,0,0,0,2,0,3
A single yellow rose in a small glass vase,2,0,0,4,0,10,0
A single yellow rose in a small glass vase,1,0,5,10,0,10,1
A single yellow rose in a small glass vase,0,0,0,10,0,10,2
A single yellow rose in a small glass vase,1,4,0,10,10,9,3
An adult black and brown bear looking straight ahead.,0,10,10,10,10,10,0
An adult black and brown bear looking straight ahead.,0,10,0,7,10,10,1
An adult black and brown bear looking straight ahead.,0,7,7,10,10,10,2
An adult black and brown bear looking straight ahead.,0,7,10,10,10,10,3
Two retro school buses parked behind one another.,0,0,8,10,2,9,0
Two retro school buses parked behind one another.,5,4,5,4,9,10,1
Two retro school buses parked behind one another.,1,4,10,10,9,10,2
