prompt,0,4,8,12,16,20,24,seed
A street sign is painted yellow and white.,0,5,5,6,10,10,10,0
A street sign is painted yellow and white.,0,0,4,5,1,5,10,1
A street sign is painted yellow and white.,0,1,4,3,7,10,10,2
A street sign is painted yellow and white.,0,0,0,5,10,10,10,3
She doesn't look very comfortable holding the tennis racket.,0,0,0,5,3,4,2,0
She doesn't look very comfortable holding the tennis racket.,0,0,3,0,2,5,6,1
She doesn't look very comfortable holding the tennis racket.,0,0,4,4,8,4,3,2
She doesn't look very comfortable holding the tennis racket.,0,0,4,5,0,6,3,3
"I cannot tell what that glass bottle is lying on,",5,0,5,10,4,2,5,0
"I cannot tell what that glass bottle is lying on,",5,5,5,10,4,4,4,1
"I cannot tell what that glass bottle is lying on,",0,3,10,10,2,9,0,2
"I cannot tell what that glass bottle is lying on,",0,"I'm sorry, I cannot assist with these requests.",10,5,4,6,5,3
A food processor that has been mixing something red.,0,0,5,6,7,10,10,0
A food processor that has been mixing something red.,0,0,5,4,4,9,10,1
A food processor that has been mixing something red.,0,0,4,7,4,9,9,2
A food processor that has been mixing something red.,0,2,8,7,9,10,10,3
A wedding cake is white and dark blue.,0,10,10,10,10,9,10,0
A wedding cake is white and dark blue.,0,8,10,7,10,10,10,1
A wedding cake is white and dark blue.,3,8,7,10,10,10,10,2
A wedding cake is white and dark blue.,0,10,10,7,8,10,10,3
there is a small baby zebra looking behind it,0,9,10,7,10,10,5,0
there is a small baby zebra looking behind it,0,8,8,10,10,8,10,1
there is a small baby zebra looking behind it,0,6,10,10,10,10,10,2
there is a small baby zebra looking behind it,0,6,4,10,10,9,6,3
All of the pizza slices are being eaten except two.,0,1,0,0,1,1,0,0
All of the pizza slices are being eaten except two.,1,0,1,1,0,0,0,1
All of the pizza slices are being eaten except two.,0,0,0,0,0,0,0,2
All of the pizza slices are being eaten except two.,1,0,0,0,0,0,0,3
A single yellow rose in a small glass vase,1,7,0,10,10,10,10,0
A single yellow rose in a small glass vase,0,3,1,8,10,2,10,1
A single yellow rose in a small glass vase,1,5,0,2,7,1,10,2
A single yellow rose in a small glass vase,7,5,0,1,10,1,10,3
An adult black and brown bear looking straight ahead.,0,0,8,9,10,10,10,0
An adult black and brown bear looking straight ahead.,0,6,10,9,8,7,10,1
An adult black and brown bear looking straight ahead.,0,6,10,10,10,10,10,2
An adult black and brown bear looking straight ahead.,0,6,7,10,10,8,5,3
Two retro school buses parked behind one another.,4,0,8,10,10,10,10,0
Two retro school buses parked behind one another.,0,0,8,10,9,10,10,1
Two retro school buses parked behind one another.,0,0,9,9,10,9,5,2
Two retro school buses parked behind one another.,1,8,10,10,10,10,10,3
He is drinking outside from a wine goblet.,0,0,7,2,4,6,7,0
He is drinking outside from a wine goblet.,0,0,0,0,0,5,8,1
He is drinking outside from a wine goblet.,0,4,7,1,0,0,7,2
He is drinking outside from a wine goblet.,0,0,6,10,2,6,6,3
A beautiful brown muted colored mosaic tiled bathroom.,6,0,9,7,7,6,9,0
A beautiful brown muted colored mosaic tiled bathroom.,0,6,7,8,7,7,8,1
A beautiful brown muted colored mosaic tiled bathroom.,3,0,9,8,8,10,9,2
A beautiful brown muted colored mosaic tiled bathroom.,2,7,9,9,9,7,10,3
"So, this is what an Alienware keyboard looks like.",0,7,0,5,7,4,7,0
"So, this is what an Alienware keyboard looks like.",0,0,8,0,5,5,5,1
"So, this is what an Alienware keyboard looks like.",0,0,5,5,5,6,0,2
"So, this is what an Alienware keyboard looks like.",1,2,5,0,5,5,7,3
A metal refrigerator with plastic peeling off of it.,0,1,0,4,4,4,3,0
A metal refrigerator with plastic peeling off of it.,0,4,3,3,6,5,4,1
A metal refrigerator with plastic peeling off of it.,1,0,3,4,5,2,4,2
A metal refrigerator with plastic peeling off of it.,0,3,1,4,2,4,5,3
There is a adult giraffe that is in the photo looking at something,0,8,10,10,10,10,10,0
There is a adult giraffe that is in the photo looking at something,5,6,10,10,10,10,10,1
There is a adult giraffe that is in the photo looking at something,0,1,10,10,10,10,10,2
There is a adult giraffe that is in the photo looking at something,0,7,7,8,10,10,10,3
The beer glasses are full and ready to enjoy.,0,8,8,9,8,7,7,0
The beer glasses are full and ready to enjoy.,0,10,6,7,10,10,10,1
