prompt,0,4,8,12,16,20,24,seed
An orange suitcase and a pink orchid.,0,0,0,10,0,10,10,0
An orange suitcase and a pink orchid.,0,0,10,0,10,10,10,1
An orange suitcase and a pink orchid.,0,7,3,3,0,10,10,2
An orange suitcase and a pink orchid.,0,0,10,2,10,10,10,3
A purple bag and an orange snail.,0,0,10,10,0,10,10,0
A purple bag and an orange snail.,0,0,0,0,0,10,10,1
A purple bag and an orange snail.,1,0,10,0,0,0,0,2
A purple bag and an orange snail.,0,10,0,10,0,10,0,3
An orange baseball bat and a brown snake.,0,1,10,0,0,0,10,0
An orange baseball bat and a brown snake.,0,0,0,7,0,0,10,1
An orange baseball bat and a brown snake.,0,0,10,10,10,0,10,2
An orange baseball bat and a brown snake.,0,7,10,7,0,6,8,3
A white leopard and a red castle.,0,2,7,8,8,0,10,0
A white leopard and a red castle.,0,10,10,5,10,7,10,1
A white leopard and a red castle.,8,0,10,7,10,8,10,2
A white leopard and a red castle.,5,2,0,10,9,4,10,3
A blue skyscraper and a yellow sports ball.,10,0,10,7,10,10,10,0
A blue skyscraper and a yellow sports ball.,10,0,1,10,6,10,10,1
A blue skyscraper and a yellow sports ball.,10,0,0,1,10,10,10,2
A blue skyscraper and a yellow sports ball.,0,0,1,0,6,10,10,3
A yellow maple tree and a white sheep.,0,10,0,0,0,10,10,0
A yellow maple tree and a white sheep.,0,0,0,10,10,10,10,1
A yellow maple tree and a white sheep.,0,0,0,10,0,10,10,2
A yellow maple tree and a white sheep.,0,0,0,10,0,10,10,3
A pink bench and an orange toaster.,0,0,0,0,0,0,10,0
A pink bench and an orange toaster.,0,0,0,0,0,0,10,1
A pink bench and an orange toaster.,0,0,0,0,0,0,10,2
A pink bench and an orange toaster.,0,0,0,0,0,10,10,3
A black bird and a green bear.,0,1,10,10,10,10,10,0
A black bird and a green bear.,10,0,10,10,8,10,10,1
A black bird and a green bear.,10,1,10,10,10,10,10,2
A black bird and a green bear.,0,7,10,10,10,10,10,3
A brown pizza and an orange bottle.,0,0,10,10,0,7,10,0
A brown pizza and an orange bottle.,10,0,10,0,10,10,10,1
A brown pizza and an orange bottle.,0,0,10,3,9,10,10,2
A brown pizza and an orange bottle.,0,0,10,10,10,10,5,3
A black forest and a purple bus.,0,0,10,10,0,8,10,0
A black forest and a purple bus.,0,1,10,0,10,10,10,1
A black forest and a purple bus.,0,0,10,10,0,7,10,2
A black forest and a purple bus.,0,0,10,8,10,0,10,3
A green porcupine and a black surfboard.,0,0,10,0,0,10,10,0
A green porcupine and a black surfboard.,0,0,7,0,10,10,10,1
A green porcupine and a black surfboard.,0,0,10,0,10,10,10,2
A green porcupine and a black surfboard.,0,0,0,0,10,8,7,3
A yellow wolf and a black teddy bear.,0,3,10,0,10,0,10,0
A yellow wolf and a black teddy bear.,1,0,8,5,0,10,10,1
A yellow wolf and a black teddy bear.,10,10,10,0,0,10,10,2
A yellow wolf and a black teddy bear.,0,0,10,0,10,10,10,3
An orange maple tree and a purple vase.,0,0,10,0,10,10,10,0
An orange maple tree and a purple vase.,0,5,10,0,10,10,10,1
An orange maple tree and a purple vase.,0,6,10,0,10,10,10,2
An orange maple tree and a purple vase.,0,0,10,0,0,10,10,3
A blue table and a pink couch.,0,7,10,10,10,10,10,0
A blue table and a pink couch.,0,1,0,10,10,10,10,1
A blue table and a pink couch.,0,10,10,10,10,10,10,2
A blue table and a pink couch.,0,7,10,10,10,10,10,3
A red oak tree and a green car.,0,0,0,0,10,10,10,0
A red oak tree and a green car.,0,0,0,0,10,10,10,1
A red oak tree and a green car.,0,0,0,0,7,10,10,2
A red oak tree and a green car.,0,0,0,1,0,9,10,3
A green cat and a blue rocket.,0,1,6,0,0,0,7,0
A green cat and a blue rocket.,7,0,0,0,10,10,10,1
A green cat and a blue rocket.,0,0,0,10,5,10,10,2
A green cat and a blue rocket.,0,1,0,10,10,10,0,3
A red forest and a white skateboard.,0,0,10,0,0,10,10,0
A red forest and a white skateboard.,Error,1,0,0,0,10,4,1
A red forest and a white skateboard.,0,0,10,0,0,10,10,2
A red forest and a white skateboard.,0,0,0,0,0,0,10,3
An orange giraffe and a blue castle.,0,10,0,0,0,10,10,0
An orange giraffe and a blue castle.,0,7,0,10,10,10,10,1
An orange giraffe and a blue castle.,0,0,10,0,10,2,10,2
An orange giraffe and a blue castle.,0,8,10,10,0,10,10,3
A purple bear and an orange plate.,10,0,0,10,10,0,10,0
A purple bear and an orange plate.,2,10,10,0,0,10,10,1
A purple bear and an orange plate.,0,0,0,10,10,10,10,2
A purple bear and an orange plate.,0,1,10,10,10,10,10,3
A blue banana and a red sink.,0,0,0,0,0,10,10,0
A blue banana and a red sink.,0,0,10,10,10,10,0,1
A blue banana and a red sink.,0,0,0,0,0,10,10,2
A blue banana and a red sink.,0,10,0,0,0,0,10,3
A yellow boat and a white bear.,0,1,10,1,10,10,10,0
A yellow boat and a white bear.,0,0,0,0,10,0,10,1
A yellow boat and a white bear.,0,0,0,0,10,0,10,2
A yellow boat and a white bear.,0,0,10,0,10,10,10,3
A red snake and a yellow fork.,0,0,0,0,0,0,10,0
A red snake and a yellow fork.,0,0,0,0,0,10,0,1
A red snake and a yellow fork.,0,0,0,0,0,0,10,2
A red snake and a yellow fork.,0,0,0,0,0,0,0,3
A blue toilet and a pink umbrella.,10,0,10,10,10,10,10,0
A blue toilet and a pink umbrella.,10,8,10,10,10,10,7,1
A blue toilet and a pink umbrella.,10,0,10,0,10,0,0,2
A blue toilet and a pink umbrella.,0,0,10,10,10,10,10,3
A black kite and a red raccoon.,0,0,0,10,4,10,10,0
A black kite and a red raccoon.,0,0,2,10,10,10,10,1
A black kite and a red raccoon.,0,0,0,10,8,10,10,2
A black kite and a red raccoon.,0,0,0,10,0,0,10,3
A green oak tree and a white giraffe.,0,0,0,0,0,10,10,0
A green oak tree and a white giraffe.,0,0,0,0,10,10,10,1
A green oak tree and a white giraffe.,0,1,0,10,10,10,7,2
A green oak tree and a white giraffe.,0,0,0,7,0,10,10,3
A green fork and a yellow boy.,0,0,4,8,10,10,10,0
A green fork and a yellow boy.,0,0,10,0,10,10,10,1
A green fork and a yellow boy.,0,0,10,10,10,10,10,2
A green fork and a yellow boy.,0,6,6,5,10,10,10,3
A green sea and a purple bottle.,0,"7, 10, 0, 1, ",10,10,0,0,10,0
A green sea and a purple bottle.,0,0,10,10,10,0,10,1
A green sea and a purple bottle.,0,0,9,8,8,0,10,2
A green sea and a purple bottle.,0,0,10,10,10,0,10,3
A blue hot dog and a white leopard.,0,0,0,0,0,10,10,0
A blue hot dog and a white leopard.,0,0,8,0,0,10,10,1
A blue hot dog and a white leopard.,0,0,10,0,0,6,8,2
A blue hot dog and a white leopard.,0,6,5,0,10,10,10,3
A green bench and a brown tie.,0,0,0,0,0,0,0,0
A green bench and a brown tie.,0,0,0,0,0,0,0,1
A green bench and a brown tie.,0,0,0,0,0,0,0,2
A green bench and a brown tie.,0,0,0,0,0,0,0,3
A pink raccoon and a blue rocket.,0,0,0,0,0,10,10,0
A pink raccoon and a blue rocket.,7,0,0,0,0,10,10,1
A pink raccoon and a blue rocket.,0,1,10,8,7,10,10,2
A pink raccoon and a blue rocket.,0,0,0,10,0,0,6,3
A yellow otter and a blue flatfish.,0,0,0,0,0,0,8,0
A yellow otter and a blue flatfish.,0,0,0,0,0,0,0,1
A yellow otter and a blue flatfish.,0,0,2,0,0,0,0,2
A yellow otter and a blue flatfish.,0,0,0,0,0,0,0,3
A black cell phone and a yellow sea.,0,0,1,0,10,1,1,0
A black cell phone and a yellow sea.,0,0,0,10,10,4,0,1
A black cell phone and a yellow sea.,0,0,1,0,10,0,0,2
A black cell phone and a yellow sea.,0,0,1,8,10,0,2,3
A blue chimpanzee and a green seal.,0,0,0,0,0,0,0,0
A blue chimpanzee and a green seal.,0,0,0,0,0,0,0,1
A blue chimpanzee and a green seal.,0,0,0,0,0,7,4,2
A blue chimpanzee and a green seal.,0,0,0,0,0,0,10,3
A purple boy and a white bed.,0,1,10,10,10,10,10,0
A purple boy and a white bed.,0,1,10,10,10,10,10,1
A purple boy and a white bed.,10,6,10,8,10,10,4,2
A purple boy and a white bed.,10,2,10,10,10,10,10,3
A yellow camel and an orange plate.,0,0,10,10,10,10,10,0
A yellow camel and an orange plate.,0,0,0,10,10,10,10,1
A yellow camel and an orange plate.,0,0,10,10,10,10,0,2
A yellow camel and an orange plate.,0,0,10,7,10,10,10,3
A brown stop sign and a pink oven.,0,0,0,0,0,0,10,0
A brown stop sign and a pink oven.,0,0,0,0,0,0,0,1
A brown stop sign and a pink oven.,0,0,0,0,0,10,7,2
A brown stop sign and a pink oven.,0,0,0,0,0,0,7,3
An orange tractor and a red orange.,0,0,0,0,0,0,0,0
An orange tractor and a red orange.,0,0,0,0,0,0,0,1
An orange tractor and a red orange.,0,0,0,0,0,0,10,2
An orange tractor and a red orange.,0,0,10,0,0,0,10,3
A brown toothbrush and a pink sunflower.,10,7,10,10,0,10,10,0
A brown toothbrush and a pink sunflower.,10,0,0,1,2,0,10,1
A brown toothbrush and a pink sunflower.,0,10,10,7,1,10,10,2
A brown toothbrush and a pink sunflower.,10,0,10,10,0,10,10,3
A white lizard and an orange kangaroo.,0,0,0,0,Error,0,1,0
A white lizard and an orange kangaroo.,0,0,0,0,0,10,10,1
A white lizard and an orange kangaroo.,0,0,0,10,0,0,10,2
A white lizard and an orange kangaroo.,0,0,0,0,0,0,10,3
A black snowboard and a white can.,0,0,0,0,0,0,0,0
A black snowboard and a white can.,0,0,0,0,0,0,10,1
A black snowboard and a white can.,0,0,0,0,0,0,0,2
A black snowboard and a white can.,0,0,0,0,0,0,10,3
A black snowboard and a pink lamp.,0,4,10,10,5,10,10,0
A black snowboard and a pink lamp.,0,1,10,10,10,10,10,1
A black snowboard and a pink lamp.,0,0,0,0,0,10,10,2
A black snowboard and a pink lamp.,0,0,10,10,10,0,10,3
A red refrigerator and a purple elephant.,0,10,10,8,10,0,0,0
A red refrigerator and a purple elephant.,0,10,10,10,10,8,10,1
A red refrigerator and a purple elephant.,10,10,0,8,10,10,8,2
A red refrigerator and a purple elephant.,10,0,10,0,10,10,10,3
A white giraffe and a pink tulip.,0,0,5,0,0,5,8,0
A white giraffe and a pink tulip.,0,0,10,0,1,10,10,1
A white giraffe and a pink tulip.,0,2,0,0,0,7,9,2
A white giraffe and a pink tulip.,0,0,10,0,0,10,10,3
A brown possum and a blue parking meter.,0,0,0,10,10,10,0,0
A brown possum and a blue parking meter.,0,0,0,0,10,10,10,1
A brown possum and a blue parking meter.,0,0,0,0,0,10,10,2
A brown possum and a blue parking meter.,0,0,0,10,10,10,10,3
A red lamp and a pink crab.,0,0,10,0,0,10,10,0
A red lamp and a pink crab.,Error,10,10,0,0,10,10,1
A red lamp and a pink crab.,0,10,10,2,10,0,10,2
A red lamp and a pink crab.,0,0,0,0,10,10,10,3
An orange dinosaur and a yellow pear.,0,0,10,5,0,7,10,0
