prompt,0,4,8,12,16,20,24,seed
A blue umbrella.,0,0,0,1,1,1,0,0
A blue umbrella.,0,1,1,1,1,0,0,1
A blue umbrella.,0,0,1,0,1,0,0,2
A blue umbrella.,0,0,1,1,1,0,0,3
A brown horse.,0,0,1,1,1,1,1,0
A brown horse.,0,0,1,1,1,1,1,1
A brown horse.,0,0,1,1,1,1,1,2
A brown horse.,1,0,1,1,1,1,1,3
A pink sea.,0,0,0,0,0,0,1,0
A pink sea.,0,0,1,0,0,1,1,1
A pink sea.,0,0,0,0,0,1,1,2
A pink sea.,0,0,1,0,0,1,0,3
A red mouse.,0,0,0,0,1,1,0,0
A red mouse.,0,0,1,1,0,0,1,1
A red mouse.,0,0,1,1,1,1,1,2
A red mouse.,0,0,1,1,1,1,1,3
A green television.,0,0,1,1,1,0,1,0
A green television.,0,0,1,1,1,1,1,1
A green television.,0,0,1,1,1,1,1,2
A green television.,0,0,1,1,1,1,1,3
A yellow baby.,0,0,1,1,1,1,0,0
A yellow baby.,0,0,0,0,0,0,0,1
A yellow baby.,0,0,1,0,0,0,0,2
A yellow baby.,0,0,0,0,0,0,0,3
A pink remote.,0,0,1,0,1,1,1,0
A pink remote.,0,0,0,0,1,1,1,1
A pink remote.,0,0,1,1,1,1,1,2
A pink remote.,0,0,0,0,1,1,1,3
A brown rabbit.,0,0,1,1,1,1,1,0
A brown rabbit.,0,0,1,0,1,1,1,1
A brown rabbit.,0,0,1,1,1,1,1,2
A brown rabbit.,0,0,1,1,1,1,1,3
A yellow tulip.,0,1,1,1,1,1,1,0
A yellow tulip.,0,0,0,1,1,1,1,1
A yellow tulip.,0,0,1,1,1,1,1,2
A yellow tulip.,0,0,1,1,1,1,1,3
A pink clock.,0,0,1,1,1,1,1,0
A pink clock.,0,1,1,1,1,1,1,1
A pink clock.,0,0,1,1,1,1,1,2
A pink clock.,1,0,1,1,1,1,1,3
A red beaver.,0,0,0,0,1,1,1,0
A red beaver.,0,0,0,0,1,1,1,1
A red beaver.,0,0,0,0,0,1,1,2
A red beaver.,0,0,0,1,1,1,1,3
A white mushroom.,0,0,1,1,1,0,1,0
A white mushroom.,0,0,1,1,1,0,1,1
A white mushroom.,0,0,0,0,1,0,1,2
A white mushroom.,0,0,1,1,0,1,1,3
