prompt,0,4,8,12,16,20,24,seed
A street sign is painted yellow and white.,0,6,7,4,0,0,1,0
A street sign is painted yellow and white.,0,0,3,1,4,0,4,1
A street sign is painted yellow and white.,0,1,0,2,0,0,0,2
A street sign is painted yellow and white.,0,3,2,1,0,2,6,3
She doesn't look very comfortable holding the tennis racket.,0,9,0,0,4,6,8,0
She doesn't look very comfortable holding the tennis racket.,0,0,5,0,0,3,5,1
She doesn't look very comfortable holding the tennis racket.,0,0,6,5,5,5,6,2
She doesn't look very comfortable holding the tennis racket.,0,0,8,4,0,5,8,3
"I cannot tell what that glass bottle is lying on,",5,0,0,0,5,10,0,0
"I cannot tell what that glass bottle is lying on,",0,5,7,10,6,5,8,1
"I cannot tell what that glass bottle is lying on,",0,5,0,5,7,5,0,2
"I cannot tell what that glass bottle is lying on,",0,"I'm sorry, I cannot assist with these requests.",0,0,5,4,0,3
A food processor that has been mixing something red.,0,0,2,4,2,10,8,0
A food processor that has been mixing something red.,0,0,4,5,6,4,8,1
A food processor that has been mixing something red.,0,0,0,7,5,8,6,2
A food processor that has been mixing something red.,1,4,5,6,8,10,10,3
A wedding cake is white and dark blue.,0,0,0,0,0,2,0,0
A wedding cake is white and dark blue.,0,0,0,0,0,2,0,1
A wedding cake is white and dark blue.,1,2,2,1,2,0,5,2
A wedding cake is white and dark blue.,0,0,0,1,1,0,4,3
there is a small baby zebra looking behind it,0,6,0,0,0,0,0,0
there is a small baby zebra looking behind it,0,0,0,0,0,0,0,1
there is a small baby zebra looking behind it,0,0,0,0,0,0,1,2
there is a small baby zebra looking behind it,0,2,3,0,0,0,0,3
All of the pizza slices are being eaten except two.,10,5,10,6,10,7,10,0
All of the pizza slices are being eaten except two.,4,0,8,9,6,8,10,1
All of the pizza slices are being eaten except two.,8,0,10,10,10,10,10,2
All of the pizza slices are being eaten except two.,10,0,10,9,10,9,10,3
A single yellow rose in a small glass vase,5,5,5,10,8,7,10,0
A single yellow rose in a small glass vase,0,7,10,10,8,10,9,1
A single yellow rose in a small glass vase,6,8,8,7,10,6,10,2
A single yellow rose in a small glass vase,0,6,9,7,7,10,8,3
An adult black and brown bear looking straight ahead.,0,0,0,0,0,0,0,0
An adult black and brown bear looking straight ahead.,0,0,0,0,0,0,0,1
An adult black and brown bear looking straight ahead.,0,0,0,0,0,0,0,2
An adult black and brown bear looking straight ahead.,0,0,0,0,0,0,0,3
Two retro school buses parked behind one another.,5,0,2,2,1,0,3,0
Two retro school buses parked behind one another.,0,0,2,0,1,0,2,1
Two retro school buses parked behind one another.,0,0,1,2,3,2,3,2
Two retro school buses parked behind one another.,0,1,0,1,0,0,1,3
He is drinking outside from a wine goblet.,0,0,8,5,8,8,10,0
He is drinking outside from a wine goblet.,0,0,0,0,7,5,5,1
He is drinking outside from a wine goblet.,0,3,8,4,0,5,7,2
He is drinking outside from a wine goblet.,0,0,7,4,5,7,8,3
A beautiful brown muted colored mosaic tiled bathroom.,8,8,8,5,6,4,8,0
A beautiful brown muted colored mosaic tiled bathroom.,5,7,5,7,5,8,8,1
A beautiful brown muted colored mosaic tiled bathroom.,8,6,8,7,6,10,8,2
A beautiful brown muted colored mosaic tiled bathroom.,8,8,7,7,7,8,10,3
"So, this is what an Alienware keyboard looks like.",0,1,0,0,6,4,7,0
"So, this is what an Alienware keyboard looks like.",0,0,0,0,5,5,5,1
"So, this is what an Alienware keyboard looks like.",0,0,4,4,5,5,0,2
"So, this is what an Alienware keyboard looks like.",1,4,4,0,5,5,5,3
A metal refrigerator with plastic peeling off of it.,0,5,6,7,8,6,7,0
A metal refrigerator with plastic peeling off of it.,5,6,8,6,8,7,6,1
A metal refrigerator with plastic peeling off of it.,1,0,6,8,6,5,6,2
A metal refrigerator with plastic peeling off of it.,0,5,7,7,6,6,7,3
There is a adult giraffe that is in the photo looking at something,0,0,0,0,0,0,0,0
There is a adult giraffe that is in the photo looking at something,0,5,0,0,0,0,0,1
There is a adult giraffe that is in the photo looking at something,0,0,0,0,0,0,0,2
There is a adult giraffe that is in the photo looking at something,0,5,5,0,0,0,0,3
The beer glasses are full and ready to enjoy.,0,8,10,8,10,10,8,0
The beer glasses are full and ready to enjoy.,0,10,8,10,10,10,10,1
The beer glasses are full and ready to enjoy.,0,0,10,10,8,6,10,2
The beer glasses are full and ready to enjoy.,0,6,0,0,10,10,10,3
The street sign is clearly visible for all of us to see.,0,5,4,6,0,4,5,0
The street sign is clearly visible for all of us to see.,0,4,2,7,7,0,2,1
The street sign is clearly visible for all of us to see.,0,0,4,0,3,5,0,2
The street sign is clearly visible for all of us to see.,0,0,0,0,0,7,5,3
A mens bathroom that has been neatly decorated.,0,0,0,0,0,0,0,0
A mens bathroom that has been neatly decorated.,0,0,0,0,0,0,0,1
A mens bathroom that has been neatly decorated.,0,0,0,0,0,0,0,2
A mens bathroom that has been neatly decorated.,0,0,0,0,0,0,0,3
A baseball hitter swings and prepares to run.,0,0,4,0,0,8,8,0
A baseball hitter swings and prepares to run.,1,0,0,4,5,5,5,1
A baseball hitter swings and prepares to run.,8,0,0,6,5,4,4,2
A baseball hitter swings and prepares to run.,3,5,4,4,5,4,5,3
This traffic light is not one that is familiar.,0,0,0,4,4,1,0,0
This traffic light is not one that is familiar.,0,0,0,4,3,1,0,1
This traffic light is not one that is familiar.,2,0,3,0,0,7,1,2
This traffic light is not one that is familiar.,0,1,1,2,0,0,3,3
A family portrait is shown in black and white.,0,2,7,5,7,8,7,0
A family portrait is shown in black and white.,0,8,10,8,7,8,10,1
A family portrait is shown in black and white.,6,8,7,10,8,8,10,2
A family portrait is shown in black and white.,0,5,6,10,8,10,8,3
A white fully stocked double door refrigerator.,10,0,1,2,6,2,6,0
A white fully stocked double door refrigerator.,10,1,3,6,1,1,0,1
A white fully stocked double door refrigerator.,10,0,1,4,0,0,1,2
A white fully stocked double door refrigerator.,10,4,5,4,6,1,0,3
The street signs are clearly visible for everyone to see.,8,4,4,Error,0,2,0,0
The street signs are clearly visible for everyone to see.,6,0,5,6,7,4,3,1
The street signs are clearly visible for everyone to see.,7,0,4,0,0,0,0,2
The street signs are clearly visible for everyone to see.,6,0,0,0,0,6,0,3
two computer monitors with the same image on it,2,4,4,6,6,7,7,0
two computer monitors with the same image on it,0,7,7,7,8,7,5,1
two computer monitors with the same image on it,0,5,8,4,7,7,8,2
two computer monitors with the same image on it,0,3,0,5,8,7,6,3
Two steam trains next to each other,0,0,4,8,7,6,7,0
Two steam trains next to each other,0,0,5,0,6,0,8,1
Two steam trains next to each other,0,0,8,8,0,8,8,2
Two steam trains next to each other,0,2,0,5,5,5,7,3
The traffic light is clearly visible for us to see.,3,4,0,3,7,0,1,0
The traffic light is clearly visible for us to see.,0,1,1,4,4,0,0,1
The traffic light is clearly visible for us to see.,4,2,0,0,1,1,0,2
The traffic light is clearly visible for us to see.,2,0,0,0,0,6,0,3
there are many snow boarders that can be seen jumping,8,2,8,9,10,8,9,0
there are many snow boarders that can be seen jumping,0,0,8,8,7,10,10,1
there are many snow boarders that can be seen jumping,8,3,9,10,10,10,10,2
there are many snow boarders that can be seen jumping,0,5,6,8,6,10,10,3
Two baby elephants standing next to each other.,0,0,0,0,0,2,0,0
Two baby elephants standing next to each other.,0,0,1,0,0,0,0,1
Two baby elephants standing next to each other.,0,0,0,0,0,0,1,2
Two baby elephants standing next to each other.,0,0,0,0,0,0,0,3
The traffic light is clearly visible for us to see.,0,3,0,1,5,1,2,0
The traffic light is clearly visible for us to see.,1,0,0,4,2,0,2,1
The traffic light is clearly visible for us to see.,5,0,0,0,2,4,0,2
The traffic light is clearly visible for us to see.,0,1,5,1,2,3,0,3
someone standing and riding on a skate board .,1,1,5,5,5,2,0,0
someone standing and riding on a skate board .,5,5,5,2,6,0,4,1
someone standing and riding on a skate board .,0,0,3,4,3,4,10,2
someone standing and riding on a skate board .,2,1,3,0,7,0,3,3
The traffic lights are clearly displayed for us to see.,5,0,0,0,0,0,1,0
The traffic lights are clearly displayed for us to see.,0,4,3,7,5,1,1,1
The traffic lights are clearly displayed for us to see.,0,3,3,0,0,0,0,2
The traffic lights are clearly displayed for us to see.,0,0,2,0,2,6,7,3
a boating dock that has been destroyed by something,5,0,6,0,3,0,5,0
a boating dock that has been destroyed by something,0,3,7,0,0,0,0,1
a boating dock that has been destroyed by something,5,3,5,4,0,5,0,2
a boating dock that has been destroyed by something,6,0,3,0,1,0,0,3
a red white and blue one passenger airplane,5,3,5,0,5,5,8,0
a red white and blue one passenger airplane,0,0,0,7,5,5,5,1
a red white and blue one passenger airplane,0,0,5,5,5,5,10,2
a red white and blue one passenger airplane,0,0,3,6,0,5,5,3
A computer desk that is very cluttered and disorganized.,0,0,10,10,8,10,10,0
A computer desk that is very cluttered and disorganized.,0,6,8,10,8,10,7,1
A computer desk that is very cluttered and disorganized.,0,8,10,8,10,10,8,2
A computer desk that is very cluttered and disorganized.,0,0,7,7,7,9,10,3
There is a clean bathroom counter and sink.,0,7,9,10,10,8,6,0
There is a clean bathroom counter and sink.,0,5,10,10,8,8,8,1
There is a clean bathroom counter and sink.,0,8,10,10,8,8,8,2
There is a clean bathroom counter and sink.,0,1,8,7,10,7,8,3
many motorcycle front wheels near one another.,0,3,10,10,10,10,10,0
many motorcycle front wheels near one another.,0,4,7,7,7,7,10,1
many motorcycle front wheels near one another.,0,8,7,8,10,0,10,2
many motorcycle front wheels near one another.,0,3,10,10,8,10,8,3
there is a large brick oven that is empty,0,6,9,10,8,10,10,0
there is a large brick oven that is empty,7,2,7,3,10,10,9,1
there is a large brick oven that is empty,1,5,0,8,4,7,7,2
there is a large brick oven that is empty,0,0,6,10,7,10,8,3
