prompt,3,7,11,15,19,23,seed
Many different colorful flowers are on a table.,0,5,0,5,10,7,0
Many different colorful flowers are on a table.,1,2,5,0,0,0,1
Many different colorful flowers are on a table.,0,3,0,0,10,2,2
Many different colorful flowers are on a table.,1,1,0,4,3,0,3
A few different animals are in the wild.,0,0,2,1,6,3,0
A few different animals are in the wild.,0,0,0,1,3,0,1
A few different animals are in the wild.,1,2,0,0,3,2,2
A few different animals are in the wild.,0,0,1,0,2,2,3
a white stove is next to a window,2,8,10,0,0,10,0
a white stove is next to a window,0,0,0,10,10,10,1
a white stove is next to a window,2,0,8,10,10,10,2
a white stove is next to a window,4,10,10,9,10,0,3
A rectangular shaped pizza is on a wooden board.,6,5,10,10,10,10,0
A rectangular shaped pizza is on a wooden board.,0,10,10,10,10,10,1
A rectangular shaped pizza is on a wooden board.,1,7,3,6,10,8,2
A rectangular shaped pizza is on a wooden board.,1,2,2,10,10,10,3
"A slim, modern fridge is next to some clean, sleek cabinets. ",1,8,10,10,7,10,0
"A slim, modern fridge is next to some clean, sleek cabinets. ",2,0,6,0,0,7,1
"A slim, modern fridge is next to some clean, sleek cabinets. ",2,4,0,0,2,10,2
"A slim, modern fridge is next to some clean, sleek cabinets. ",6,0,0,7,8,10,3
Apples of green and red are in white baskets.,0,1,0,1,10,10,0
Apples of green and red are in white baskets.,1,5,10,7,10,10,1
Apples of green and red are in white baskets.,3,0,1,5,10,10,2
Apples of green and red are in white baskets.,1,0,0,8,8,10,3
A large empty silver kitchen is under construction.,3,2,1,5,2,9,0
A large empty silver kitchen is under construction.,5,2,1,5,7,7,1
A large empty silver kitchen is under construction.,5,1,2,2,8,7,2
A large empty silver kitchen is under construction.,3,4,4,1,1,7,3
The young boy is on the boat navigating it.,0,0,0,10,10,10,0
The young boy is on the boat navigating it.,1,0,4,7,10,10,1
The young boy is on the boat navigating it.,2,0,0,10,10,10,2
The young boy is on the boat navigating it.,0,1,0,6,10,10,3
Three brown bananas are by a measuring glass.,0,0,0,0,7,10,0
Three brown bananas are by a measuring glass.,0,0,0,0,0,0,1
Three brown bananas are by a measuring glass.,0,0,0,8,7,0,2
Three brown bananas are by a measuring glass.,0,1,0,0,10,9,3
a clock is on a white tower outside,0,7,1,1,10,10,0
a clock is on a white tower outside,1,4,7,1,4,10,1
a clock is on a white tower outside,0,0,2,9,7,10,2
a clock is on a white tower outside,0,0,0,7,8,3,3
The dog is on the leash walking outside.,4,1,10,10,10,10,0
The dog is on the leash walking outside.,2,2,0,6,7,9,1
The dog is on the leash walking outside.,0,2,8,10,10,10,2
The dog is on the leash walking outside.,2,5,6,10,7,10,3
a large bed is in a white room,7,10,8,10,2,9,0
a large bed is in a white room,8,9,9,9,10,10,1
a large bed is in a white room,8,8,7,9,3,9,2
a large bed is in a white room,5,8,6,10,9,10,3
Several zebras are in an open grassy field.,0,3,5,7,7,10,0
Several zebras are in an open grassy field.,2,1,4,8,7,8,1
Several zebras are in an open grassy field.,8,3,5,9,9,10,2
Several zebras are in an open grassy field.,0,7,7,7,7,10,3
An airplane is in a yellow and blue sky.,4,0,4,0,0,10,0
An airplane is in a yellow and blue sky.,1,0,0,0,8,10,1
An airplane is in a yellow and blue sky.,0,0,10,0,0,10,2
An airplane is in a yellow and blue sky.,1,2,0,0,0,0,3
Two little white boxes are on a mat.,0,7,5,7,6,7,0
Two little white boxes are on a mat.,2,1,3,10,4,4,1
Two little white boxes are on a mat.,2,1,7,7,8,7,2
Two little white boxes are on a mat.,2,2,4,7,7,6,3
The zebra is in the field standing all alone.,1,4,7,7,5,8,0
The zebra is in the field standing all alone.,0,6,7,0,7,10,1
The zebra is in the field standing all alone.,0,2,5,0,7,7,2
The zebra is in the field standing all alone.,0,2,5,0,4,10,3
many different tools are on different wooden shelves,8,8,9,10,10,10,0
many different tools are on different wooden shelves,7,9,7,10,10,9,1
many different tools are on different wooden shelves,0,3,7,1,10,8,2
many different tools are on different wooden shelves,5,5,10,8,9,8,3
The cloudy sky is above the grassy land.,1,3,7,4,7,8,0
The cloudy sky is above the grassy land.,0,0,3,0,4,8,1
The cloudy sky is above the grassy land.,5,0,7,10,7,10,2
The cloudy sky is above the grassy land.,4,7,0,7,7,7,3
A few people are in the ocean splashing around.,0,0,0,0,7,10,0
A few people are in the ocean splashing around.,1,0,1,10,4,7,1
A few people are in the ocean splashing around.,1,0,8,7,5,10,2
A few people are in the ocean splashing around.,0,2,0,7,0,10,3
The suitcases are on the ramp waiting to get picked up.,0,2,0,7,1,3,0
The suitcases are on the ramp waiting to get picked up.,4,2,1,0,0,1,1
The suitcases are on the ramp waiting to get picked up.,7,5,0,1,0,0,2
The suitcases are on the ramp waiting to get picked up.,2,2,0,0,2,2,3
The pretty colored cookies are on the table.,4,8,5,5,7,10,0
The pretty colored cookies are on the table.,2,8,3,1,10,7,1
The pretty colored cookies are on the table.,1,2,7,7,10,0,2
The pretty colored cookies are on the table.,2,0,2,2,10,7,3
A man is next to a blue and yellow train.,0,0,0,10,10,10,0
A man is next to a blue and yellow train.,1,1,0,5,10,10,1
A man is next to a blue and yellow train.,2,0,1,10,10,10,2
A man is next to a blue and yellow train.,0,0,1,10,0,10,3
A double decked bus is at an intersection.,3,2,8,10,7,9,0
A double decked bus is at an intersection.,0,1,2,2,4,8,1
A double decked bus is at an intersection.,0,7,3,4,4,7,2
A double decked bus is at an intersection.,3,0,7,7,10,10,3
The people are on the beach getting ready to surf.,0,0,0,2,10,8,0
The people are on the beach getting ready to surf.,2,1,1,1,10,10,1
The people are on the beach getting ready to surf.,0,0,1,10,7,10,2
The people are on the beach getting ready to surf.,0,0,0,7,10,10,3
a plane is on the tarmac preparing to load or unload,0,0,10,10,10,10,0
a plane is on the tarmac preparing to load or unload,0,0,10,10,10,10,1
a plane is on the tarmac preparing to load or unload,0,10,10,10,10,10,2
a plane is on the tarmac preparing to load or unload,0,7,10,10,10,10,3
three pink umbrellas are in a lush garden,3,5,7,8,9,10,0
three pink umbrellas are in a lush garden,1,4,8,8,9,10,1
three pink umbrellas are in a lush garden,3,7,8,8,7,9,2
three pink umbrellas are in a lush garden,2,2,10,5,8,10,3
The cake is on the table ready to be eaten.,7,7,8,7,8,6,0
The cake is on the table ready to be eaten.,0,7,0,10,10,10,1
The cake is on the table ready to be eaten.,3,5,10,10,4,9,2
The cake is on the table ready to be eaten.,0,6,7,8,10,10,3
a bucket is next to the toilet.,10,10,10,8,10,10,0
a bucket is next to the toilet.,0,0,10,0,10,10,1
a bucket is next to the toilet.,0,0,10,10,10,10,2
a bucket is next to the toilet.,0,7,10,10,10,10,3
A yellow and black old train is on a bridge.,4,1,8,10,8,2,0
A yellow and black old train is on a bridge.,1,0,2,1,0,10,1
A yellow and black old train is on a bridge.,0,0,10,7,1,10,2
A yellow and black old train is on a bridge.,0,8,7,0,8,10,3
A sandwich is next to a yellow stuffed animal.,0,0,0,0,0,0,0
A sandwich is next to a yellow stuffed animal.,2,0,0,0,0,0,1
A sandwich is next to a yellow stuffed animal.,1,0,0,0,0,1,2
A sandwich is next to a yellow stuffed animal.,0,0,0,0,1,0,3
A raw turkey is in an open oven.,2,0,0,1,10,10,0
A raw turkey is in an open oven.,0,0,0,10,2,10,1
A raw turkey is in an open oven.,1,0,0,0,0,10,2
A raw turkey is in an open oven.,1,0,0,1,7,10,3
two white polar bears are in their pen,0,0,0,1,0,0,0
two white polar bears are in their pen,0,0,0,1,0,0,1
two white polar bears are in their pen,2,0,0,0,0,0,2
two white polar bears are in their pen,0,0,0,0,0,0,3
A neatly made bed is next to a curtained window.,10,8,8,10,10,8,0
A neatly made bed is next to a curtained window.,5,10,8,10,8,9,1
A neatly made bed is next to a curtained window.,4,10,9,8,10,10,2
A neatly made bed is next to a curtained window.,2,10,10,8,10,10,3
Two zebras behind a cage standing next to each other.,0,2,8,0,2,8,0
Two zebras behind a cage standing next to each other.,0,2,8,8,3,10,1
Two zebras behind a cage standing next to each other.,4,2,7,9,5,8,2
Two zebras behind a cage standing next to each other.,4,6,0,8,1,7,3
a yellow van is in a busy town,3,1,7,7,5,7,0
a yellow van is in a busy town,3,7,5,8,7,6,1
a yellow van is in a busy town,3,3,7,7,6,8,2
a yellow van is in a busy town,2,3,5,7,5,10,3
a yellow and white train is at a station,3,1,8,5,7,10,0
a yellow and white train is at a station,4,0,7,8,8,10,1
a yellow and white train is at a station,4,6,4,7,7,10,2
a yellow and white train is at a station,0,3,9,7,8,10,3
A red and white airplane is on the runway.,2,0,2,10,7,10,0
A red and white airplane is on the runway.,1,0,10,7,9,7,1
A red and white airplane is on the runway.,0,2,10,8,10,10,2
A red and white airplane is on the runway.,2,0,2,7,6,10,3
A large clock is outside a large building.,0,8,10,4,9,10,0
A large clock is outside a large building.,1,0,10,5,10,10,1
A large clock is outside a large building.,1,8,10,8,10,10,2
A large clock is outside a large building.,0,0,10,10,10,10,3
The meal is on the plate and ready to be eaten.,7,6,8,8,9,10,0
The meal is on the plate and ready to be eaten.,0,9,8,9,9,8,1
The meal is on the plate and ready to be eaten.,7,6,10,8,10,10,2
The meal is on the plate and ready to be eaten.,2,9,9,8,9,10,3
A frothy drink is by some strange looking bananas.,3,1,3,9,7,5,0
A frothy drink is by some strange looking bananas.,3,1,7,8,1,10,1
A frothy drink is by some strange looking bananas.,0,2,6,8,10,10,2
A frothy drink is by some strange looking bananas.,0,0,0,6,9,10,3
