prompt,0,4,8,12,16,20,24,seed
A photo of an Aye-aye.,0,0.0,0.0,0,2,8,8.0,0.0
A photo of an Aye-aye.,0,0.0,0.0,0,0,10,5.0,1.0
A photo of an Aye-aye.,0,0.0,0.0,0,0,7,7.0,2.0
A photo of an Aye-aye.,0,0.0,0.0,0,0,4,10.0,3.0
A photo of a Dik-dik.,0,0.0,0.0,4,0,10,10.0,0.0
A photo of a Dik-dik.,0,0.0,0.0,0,10,10,10.0,1.0
A photo of a Dik-dik.,0,0.0,0.0,0,3,10,10.0,2.0
A photo of a Dik-dik.,0,0.0,0.0,0,2,10,10.0,3.0
A photo of a Tarsier.,0,0.0,7.0,0,8,8,10.0,0.0
A photo of a Tarsier.,0,0.0,8.0,8,4,8,10.0,1.0
A photo of a Tarsier.,0,0.0,8.0,4,6,8,8.0,2.0
A photo of a Tarsier.,0,0.0,6.0,0,8,6,8.0,3.0
A photo of a Gerenuk.,0,0.0,1.0,0,2,10,10.0,0.0
A photo of a Gerenuk.,0,0.0,0.0,0,8,8,10.0,1.0
A photo of a Gerenuk.,0,0.0,0.0,0,10,10,5.0,2.0
A photo of a Gerenuk.,0,0.0,3.0,0,0,10,10.0,3.0
A photo of a Jerboa.,0,0.0,2.0,2,0,0,0.0,0.0
A photo of a Jerboa.,0,0.0,2.0,2,1,0,0.0,1.0
A photo of a Jerboa.,0,0.0,0.0,2,2,4,6.0,2.0
A photo of a Jerboa.,0,0.0,2.0,2,2,10,10.0,3.0
A photo of a Babirusa.,0,0.0,0.0,0,5,0,10.0,0.0
A photo of a Babirusa.,0,0.0,0.0,2,4,0,2.0,1.0
A photo of a Babirusa.,0,0.0,2.0,0,0,0,0.0,2.0
A photo of a Babirusa.,0,0.0,0.0,0,0,6,10.0,3.0
A photo of a Saola.,0,0.0,0.0,0,0,0,0.0,0.0
A photo of a Saola.,0,0.0,0.0,0,0,8,0.0,1.0
A photo of a Saola.,0,0.0,0.0,0,4,0,0.0,2.0
A photo of a Saola.,0,0.0,0.0,0,0,0,0.0,3.0
A photo of a Galago.,0,0.0,0.0,0,0,1,7.0,0.0
A photo of a Galago.,0,0.0,0.0,0,0,0,4.0,1.0
A photo of a Galago.,0,0.0,0.0,0,0,2,0.0,2.0
A photo of a Galago.,0,0.0,0.0,0,0,0,0.0,3.0
A photo of a Vervet.,Error,0.0,0.0,0,0,5,0.0,0.0
A photo of a Vervet.,0,0.0,0.0,0,Error,0,0.0,1.0
A photo of a Vervet.,0,0.0,0.0,0,0,0,0.0,2.0
A photo of a Vervet.,0,0.0,0.0,0,0,0,8.0,3.0
A photo of a guppy.,0,0.0,0.0,2,5,8,8.0,0.0
A photo of a guppy.,0,0.0,1.0,2,8,8,9.0,1.0
A photo of a guppy.,1,4.0,6.0,4,6,8,9.0,2.0
A photo of a guppy.,0,0.0,0.0,0,5,2,10.0,3.0
A photo of a Celestial Pearl Danio.,0,0.0,0.0,0,0,6,4.0,0.0
A photo of a Celestial Pearl Danio.,0,0.0,0.0,0,0,4,8.0,1.0
A photo of a Celestial Pearl Danio.,0,0.0,0.0,0,0,5,8.0,2.0
A photo of a Celestial Pearl Danio.,0,0.0,0.0,0,0,7,5.0,3.0
A photo of a Herring.,Error,0.0,5.0,6,7,6,8.0,0.0
A photo of a Herring.,0,0.0,0.0,0,7,7,8.0,1.0
A photo of a Herring.,5,0.0,0.0,0,7,8,7.0,2.0
A photo of a Herring.,0,2.0,0.0,5,8,6,8.0,3.0
A photo of a Pike.,0,0.0,0.0,1,7,8,10.0,0.0
A photo of a Pike.,0,0.0,0.0,5,7,10,10.0,1.0
A photo of a Pike.,0,0.0,0.0,0,10,8,9.0,2.0
A photo of a Pike.,0,0.0,0.0,7,5,10,8.0,3.0
A photo of a Walleye.,0,0.0,0.0,Error,4,8,7.0,0.0
A photo of a Walleye.,0,0.0,6.0,5,7,10,8.0,1.0
A photo of a Walleye.,0,4.0,0.0,6,8,10,8.0,2.0
A photo of a Walleye.,0,0.0,6.0,8,7,4,8.0,3.0
A photo of a Pelican.,0,3.0,10.0,10,9,10,10.0,0.0
A photo of a Pelican.,0,0.0,8.0,10,10,10,10.0,1.0
A photo of a Pelican.,0,0.0,10.0,8,10,10,0.0,2.0
A photo of a Pelican.,0,0.0,10.0,10,10,Error,10.0,3.0
A photo of a Grebe.,0,0.0,0.0,8,8,8,10.0,0.0
A photo of a Grebe.,Error,0.0,5.0,5,4,10,8.0,1.0
A photo of a Grebe.,0,0.0,8.0,5,1,7,7.0,2.0
A photo of a Grebe.,0,0.0,4,6,8,8,10.0,3.0
A photo of a Spoonbill.,0,0.0,0,8,8,5,10.0,0.0
A photo of a Spoonbill.,0,0.0,0,6,8,8,0.0,1.0
A photo of a Spoonbill.,0,0.0,8,0,6,7,10.0,2.0
A photo of a Spoonbill.,0,0.0,5,8,8,9,10.0,3.0
A photo of a Bee-eater.,0,0.0,0,3,10,7,9.0,0.0
A photo of a Bee-eater.,0,0.0,0,0,7,8,8.0,1.0
A photo of a Bee-eater.,0,0.0,0,5,8,9,10.0,2.0
A photo of a Bee-eater.,0,4.0,0,8,0,7,8.0,3.0
A photo of a Taipan.,0,0.0,0,5,0,0,7.0,0.0
A photo of a Taipan.,0,0.0,0,0,0,0,4.0,1.0
A photo of a Taipan.,0,0.0,0,0,0,1,5.0,2.0
A photo of a Taipan.,0,0.0,3,0,0,1,3.0,3.0
A photo of a Copperhead.,0,0.0,0,0,2,1,10.0,0.0
A photo of a Copperhead.,0,0.0,0,0,1,8,7.0,1.0
A photo of a Copperhead.,0,0.0,0,0,0,0,10.0,2.0
A photo of a Copperhead.,0,0.0,0,0,0,8,10.0,3.0
A photo of an Anilius.,0,0.0,Error,0,0,0,0.0,0.0
A photo of an Anilius.,0,0.0,0,0,0,0,0.0,1.0
A photo of an Anilius.,0,0.0,0,0,0,Error,0.0,2.0
A photo of an Anilius.,0,0.0,0,0,0,0,0.0,3.0
A photo of a Gecko.,0,0.0,8,8,0,10,10.0,0.0
A photo of a Gecko.,0,2.0,0,5,8,8,10.0,1.0
A photo of a Gecko.,0,0.0,10,8,8,10,8.0,2.0
A photo of a Gecko.,0,0.0,0,4,8,10,10.0,3.0
A photo of a Skink.,0,0.0,0,1,0,8,8.0,0.0
A photo of a Skink.,0,5.0,2,0,0,0,6.0,1.0
A photo of a Skink.,0,0.0,0,0,4,8,8.0,2.0
A photo of a Skink.,0,0.0,0,5,0,7,6.0,3.0
A photo of a Bearded Dragon.,0,2.0,7,10,9,10,10.0,0.0
A photo of a Bearded Dragon.,0,0.0,10,10,9,10,10.0,1.0
A photo of a Bearded Dragon.,0,0.0,10,10,9,10,10.0,2.0
A photo of a Bearded Dragon.,0,0.0,10,9,5,9,10.0,3.0
A photo of a Ladybug.,0,0.0,0,8,8,10,10.0,0.0
A photo of a Ladybug.,Error,0.0,10,8,8,10,10.0,1.0
A photo of a Ladybug.,0,3.0,10,10,10,10,10.0,2.0
A photo of a Ladybug.,0,0.0,9,10,10,10,10.0,3.0
A photo of a Scarab.,0,0.0,0,0,0,10,10.0,0.0
A photo of a Scarab.,0,0.0,0,0,8,10,10.0,1.0
A photo of a Scarab.,0,0.0,0,3,8,7,10.0,2.0
A photo of a Scarab.,0,0.0,8,8,7,10,6.0,3.0
A photo of a Blue morpho.,0,8.0,0,0,6,10,10.0,0.0
A photo of a Blue morpho.,0,0.0,0,8,9,10,10.0,1.0
A photo of a Blue morpho.,0,0.0,0,6,10,10,10.0,2.0
A photo of a Blue morpho.,0,0.0,0,0,10,9,10.0,3.0
A photo of a Cloudless sulphur.,1,0.0,0,0,0,0,0.0,0.0
A photo of a Cloudless sulphur.,0,0.0,0,0,0,0,0.0,1.0
A photo of a Cloudless sulphur.,0,2.0,0,0,0,2,0.0,2.0
A photo of a Cloudless sulphur.,0,0.0,0,1,0,0,0.0,3.0
A photo of a Giant anteater.,0,0.0,0,0,0,10,8.0,0.0
A photo of a Giant anteater.,0,0.0,0,5,2,5,10.0,1.0
A photo of a Giant anteater.,0,0.0,4,8,0,10,10.0,2.0
A photo of a Giant anteater.,0,0.0,2,10,5,10,10.0,3.0
