prompt,animal,class,avg_daily_views
A photo of a Beagle.,Beagle,mammal,2392
A photo of a German Shepherd.,German Shepherd,mammal,4374
A photo of a Labrador Retriever.,Labrador Retriever,mammal,4198
A photo of a Dachshund.,Dachshund,mammal,3692
A photo of a Bulldog.,Bulldog,mammal,2234
A photo of a Ragdoll.,Ragdoll,mammal,2249
A photo of a Kangaroo.,Kangaroo,mammal,2533
A photo of a Chicken.,Chicken,bird,3803
A photo of an Owl.,Owl,bird,2208
A photo of an Eagle.,Eagle,bird,2072
A photo of a Salmon.,Salmon,fish,1999
A photo of a Catfish.,Catfish,fish,1856
A photo of a Cod.,Cod,fish,1544
A photo of an Orca.,Orca,mammal,5437
A photo of a Komodo dragon.,Komodo dragon,reptile,4664
A photo of a King cobra.,King cobra,reptile,2532
A photo of a Platypus.,Platypus,mammal,3820
A photo of a Narwhal.,Narwhal,fish,2402
A photo of an Ostrich.,Ostrich,bird,1633
A photo of a cougar.,cougar,mammal,3575
