prompt,0,4,8,12,16,20,24,seed
A photo of an Aye-aye.,0,0.0,1.0,0,10,10,10.0,0.0
A photo of an Aye-aye.,1,0.0,0.0,1,10,10,7.0,1.0
A photo of an Aye-aye.,0,0.0,3.0,0,3,9,10.0,2.0
A photo of an Aye-aye.,0,0.0,0.0,1,1,8,10.0,3.0
A photo of a Dik-dik.,0,0.0,1.0,8,2,10,10.0,0.0
A photo of a Dik-dik.,0,0.0,1.0,0,10,10,10.0,1.0
A photo of a Dik-dik.,0,0.0,0.0,0,6,10,10.0,2.0
A photo of a Dik-dik.,0,0.0,0.0,0,8,10,10.0,3.0
A photo of a Tarsier.,0,0.0,8.0,10,9,9,10.0,0.0
A photo of a Tarsier.,0,0.0,10.0,8,7,10,10.0,1.0
A photo of a Tarsier.,0,0.0,9.0,10,7,10,8.0,2.0
A photo of a Tarsier.,0,0.0,8.0,8,9,8,10.0,3.0
A photo of a Gerenuk.,0,0.0,10.0,0,6,10,10.0,0.0
A photo of a Gerenuk.,0,0.0,0.0,0,9,8,10.0,1.0
A photo of a Gerenuk.,0,0.0,0.0,0,10,10,10.0,2.0
A photo of a Gerenuk.,0,0.0,5.0,0,0,10,10.0,3.0
A photo of a Jerboa.,0,0.0,7.0,5,10,10,10.0,0.0
A photo of a Jerboa.,1,0.0,8.0,10,9,10,10.0,1.0
A photo of a Jerboa.,0,0.0,3.0,4,10,7,10.0,2.0
A photo of a Jerboa.,0,0.0,10.0,8,10,10,10.0,3.0
A photo of a Babirusa.,0,0.0,0.0,1,7,10,10.0,0.0
A photo of a Babirusa.,0,0.0,0.0,10,7,8,8.0,1.0
A photo of a Babirusa.,0,2.0,2.0,2,10,10,8.0,2.0
A photo of a Babirusa.,0,0.0,0.0,10,0,7,10.0,3.0
A photo of a Saola.,0,0.0,0.0,0,1,10,1.0,0.0
A photo of a Saola.,0,0.0,0.0,1,0,10,0.0,1.0
A photo of a Saola.,0,0.0,0.0,0,6,7,0.0,2.0
A photo of a Saola.,0,0.0,0.0,3,0,0,0.0,3.0
A photo of a Galago.,0,0.0,0.0,0,0,10,10.0,0.0
A photo of a Galago.,0,0.0,0.0,0,0,10,7.0,1.0
A photo of a Galago.,0,0.0,0.0,0,7,7,10.0,2.0
A photo of a Galago.,0,0.0,0.0,0,4,10,10.0,3.0
A photo of a Vervet.,Error,0.0,0.0,0,0, 8,10.0,0.0
A photo of a Vervet.,0,0.0,0.0,0,Error,6,6.0,1.0
A photo of a Vervet.,0,0.0,0.0,0,10,7,10.0,2.0
A photo of a Vervet.,1,1.0,1.0,0,0,10,8.0,3.0
