prompt,0,4,8,12,16,20,24,seed
Many different colorful flowers are on a table.,7,4,6,8,5,10,10,0
Many different colorful flowers are on a table.,8,8,10,10,6,10,10,1
Many different colorful flowers are on a table.,6,6,7,8,10,10,10,2
Many different colorful flowers are on a table.,0,6,9,7,7,8,7,3
A few different animals are in the wild.,5,0,7,8,10,7,8,0
A few different animals are in the wild.,6,0,8,6,8,10,8,1
A few different animals are in the wild.,5,0,6,0,10,5,9,2
A few different animals are in the wild.,8,0,7,6,8,8,6,3
a white stove is next to a window,0,0,0,10,10,10,8,0
a white stove is next to a window,0,0,0,0,8,8,10,1
a white stove is next to a window,0,0,10,6,6,10,10,2
a white stove is next to a window,0,0,7,6,10,8,8,3
A rectangular shaped pizza is on a wooden board.,0,8,4,8,8,6,10,0
A rectangular shaped pizza is on a wooden board.,0,0,7,4,8,10,10,1
A rectangular shaped pizza is on a wooden board.,0,0,7,6,8,10,10,2
A rectangular shaped pizza is on a wooden board.,0,0,10,8,9,8,10,3
"A slim, modern fridge is next to some clean, sleek cabinets. ",0,6,6,10,4,8,9,0
"A slim, modern fridge is next to some clean, sleek cabinets. ",3,8,8,8,8,10,10,1
"A slim, modern fridge is next to some clean, sleek cabinets. ",0,5,9,8,10,10,9,2
"A slim, modern fridge is next to some clean, sleek cabinets. ",7,10,7,9,6,7,7,3
Apples of green and red are in white baskets.,0,4,10,10,8,0,10,0
Apples of green and red are in white baskets.,0,0,0,8,6,0,10,1
Apples of green and red are in white baskets.,5,2,8,9,8,10,10,2
Apples of green and red are in white baskets.,0,6,10,8,8,10,10,3
A large empty silver kitchen is under construction.,0,5,8,8,7,7,2,0
A large empty silver kitchen is under construction.,0,3,6,7,8,8,2,1
A large empty silver kitchen is under construction.,0,6,7,8,10,10,1,2
A large empty silver kitchen is under construction.,6,0,8,10,10,10,0,3
The young boy is on the boat navigating it.,5,6,10,8,8,8,10,0
The young boy is on the boat navigating it.,0,6,10,8,10,10,10,1
The young boy is on the boat navigating it.,0,8,6,7,10,10,8,2
