prompt,0,4,8,12,16,20,24,seed
a herd of elephants all grouped up together.,0,7,8,8,10,9,10,0
a herd of elephants all grouped up together.,4,5,9,9,9,8,8,1
a herd of elephants all grouped up together.,0,5,8,10,10,10,10,2
a herd of elephants all grouped up together.,0,4,6,9,9,10,10,3
a pizza well made in a brown box.,Error,4,6,3,5,7,8,0
a pizza well made in a brown box.,0,3, 1,5,4,7,8,1
a pizza well made in a brown box.,1,4,5,2,6,8,10,2
a pizza well made in a brown box.,0,4,7,7,9,8,9,3
people sitting together while holding onto skiis.,0,0,0,0,0,0,0,0
people sitting together while holding onto skiis.,0,1,0,0,0,0,0,1
people sitting together while holding onto skiis.,5,1,0,0,0,0,0,2
people sitting together while holding onto skiis.,0,1,6,0,0,0,0,3
two bears in the water and one is growling.,0,4,0,4,4,6,10,0
two bears in the water and one is growling.,2,4,5,0,0,4,9,1
two bears in the water and one is growling.,0,5,5,7,4,2,5,2
two bears in the water and one is growling.,0,2,5,5,7,7,7,3
a very long river moving in a big forest.,0,5,7,5,6,5,4,0
a very long river moving in a big forest.,0,4,4,4,0,6,5,1
a very long river moving in a big forest.,0,4,5,1,5,7,5,2
a very long river moving in a big forest.,0,4,7,4,5,5,7,3
A little girl holding a Nintendo Wii game controller.,0,2,0,5,1,4,7,0
A little girl holding a Nintendo Wii game controller.,1,0,1,2,1,0,4,1
A little girl holding a Nintendo Wii game controller.,0,0,0,5,10,9,10,2
A little girl holding a Nintendo Wii game controller.,2,0,10,10,4,10,0,3
this is a woman cleaning a public restroom.,0,0,1,5,0,7,9,0
this is a woman cleaning a public restroom.,0,0,3,9,0,0,8,1
this is a woman cleaning a public restroom.,0,0,1,0,0,0,8,2
this is a woman cleaning a public restroom.,0,1,10,4,4,7,8,3
there is a white dog playing with a green apple.,0,5,5,5,5,7,7,0
there is a white dog playing with a green apple.,0,4,0,6,10,10,9,1
there is a white dog playing with a green apple.,0,2,6,6,8,7,10,2
there is a white dog playing with a green apple.,0,4,6,5,10,10,9,3
A cat that is sitting on some cushions.,1,9,9,0,9,10,9,0
A cat that is sitting on some cushions.,4,3,10,5,0,10,10,1
A cat that is sitting on some cushions.,0,4,0,6,10,9,10,2
A cat that is sitting on some cushions.,1,5,6,0,9,10,10,3
A white toilet sitting next to a wooden cabinet., 0,0,0,0,5,10,10,0
A white toilet sitting next to a wooden cabinet.,0,0,0,6,9,10,10,1
A white toilet sitting next to a wooden cabinet.,0,0,0,7,2,9,10,2
A white toilet sitting next to a wooden cabinet.,0,0,5,5,8,10,6,3
There is a black bird perched on wood.,0,4,9,8,8,10,9,0
There is a black bird perched on wood.,0,0,8,7,8,9,9,1
There is a black bird perched on wood.,5,0,9,5,9,9,10,2
There is a black bird perched on wood.,1,0,8,8,7,7,10,3
A man in a white tie smiles while posing.,0,6,2,8,5,7,2,0
A man in a white tie smiles while posing.,Error,4,10,6,6,6,10,1
A man in a white tie smiles while posing.,0,8,10,5,9,2,10,2
A man in a white tie smiles while posing.,0,0,4,6,0,9,0,3
many different sinks near one another with mirrors,0,0,9,7,8,7,6,0
many different sinks near one another with mirrors,1,0,6,7,5,4,5,1
many different sinks near one another with mirrors,0,2,10,4,5,10,3,2
many different sinks near one another with mirrors,0,3,9,5,2,7,9,3
A man that is sitting down and wearing a tie.,0,1,10,5,7,10,10,0
A man that is sitting down and wearing a tie.,0,5,2,9,10,10,7,1
A man that is sitting down and wearing a tie.,0,4,10,1,7,10,10,2
A man that is sitting down and wearing a tie.,0,0,0,10,5,4,10,3
Several sandwiches sliced and neatly arranged on a white plate.,0,0,10,4,5,7,10,0
Several sandwiches sliced and neatly arranged on a white plate.,0,0,7,9,4,7,10,1
Several sandwiches sliced and neatly arranged on a white plate.,0,5,6,5,7,5,10,2
Several sandwiches sliced and neatly arranged on a white plate.,0,2,10,9,9,7,7,3
An apple with a funny face carved into it.,0,8,7,10,6,10,10,0
An apple with a funny face carved into it.,5,7,10,8,8,10,10,1
