prompt,0,4,8,12,16,20,24,seed
An orange suitcase and a pink orchid.,0,0,10,0,10,10,10,0
An orange suitcase and a pink orchid.,0,0,4,0,10,10,10,1
An orange suitcase and a pink orchid.,0,0,8,0,10,10,10,2
An orange suitcase and a pink orchid.,0,0,0,0,10,10,10,3
A purple bag and an orange snail.,0,1,10,0,5,0,10,0
A purple bag and an orange snail.,0,0,10,5,10,0,10,1
A purple bag and an orange snail.,1,0,10,10,10,0,10,2
A purple bag and an orange snail.,0,0,10,0,0,0,10,3
An orange baseball bat and a brown snake.,0,0,0,0,0,6,5,0
An orange baseball bat and a brown snake.,0,0,5,0,10,10,5,1
An orange baseball bat and a brown snake.,0,0,0,0,0,10,0,2
An orange baseball bat and a brown snake.,0,0,0,0,10,4,10,3
A white leopard and a red castle.,0,0,10,10,0,0,4,0
A white leopard and a red castle.,0,0,0,6,0,0,4,1
A white leopard and a red castle.,0,0,0,0,0,0,5,2
A white leopard and a red castle.,0,0,4,0,0,5,8,3
A blue skyscraper and a yellow sports ball.,0,0,0,0,0,7,10,0
A blue skyscraper and a yellow sports ball.,0,0,0,0,4,10,10,1
A blue skyscraper and a yellow sports ball.,0,0,5,0,0,10,10,2
A blue skyscraper and a yellow sports ball.,0,0,5,0,0,10,10,3
A yellow maple tree and a white sheep.,0,5,3,7,7,6,10,0
A yellow maple tree and a white sheep.,0,2,5,7,0,7,7,1
A yellow maple tree and a white sheep.,1,5,3,7,3,7,7,2
A yellow maple tree and a white sheep.,0,4,7,7,4,3,10,3
A pink bench and an orange toaster.,0,0,0,4,10,10,2,0
A pink bench and an orange toaster.,0,0,10,10,10,7,0,1
A pink bench and an orange toaster.,0,0,10,10,4,10,0,2
A pink bench and an orange toaster.,0,5,10,8,10,1,5,3
A black bird and a green bear.,0,1,0,5,0,10,10,0
A black bird and a green bear.,0,0,5,0,0,10,5,1
A black bird and a green bear.,0,1,0,0,0,10,10,2
A black bird and a green bear.,0,0,0,0,0,10,10,3
A brown pizza and an orange bottle.,0,0,0,0,0,8,7,0
A brown pizza and an orange bottle.,0,0,0,0,0,7,10,1
A brown pizza and an orange bottle.,0,0,0,0,0,5,7,2
A brown pizza and an orange bottle.,0,0,0,0,0,5,7,3
A black forest and a purple bus.,0,0,10,5,1,1,0,0
A black forest and a purple bus.,0,1,0,1,4,0,8,1
A black forest and a purple bus.,0,2,7,7,5,5,10,2
A black forest and a purple bus.,0,0,0,0,5,5,5,3
A green porcupine and a black surfboard.,0,1,0,0,0,0,1,0
A green porcupine and a black surfboard.,0,0,2,0,5,0,0,1
A green porcupine and a black surfboard.,0,0,0,0,0,0,0,2
A green porcupine and a black surfboard.,0,1,0,5,10,1,7,3
A yellow wolf and a black teddy bear.,0,4,0,5,0,0,0,0
A yellow wolf and a black teddy bear.,0,0,0,7,0,0,0,1
