prompt,3,7,11,15,19,23,seed
A street sign is painted yellow and white.,0,1,8,0,7,8,0
A street sign is painted yellow and white.,0,1,7,1,7,6,1
A street sign is painted yellow and white.,3,2,8,4,8,7,2
A street sign is painted yellow and white.,2,0,8,0,1,10,3
She doesn't look very comfortable holding the tennis racket.,0,4,0,5,2,8,0
She doesn't look very comfortable holding the tennis racket.,0,0,0,5,7,6,1
She doesn't look very comfortable holding the tennis racket.,0,0,0,5,0,5,2
She doesn't look very comfortable holding the tennis racket.,0,0,0,1,7,5,3
"I cannot tell what that glass bottle is lying on,",5,0,7,0,0,7,0
"I cannot tell what that glass bottle is lying on,",4,4,0,5,0,0,1
"I cannot tell what that glass bottle is lying on,",5,0,7,8,5,0,2
"I cannot tell what that glass bottle is lying on,",3,0,5,0,5,9,3
A food processor that has been mixing something red.,2,8,8,5,5,7,0
A food processor that has been mixing something red.,1,8,8,8,5,3,1
A food processor that has been mixing something red.,3,5,8,7,10,8,2
A food processor that has been mixing something red.,2,7,10,9,8,8,3
A wedding cake is white and dark blue.,0,0,1,5,1,1,0
A wedding cake is white and dark blue.,0,0,2,0,5,1,1
A wedding cake is white and dark blue.,2,5,0,5,3,7,2
A wedding cake is white and dark blue.,0,1,2,5,5,5,3
there is a small baby zebra looking behind it,0,0,2,0,0,0,0
there is a small baby zebra looking behind it,1,0,0,0,0,0,1
there is a small baby zebra looking behind it,2,0,0,0,0,0,2
there is a small baby zebra looking behind it,0,0,0,0,0,0,3
All of the pizza slices are being eaten except two.,6,8,10,10,10,10,0
All of the pizza slices are being eaten except two.,0,0,5,10,10,10,1
All of the pizza slices are being eaten except two.,0,0,0,10,10,10,2
All of the pizza slices are being eaten except two.,0,4,10,10,10,10,3
A single yellow rose in a small glass vase,5,5,8,9,8,7,0
A single yellow rose in a small glass vase,5,3,5,8,7,10,1
A single yellow rose in a small glass vase,0,0,0,8,10,8,2
A single yellow rose in a small glass vase,5,7,8,7,5,7,3
An adult black and brown bear looking straight ahead.,8,0,0,0,0,0,0
An adult black and brown bear looking straight ahead.,0,0,0,0,0,0,1
An adult black and brown bear looking straight ahead.,5,0,0,0,0,0,2
An adult black and brown bear looking straight ahead.,5,0,0,0,0,0,3
Two retro school buses parked behind one another.,2,0,2,0,0,2,0
Two retro school buses parked behind one another.,4,0,1,2,1,4,1
Two retro school buses parked behind one another.,2,2,1,1,0,3,2
Two retro school buses parked behind one another.,4,2,6,0,4,2,3
He is drinking outside from a wine goblet.,0,3,5,8,7,7,0
He is drinking outside from a wine goblet.,0,4,8,0,10,7,1
He is drinking outside from a wine goblet.,0,0,0,4,3,8,2
He is drinking outside from a wine goblet.,0,0,4,8,6,7,3
A beautiful brown muted colored mosaic tiled bathroom.,5,8,4,7,8,10,0
A beautiful brown muted colored mosaic tiled bathroom.,6,6,8,7,6,8,1
A beautiful brown muted colored mosaic tiled bathroom.,6,4,3,8,6,8,2
A beautiful brown muted colored mosaic tiled bathroom.,5,3,6,7,7,7,3
"So, this is what an Alienware keyboard looks like.",1,0,0,0,5,5,0
"So, this is what an Alienware keyboard looks like.",5,0,5,4,3,5,1
"So, this is what an Alienware keyboard looks like.",0,4,5,0,6,5,2
"So, this is what an Alienware keyboard looks like.",0,5,5,0,5,6,3
A metal refrigerator with plastic peeling off of it.,7,6,7,8,8,7,0
A metal refrigerator with plastic peeling off of it.,8,5,10,10,6,8,1
A metal refrigerator with plastic peeling off of it.,6,8,8,7,8,8,2
A metal refrigerator with plastic peeling off of it.,5,8,8,6,8,10,3
There is a adult giraffe that is in the photo looking at something,0,0,5,0,0,0,0
There is a adult giraffe that is in the photo looking at something,6,0,0,0,0,0,1
There is a adult giraffe that is in the photo looking at something,5,0,0,0,0,0,2
There is a adult giraffe that is in the photo looking at something,0,0,0,0,0,0,3
The beer glasses are full and ready to enjoy.,4,8,10,10,10,10,0
The beer glasses are full and ready to enjoy.,0,10,10,10,10,10,1
The beer glasses are full and ready to enjoy.,0,10,6,10,10,10,2
The beer glasses are full and ready to enjoy.,0,8,10,10,7,10,3
The street sign is clearly visible for all of us to see.,2,0,6,5,7,10,0
The street sign is clearly visible for all of us to see.,2,0,10,0,6,7,1
The street sign is clearly visible for all of us to see.,5,2,7,5,5,10,2
The street sign is clearly visible for all of us to see.,5,4,6,10,0,8,3
A mens bathroom that has been neatly decorated.,0,0,0,0,0,0,0
A mens bathroom that has been neatly decorated.,0,0,0,0,0,0,1
A mens bathroom that has been neatly decorated.,0,0,0,0,0,0,2
A mens bathroom that has been neatly decorated.,0,0,0,0,0,0,3
A baseball hitter swings and prepares to run.,1,0,3,0,6,4,0
A baseball hitter swings and prepares to run.,4,0,0,5,5,6,1
A baseball hitter swings and prepares to run.,0,0,0,4,6,3,2
A baseball hitter swings and prepares to run.,5,0,0,1,5,6,3
This traffic light is not one that is familiar.,5,0,6,7,0,6,0
This traffic light is not one that is familiar.,0,0,8,0,6,0,1
This traffic light is not one that is familiar.,5,0,0,0,2,8,2
This traffic light is not one that is familiar.,0,0,9,2,0,0,3
A family portrait is shown in black and white.,1,5,8,8,7,10,0
A family portrait is shown in black and white.,6,0,7,7,10,10,1
A family portrait is shown in black and white.,6,7,5,4,7,6,2
A family portrait is shown in black and white.,0,0,6,8,10,10,3
A white fully stocked double door refrigerator.,6,0,0,1,0,7,0
A white fully stocked double door refrigerator.,2,1,4,2,1,0,1
A white fully stocked double door refrigerator.,5,6,0,1,0,0,2
A white fully stocked double door refrigerator.,8,2,0,1,0,0,3
The street signs are clearly visible for everyone to see.,2,0,7,2,5,8,0
The street signs are clearly visible for everyone to see.,0,0,7,0,10,6,1
The street signs are clearly visible for everyone to see.,4,0,8,7,7,7,2
The street signs are clearly visible for everyone to see.,4,0,7,8,5,7,3
two computer monitors with the same image on it,4,0,3,8,6,5,0
two computer monitors with the same image on it,4,7,6,6,7,7,1
two computer monitors with the same image on it,8,6,8,8,8,8,2
two computer monitors with the same image on it,0,7,0,5,8,8,3
Two steam trains next to each other,1,0,0,8,10,10,0
Two steam trains next to each other,2,0,0,0,9,10,1
Two steam trains next to each other,0,0,0,8,8,8,2
Two steam trains next to each other,1,1,5,4,8,9,3
The traffic light is clearly visible for us to see.,6,6,4,6,1,8,0
The traffic light is clearly visible for us to see.,1,5,7,0,8,0,1
The traffic light is clearly visible for us to see.,5,0,0,3,5,8,2
The traffic light is clearly visible for us to see.,2,0,8,2,3,7,3
there are many snow boarders that can be seen jumping,0,0,0,8,10,10,0
there are many snow boarders that can be seen jumping,4,0,0,8,10,10,1
there are many snow boarders that can be seen jumping,0,1,0,7,8,8,2
there are many snow boarders that can be seen jumping,0,4,3,8,8,10,3
Two baby elephants standing next to each other.,0,0,0,0,1,0,0
Two baby elephants standing next to each other.,0,0,0,0,0,0,1
Two baby elephants standing next to each other.,0,0,0,0,0,0,2
Two baby elephants standing next to each other.,0,2,0,0,0,0,3
The traffic light is clearly visible for us to see.,4,3,2,5,1,4,0
The traffic light is clearly visible for us to see.,1,3,4,0,7,0,1
The traffic light is clearly visible for us to see.,5,1,0,2,0,8,2
The traffic light is clearly visible for us to see.,5,1,6,1,1,5,3
someone standing and riding on a skate board .,0,2,0,1,4,7,0
someone standing and riding on a skate board .,0,0,0,0,3,0,1
someone standing and riding on a skate board .,0,0,0,4,5,8,2
someone standing and riding on a skate board .,1,4,4,0,0,1,3
The traffic lights are clearly displayed for us to see.,1,0,8,4,0,6,0
The traffic lights are clearly displayed for us to see.,5,0,4,2,6,1,1
The traffic lights are clearly displayed for us to see.,4,3,0,0,4,7,2
The traffic lights are clearly displayed for us to see.,2,0,7,0,0,0,3
a boating dock that has been destroyed by something,0,2,0,0,0,2,0
a boating dock that has been destroyed by something,0,1,5,0,4,0,1
a boating dock that has been destroyed by something,0,1,4,6,0,2,2
a boating dock that has been destroyed by something,2,5,4,0,3,6,3
a red white and blue one passenger airplane,5,0,5,3,0,0,0
a red white and blue one passenger airplane,0,0,0,4,4,6,1
a red white and blue one passenger airplane,5,2,5,5,5,0,2
a red white and blue one passenger airplane,0,0,5,0,5,0,3
A computer desk that is very cluttered and disorganized.,0,8,10,10,9,10,0
A computer desk that is very cluttered and disorganized.,7,7,8,10,10,10,1
