prompt,0,4,8,12,16,20,24,seed
A can.,0,1,1,0,0,1,0,0
A can.,0,1,0,0,0,1,1,1
A can.,0,0,1,0,1,1,1,2
A can.,0,1,1,1,1,1,1,3
A carrot.,0,0,1,1,1,1,1,0
A carrot.,0,1,1,1,1,1,1,1
A carrot.,0,1,1,1,1,1,1,2
A carrot.,1,1,1,1,1,1,1,3
A sea.,1,0,1,0,1,1,1,0
A sea.,1,0,1,1,1,1,1,1
A sea.,1,0,1,1,0,1,1,2
A sea.,1,0,0,1,1,1,1,3
A bottle.,0,1,1,1,1,1,1,0
A bottle.,1,1,1,1,1,1,1,1
A bottle.,0,0,1,1,1,1,1,2
A bottle.,0,0,1,1,1,1,1,3
A television.,0,0,1,1,1,1,1,0
A television.,0,1,1,1,1,1,1,1
A television.,1,0,1,1,1,1,1,2
A television.,0,0,1,1,1,1,1,3
A sandwich.,0,0,1,1,1,1,1,0
A sandwich.,0,0,1,1,1,1,1,1
A sandwich.,0,0,1,1,1,1,1,2
A sandwich.,0,0,0,1,0,1,1,3
A toilet.,0,0,1,1,0,1,1,0
A toilet.,0,0,1,0,0,1,1,1
A toilet.,0,0,1,1,1,1,1,2
A toilet.,0,0,1,1,1,1,1,3
A kangaroo.,0,0,1,0,0,1,1,0
A kangaroo.,0,0,1,1,1,1,1,1
A kangaroo.,0,0,1,1,1,1,1,2
A kangaroo.,0,0,0,1,1,1,1,3
A plate.,1,0,0,1,1,1,1,0
A plate.,0,0,0,1,1,1,1,1
A plate.,1,1,1,1,1,1,1,2
A plate.,1,0,0,1,1,1,1,3
A dinosaur.,1,0,1,1,1,1,1,0
A dinosaur.,1,1,0,1,1,1,1,1
A dinosaur.,1,0,1,1,1,0,1,2
A dinosaur.,0,0,0,1,0,1,1,3
A bicycle.,0,0,1,1,1,1,1,0
A bicycle.,0,1,1,1,1,1,1,1
A bicycle.,0,0,1,1,1,1,1,2
A bicycle.,0,1,1,1,1,1,1,3
A horse.,0,0,1,1,1,1,1,0
A horse.,0,1,1,1,1,1,1,1
A horse.,0,0,1,1,1,1,1,2
A horse.,1,0,1,1,1,1,1,3
A lamp.,1,1,1,1,1,1,1,0
A lamp.,1,0,1,1,1,1,1,1
A lamp.,1,1,1,1,1,1,1,2
A lamp.,1,0,1,1,1,1,1,3
A man.,0,0,1,1,1,1,1,0
A man.,0,0,0,1,1,1,1,1
A man.,0,0,1,1,1,1,1,2
A man.,0,0,1,1,1,1,1,3
A wine glass.,0,0,1,1,1,1,1,0
A wine glass.,0,0,1,1,1,1,1,1
A wine glass.,0,0,1,1,1,1,1,2
A wine glass.,0,1,1,1,1,1,1,3
A woman.,0,0,1,1,1,1,1,0
A woman.,1,1,0,1,1,1,1,1
A woman.,1,1,1,1,1,1,1,2
A woman.,1,1,1,1,1,1,1,3
A raccoon.,0,0,1,1,1,1,1,0
A raccoon.,0,0,1,1,1,1,1,1
A raccoon.,0,0,1,1,1,1,1,2
A raccoon.,0,0,1,0,1,1,1,3
A whale.,0,0,1,1,0,1,1,0
A whale.,1,0,1,1,1,1,1,1
A whale.,1,0,0,1,1,1,1,2
A whale.,1,0,1,1,1,1,1,3
A cake.,0,1,1,1,1,1,1,0
A cake.,1,1,1,1,1,1,1,1
A cake.,1,1,1,1,1,1,1,2
A cake.,1,1,1,1,1,1,1,3
A banana.,0,0,1,1,1,1,1,0
A banana.,0,0,1,1,1,1,1,1
A banana.,0,0,1,1,1,1,1,2
A banana.,0,0,1,1,1,1,1,3
A sink.,1,0,1,1,1,1,1,0
A sink.,1,0,1,1,1,1,0,1
A sink.,0,0,1,1,1,1,1,2
A sink.,1,0,1,0,1,1,1,3
A crab.,0,1,1,1,1,1,1,0
A crab.,0,1,1,1,1,1,1,1
A crab.,0,1,1,1,1,1,1,2
A crab.,0,0,1,1,1,1,1,3
A camel.,0,1,1,1,1,1,1,0
A camel.,0,1,1,1,1,1,1,1
A camel.,0,1,1,1,1,1,1,2
A camel.,1,1,1,1,1,1,1,3
A bench.,1,0,1,1,1,1,1,0
A bench.,0,0,1,1,1,1,1,1
A bench.,1,0,1,1,1,1,1,2
A bench.,1,0,1,1,1,1,1,3
A couch.,1,0,1,1,1,1,1,0
A couch.,1,0,1,1,1,1,1,1
A couch.,1,0,1,1,1,1,1,2
A couch.,1,0,1,1,1,1,1,3
A chimpanzee.,0,0,1,1,1,1,1,0
A chimpanzee.,0,0,1,1,1,1,1,1
A chimpanzee.,0,0,1,1,1,1,1,2
A chimpanzee.,0,0,1,1,1,1,1,3
A giraffe.,0,0,1,1,1,1,1,0
A giraffe.,0,0,1,1,1,1,1,1
A giraffe.,0,0,1,1,1,1,1,2
A giraffe.,0,1,1,1,0,1,1,3
A surfboard.,0,0,1,1,0,1,0,0
A surfboard.,0,0,1,1,1,1,1,1
A surfboard.,0,0,1,0,1,1,0,2
A surfboard.,0,0,1,0,1,1,0,3
A sports ball.,1,1,1,1,1,1,1,0
A sports ball.,1,1,1,1,1,1,1,1
A sports ball.,1,1,1,1,1,1,1,2
A sports ball.,1,1,1,1,1,1,1,3
A clock.,1,0,1,1,1,1,1,0
A clock.,0,0,1,1,1,1,1,1
A clock.,1,0,1,1,1,1,1,2
A clock.,0,0,1,1,1,1,1,3
A zebra.,0,0,1,1,1,1,1,0
A zebra.,0,0,1,1,1,1,1,1
A zebra.,0,0,1,1,1,1,1,2
