prompt,0,4,8,12,16,20,24,seed
A red can.,5,0,6,10,6,10,9,0
A red can.,0,0,0,0,5,10,10,1
A red can.,5,0,6,Error,7,10,10,2
A red can.,0,0,0,10,5,5,10,3
A yellow castle.,0,6,8,6,6,4,10,0
A yellow castle.,Error,0,7,9,8,8,8,1
A yellow castle.,0,0,8,7,4,7,8,2
A yellow castle.,1,4,10,7,8,8,10,3
A blue umbrella.,0,0,10,10,10,10,8,0
A blue umbrella.,0,10,10,8,10,10,10,1
A blue umbrella.,8,0,10,10,9,10,10,2
A blue umbrella.,10,0,10,10,10,9,10,3
A brown horse.,0,1,10,6,4,7,8,0
A brown horse.,0,0,10,8,7,8,10,1
A brown horse.,0,0,7,8,10,5,9,2
A brown horse.,5,0,6,8,7,10,10,3
A pink sea.,7,5,8,5,8,8,7,0
A pink sea.,0,6,7,6,5,8,7,1
A pink sea.,0,0,6,6,8,7,10,2
A pink sea.,0,3,5,6,8,7,10,3
A red mouse.,0,4,1,5,8,10,1,0
A red mouse.,5,"0,0",8,Error,7,10,6,1
A red mouse.,6,0,Error,Error,Error,10,8,2
A red mouse.,3,0,10,Error,6,10,8,3
A green television.,1,0,8,9,9,6,10,0
A green television.,0,0,10,"6,",6,10,10,1
A green television.,1,0,6,10,8,8,9,2
A green television.,"0,0",0,10,10,9,8,10,3
A yellow baby.,llf,llf,llf,llf,llf,llf,0,0
A yellow baby.,llf,llf,llf,llf,llf,llf,5,1
A yellow baby.,llf,llf,llf,llf,llf,llf,0,2
A yellow baby.,llf,llf,llf,llf,llf,llf,0,3
A pink remote.,0,5,10,0,5,9,10,0
A pink remote.,0,"0,0",0,1,2,10,10,1
A pink remote.,0,5,10,5,10,10,10,2
A pink remote.,5,0,5,0,5,10,10,3
A brown rabbit.,0,2,10,10,8,10,10,0
A brown rabbit.,0,0,10,8,8,9,10,1
A brown rabbit.,0,5,10,10,7,8,7,2
A brown rabbit.,4,0,10,8,10,8,10,3
A yellow tulip.,0,5,7,0,10,10,9,0
A yellow tulip.,0,0,8,8,8,10,10,1
A yellow tulip.,0,0,7,7,10,8,8,2
A yellow tulip.,0,0,6,7,10,10,10,3
A pink clock.,5,0,10,10,7,10,10,0
A pink clock.,5,5,10,7,8,10,10,1
A pink clock.,0,4,10,5,9,10,10,2
A pink clock.,6,0,10,7,10,10,10,3
A red beaver.,llf,llf,llf,llf,llf,llf,6,0
A red beaver.,llf,llf,llf,llf,llf,llf,4,1
A red beaver.,llf,llf,llf,llf,llf,llf,4,2
A red beaver.,llf,llf,llf,llf,llf,llf,5,3
A white mushroom.,0,0,6,6,7,5,10,0
A white mushroom.,0,5,9,7,5,0,10,1
A white mushroom.,5,1,0,0,7,8,10,2
A white mushroom.,0,"0,0",7,5,8,10,10,3
An orange oak tree.,5,5,10,6,6,4,5,0
An orange oak tree.,5,5,7,6,6,5,10,1
An orange oak tree.,5,5,5,5,4,5,3,2
An orange oak tree.,6,5,6,4,5,3,6,3
A yellow chair.,10,5,10,6,10,4,10,0
A yellow chair.,10,0,8,There is a yellow chair in the image. 10,10,10,10,1
