prompt,3,7,11,15,19,23,seed
A carrot in a bag.,1,0,10,10,9,10.0,0.0
A carrot in a bag.,0,0,10,10,10,10.0,1.0
A carrot in a bag.,2,6,10,10,10,10.0,2.0
A carrot in a bag.,5,0,10,10,10,10.0,3.0
A cake in a bag.,0,0,10,8,10,1.0,0.0
A cake in a bag.,0,10,10,4,2,9.0,1.0
A cake in a bag.,1,9,1,10,7,10.0,2.0
A cake in a bag.,0,0,8,10,10,8.0,3.0
A fish in a backpack.,1,10,10,10,10,10.0,0.0
A fish in a backpack.,2,5,10,10,0,10.0,1.0
A fish in a backpack.,10,10,8,7,10,10.0,2.0
A fish in a backpack.,1,10,10,8,10,10.0,3.0
A knife in a truck.,6,0,0,0,0,10.0,0.0
A knife in a truck.,1,0,10,10,0,1.0,1.0
A knife in a truck.,1,0,10,0,1,2.0,2.0
A knife in a truck.,0,0,0,10,0,2.0,3.0
A parking meter in a microwave.,llf,llf,llf,llf,llf,8.0,0.0
A parking meter in a microwave.,llf,llf,llf,llf,llf,0.0,1.0
A parking meter in a microwave.,llf,llf,llf,llf,llf,7.0,2.0
A parking meter in a microwave.,llf,llf,llf,llf,llf,0.0,3.0
A tennis racket in a train.,llf,llf,llf,llf,llf,0.0,0.0
A tennis racket in a train.,llf,llf,llf,llf,llf,10.0,1.0
A tennis racket in a train.,llf,llf,llf,llf,llf,1.0,2.0
A tennis racket in a train.,llf,llf,llf,llf,llf,10.0,3.0
A dog in a tractor.,0,0,10,0,10,10.0,0.0
A dog in a tractor.,2,0,0,10,10,8.0,1.0
A dog in a tractor.,1,0,1,10,8,10.0,2.0
A dog in a tractor.,1,0,1,10,1,10.0,3.0
A bee in a bowl.,0,10,8,9,10,10.0,0.0
A bee in a bowl.,2,1,8,10,10,8.0,1.0
A bee in a bowl.,1,10,8,10,10,10.0,2.0
A bee in a bowl.,8,9,9,10,10,10.0,3.0
A vase in a tractor.,10,0,0,0,0,8.0,0.0
A vase in a tractor.,0,0,0,0,2,10.0,1.0
A vase in a tractor.,0,0,10,10,0,10.0,2.0
A vase in a tractor.,1,0,0,10,0,9.0,3.0
A can in a bus.,0,0,8,0,0,10.0,0.0
A can in a bus.,0,0,10,6,10,9.0,1.0
A can in a bus.,0,0,8,0,10,9.0,2.0
A can in a bus.,1,9,10,0,8,10.0,3.0
A laptop in a bag.,2,8,10,10,0,10.0,0.0
A laptop in a bag.,6,0,7,10,0,10.0,1.0
A laptop in a bag.,5,5,8,0,0,10.0,2.0
A laptop in a bag.,1,0,0,1,7,10.0,3.0
A vase in a bag.,llf,llf,llf,llf,llf,10.0,0.0
A vase in a bag.,llf,llf,llf,llf,llf,10.0,1.0
A vase in a bag.,llf,llf,llf,llf,llf,10.0,2.0
A vase in a bag.,llf,llf,llf,llf,llf,10.0,3.0
A skunk in an airplane.,0,10,10,0,0,1.0,0.0
A skunk in an airplane.,0,0,2,10,2,7.0,1.0
A skunk in an airplane.,0,1,10,10,0,10.0,2.0
A skunk in an airplane.,1,0,10,7,0,10.0,3.0
A man in an airplane.,1,1,0,10,10,10.0,0.0
A man in an airplane.,0,0,7,8,10,10.0,1.0
A man in an airplane.,5,0,0,10,3,10.0,2.0
A man in an airplane.,1,0,0,10,0,10.0,3.0
A bag in an airplane.,1,0,10,10,3,10.0,0.0
A bag in an airplane.,0,0,10,10,2,10.0,1.0
A bag in an airplane.,2,1,10,1,7,7.0,2.0
A bag in an airplane.,0,1,10,10,0,10.0,3.0
A caterpillar in a bag.,1,10,2,10,7,8.0,0.0
A caterpillar in a bag.,2,10,10,2,8,10.0,1.0
A caterpillar in a bag.,1,0,10,8,6,10.0,2.0
A caterpillar in a bag.,0,0,0,10,10,10.0,3.0
A boy in a truck.,1,1,6,7,10,7.0,0.0
A boy in a truck.,0,0,10,8,4,7.0,1.0
A boy in a truck.,0,0,7,0,10,10.0,2.0
A boy in a truck.,0,1,2,7,0,7.0,3.0
A sunflower in a bowl.,1,8,10,9,10,10.0,0.0
A sunflower in a bowl.,5,10,7,10,10,10.0,1.0
A sunflower in a bowl.,2,10,10,10,10,9.0,2.0
A sunflower in a bowl.,1,0,10,10,8,7.0,3.0
A hot dog in a microwave.,0,0,0,10,10,10.0,0.0
A hot dog in a microwave.,0,1,0,7,10,10.0,1.0
A hot dog in a microwave.,0,0,10,0,0,10.0,2.0
A hot dog in a microwave.,1,0,1,3,0,10.0,3.0
A dinosaur in a car.,2,0,0,10,10,10.0,0.0
A dinosaur in a car.,8,0,10,10,10,10.0,1.0
A dinosaur in a car.,1,0,10,10,10,10.0,2.0
A dinosaur in a car.,0,0,0,10,2,10.0,3.0
A shark in a microwave.,0,0,10,8,8,10.0,0.0
A shark in a microwave.,0,0,10,10,2,10.0,1.0
A shark in a microwave.,0,0,10,10,8,10.0,2.0
A shark in a microwave.,0,8,0,10,2,10.0,3.0
A poppy in a tractor.,2,1,0,10,10,10.0,0.0
A poppy in a tractor.,0,1,10,0,10,10.0,1.0
A poppy in a tractor.,1,0,2,10,10,10.0,2.0
A poppy in a tractor.,0,1,0,10,10,10.0,3.0
A beaver in a truck.,8,0,10,10,10,7.0,0.0
A beaver in a truck.,8,0,10,7,10,10.0,1.0
A beaver in a truck.,1,0,10,10,4,8.0,2.0
A beaver in a truck.,0,0,0,10,10,7.0,3.0
A laptop in a car.,1,2,0,0,0,10.0,0.0
A laptop in a car.,2,0,8,10,1,10.0,1.0
A laptop in a car.,0,0,0,0,10,10.0,2.0
A laptop in a car.,0,0,0,1,10,10.0,3.0
A butterfly in a train.,0,0,1,10,0,10.0,0.0
A butterfly in a train.,2,1,0,10,10,10.0,1.0
A butterfly in a train.,2,0,10,8,7,7.0,2.0
A butterfly in a train.,0,0,0,10,10,10.0,3.0
A fish in a bowl.,0,7,10,10,10,8.0,0.0
A fish in a bowl.,7,10,10,10,10,10.0,1.0
A fish in a bowl.,0,5,10,10,10,10.0,2.0
A fish in a bowl.,0,10,10,10,10,10.0,3.0
A pizza in a suitcase.,1,10,8,10,10,10.0,0.0
A pizza in a suitcase.,1,10,10,10,10,10.0,1.0
A pizza in a suitcase.,8,7,10,6,7,10.0,2.0
A pizza in a suitcase.,2,1,10,7,10,1.0,3.0
A sunflower in a bus.,0,0,0,7,10,1.0,0.0
A sunflower in a bus.,0,0,6,10,10,10.0,1.0
A sunflower in a bus.,0,0,10,6,3,10.0,2.0
A sunflower in a bus.,0,0,7,10,10,10.0,3.0
A sports ball in an oven.,0,0,0,10,10,10.0,0.0
A sports ball in an oven.,0,0,0,10,9,10.0,1.0
A sports ball in an oven.,0,0,1,1,2,10.0,2.0
