prompt,0,4,8,12,16,20,24,seed
An orange suitcase and a pink orchid.,0,5,10,7,10,7,10,0
An orange suitcase and a pink orchid.,10,6,9,0,10,10,8,1
An orange suitcase and a pink orchid.,10,8,7,5,10,10,10,2
An orange suitcase and a pink orchid.,8,4,0,8,10,10,10,3
A purple bag and an orange snail.,0,8,10,10,10,10,10,0
A purple bag and an orange snail.,8,10,10,10,10,0,10,1
A purple bag and an orange snail.,10,10,10,10,10,0,10,2
A purple bag and an orange snail.,10,10,10,10,10,0,10,3
An orange baseball bat and a brown snake.,10,10,10,10,10,7,10,0
An orange baseball bat and a brown snake.,10,0,10,8,10,10,10,1
An orange baseball bat and a brown snake.,10,8,10,7,10,10,6,2
An orange baseball bat and a brown snake.,10,8,10,10,10,7,6,3
A white leopard and a red castle.,10,3,10,7,9,10,10,0
A white leopard and a red castle.,9,8,7,8,7,10,10,1
A white leopard and a red castle.,10,5,10,7,10,7,10,2
A white leopard and a red castle.,8,7,8,8,5,8,10,3
A blue skyscraper and a yellow sports ball.,10,10,8,10,10,10,10,0
A blue skyscraper and a yellow sports ball.,10,7,9,10,8,10,10,1
A blue skyscraper and a yellow sports ball.,10,8,10,10,10,10,10,2
A blue skyscraper and a yellow sports ball.,10,8,10,10,10,10,10,3
A yellow maple tree and a white sheep.,7,8,10,8,7,7,10,0
A yellow maple tree and a white sheep.,5,7,10,10,6,10,10,1
A yellow maple tree and a white sheep.,8,10,8,10,8,10,10,2
A yellow maple tree and a white sheep.,9,10,10,10,8,10,10,3
A pink bench and an orange toaster.,10,10,10,7,10,10,4,0
A pink bench and an orange toaster.,10,10,10,7,10,10,5,1
A pink bench and an orange toaster.,10,10,10,10,5,10,10,2
A pink bench and an orange toaster.,10,10,7,8,10,6,10,3
A black bird and a green bear.,5,8,10,10,10,10,10,0
A black bird and a green bear.,9,10,10,10,8,10,10,1
A black bird and a green bear.,6,7,10,10,10,10,10,2
A black bird and a green bear.,10,6,10,6,10,10,10,3
A brown pizza and an orange bottle.,0,6,3,5,5,7,8,0
A brown pizza and an orange bottle.,0,6,7,5,5,7,10,1
A brown pizza and an orange bottle.,5,5,5,6,6,7,7,2
A brown pizza and an orange bottle.,7,7,7,7,6,7,7,3
A black forest and a purple bus.,10,8,10,10,8,8,6,0
A black forest and a purple bus.,10,6,7,6,8,6,8,1
A black forest and a purple bus.,10,5,7,8,8,8,10,2
A black forest and a purple bus.,8,8,5,10,7,10,7,3
A green porcupine and a black surfboard.,10,8,7,0,7,8,7,0
A green porcupine and a black surfboard.,5,7,6,0,10,10,10,1
A green porcupine and a black surfboard.,8,10,8,3,7,10,10,2
A green porcupine and a black surfboard.,7,5,10,7,7,8,7,3
A yellow wolf and a black teddy bear.,8,8,10,8,10,5,8,0
A yellow wolf and a black teddy bear.,10,10,8,8,5,10,7,1
A yellow wolf and a black teddy bear.,8,10,10,4,3,8,7,2
