prompt,0,4,8,12,16,20,24,seed
A donut on a suitcase.,0,1,0,0,0,10,10,0
A donut on a suitcase.,0,0,6,0,0,0,10,1
A donut on a suitcase.,0,0,0,0,1,7,10,2
A donut on a suitcase.,0,1,0,0,8,0,10,3
A telephone on a refrigerator.,0,5,6,1,0,8,0,0
A telephone on a refrigerator.,0,2,10,7,0,8,7,1
A telephone on a refrigerator.,0,0,1,1,4,7,3,2
A telephone on a refrigerator.,0,0,0,0,1,7,4,3
A bottle on a tractor.,0,1,1,4,1,1,8,0
A bottle on a tractor.,0,0,8,1,6,9,4,1
A bottle on a tractor.,0,0,0,5,0,0,10,2
A bottle on a tractor.,0,0,1,4,6,0,6,3
A cake on a mountain.,0,1,5,1,0,0,7,0
A cake on a mountain.,0,1,5,0,0,4,7,1
A cake on a mountain.,5,5,0,1,0,4,10,2
A cake on a mountain.,0,0,3,7,0,0,3,3
A book on a bed.,0,8,8,0,0,10,10,0
A book on a bed.,0,0,1,1,10,10,10,1
A book on a bed.,0,4,10,1,0,10,10,2
A book on a bed.,5,0,10,3,9,10,10,3
A surfboard on a pickup truck.,0,1,7,8,3,0,10,0
A surfboard on a pickup truck.,0,1,0,8,10,10,7,1
A surfboard on a pickup truck.,0,5,9,6,0,2,10,2
A surfboard on a pickup truck.,5,3,9,0,4,9,10,3
A leopard on a tank.,0,0,0,0,0,0,10,0
A leopard on a tank.,0,0,0,0,0,0,0,1
A leopard on a tank.,0,0,0,0,0,0,1,2
A leopard on a tank.,0,2,5,0,0,0,10,3
A zebra on a bridge.,0,3,0,0,8,2,9,0
A zebra on a bridge.,0,0,0,0,1,5,10,1
A zebra on a bridge.,0,1,0,0,0,0,10,2
A zebra on a bridge.,0,1,0,0,0,0,9,3
A kite on a mountain.,4,3,3,5,1,4,7,0
A kite on a mountain.,1,3,3,1,4,4,5,1
A kite on a mountain.,0,1,4,6,1,6,1,2
A kite on a mountain.,0,0,6,0,6,10,5,3
A kangaroo on a suitcase.,0,2,0,0,7,10,4,0
A kangaroo on a suitcase.,0,0,4,1,8,0,10,1
A kangaroo on a suitcase.,0,0,6,0,0,10,9,2
A kangaroo on a suitcase.,0,1,0,0,4,7,10,3
A mushroom on a cloud.,1,3,1,0,4,0,10,0
A mushroom on a cloud.,2,1,0,0,4,10,1,1
A mushroom on a cloud.,0,3,1,0,0,10,10,2
A mushroom on a cloud.,2,0,0,0,6,5,10,3
A teddy bear on a road.,0,7,10,0,4,10,10,0
A teddy bear on a road.,0,5,5,0,10,10,10,1
A teddy bear on a road.,0,7,0,1,10,10,10,2
A teddy bear on a road.,0,3,10,10,10,10,10,3
A bee on a surfboard.,1,1,10,10,8,8,10,0
