prompt,3,7,11,15,19,23,seed
A donut on a suitcase.,0,0,0,10,9,5,0
A donut on a suitcase.,1,4,7,10,10,10,1
A donut on a suitcase.,0,0,0,0,10,10,2
A donut on a suitcase.,0,0,8,0,10,10,3
A telephone on a refrigerator.,0,1,2,0,0,0,0
A telephone on a refrigerator.,0,0,4,0,0,8,1
A telephone on a refrigerator.,0,0,1,0,0,0,2
A telephone on a refrigerator.,0,0,0,0,0,10,3
A bottle on a tractor.,1,0,5,4,0,10,0
A bottle on a tractor.,0,1,0,4,0,0,1
A bottle on a tractor.,1,5,4,0,0,3,2
A bottle on a tractor.,0,0,1,0,0,0,3
A cake on a mountain.,0,0,1,0,7,10,0
A cake on a mountain.,2,1,0,0,5,10,1
A cake on a mountain.,1,1,0,1,10,10,2
A cake on a mountain.,0,0,0,0,1,8,3
A book on a bed.,0,0,0,0,2,10,0
A book on a bed.,0,0,5,0,10,10,1
A book on a bed.,0,0,0,0,2,10,2
A book on a bed.,0,0,10,8,2,10,3
A surfboard on a pickup truck.,0,0,0,10,9,10,0
A surfboard on a pickup truck.,7,2,6,10,10,10,1
A surfboard on a pickup truck.,0,5,10,10,10,0,2
A surfboard on a pickup truck.,0,0,4,10,10,10,3
A leopard on a tank.,0,0,0,0,5,10,0
A leopard on a tank.,0,0,1,0,10,10,1
A leopard on a tank.,0,0,10,0,10,10,2
A leopard on a tank.,2,0,1,7,0,10,3
A zebra on a bridge.,0,0,0,6,10,10,0
A zebra on a bridge.,0,1,2,10,10,10,1
A zebra on a bridge.,0,2,10,8,10,10,2
A zebra on a bridge.,0,2,7,7,6,10,3
A kite on a mountain.,2,0,0,0,5,10,0
A kite on a mountain.,1,0,1,0,7,8,1
A kite on a mountain.,0,0,0,5,6,5,2
A kite on a mountain.,1,0,0,4,6,10,3
A kangaroo on a suitcase.,0,3,0,8,7,10,0
A kangaroo on a suitcase.,1,0,7,10,10,10,1
A kangaroo on a suitcase.,0,0,0,0,10,10,2
A kangaroo on a suitcase.,0,0,8,8,10,10,3
A mushroom on a cloud.,0,0,0,0,0,0,0
A mushroom on a cloud.,0,0,0,10,5,0,1
A mushroom on a cloud.,0,0,0,3,0,9,2
