prompt,3,7,11,15,19,23,seed
A donut on a suitcase.,0,0,10,10,9,10,0
A donut on a suitcase.,4,6,7,10,10,10,1
A donut on a suitcase.,0,10,0,10,10,10,2
A donut on a suitcase.,0,0,8,10,10,10,3
A telephone on a refrigerator.,1,5,7,10,10,5,0
A telephone on a refrigerator.,0,0,5,0,0,6,1
A telephone on a refrigerator.,0,0,8,0,10,10,2
A telephone on a refrigerator.,0,0,0,10,10,10,3
A bottle on a tractor.,5,0,5,5,10,10,0
A bottle on a tractor.,8,5,0,4,0,10,1
A bottle on a tractor.,4,5,5,0,0,3,2
A bottle on a tractor.,2,0,1,0,5,0,3
A cake on a mountain.,4,6,10,10,8,10,0
A cake on a mountain.,5,8,0,10,10,10,1
A cake on a mountain.,4,7,0,10,10,10,2
A cake on a mountain.,6,8,0,10,10,8,3
A book on a bed.,1,10,7,10,10,10,0
A book on a bed.,0,10,5,10,10,10,1
A book on a bed.,0,10,10,10,10,10,2
A book on a bed.,0,10,10,10,10,10,3
A surfboard on a pickup truck.,0,0,0,10,8,10,0
A surfboard on a pickup truck.,8,5,10,10,10,10,1
A surfboard on a pickup truck.,0,5,10,10,10,0,2
A surfboard on a pickup truck.,0,0,5,10,10,10,3
A leopard on a tank.,0,8,6,10,10,10,0
A leopard on a tank.,0,6,7,10,10,10,1
A leopard on a tank.,2,8,10,0,10,10,2
A leopard on a tank.,5,8,7,8,10,10,3
A zebra on a bridge.,0,0,0,7,10,10,0
A zebra on a bridge.,0,10,8,10,10,10,1
A zebra on a bridge.,0,8,10,9,10,10,2
A zebra on a bridge.,0,8,10,10,8,10,3
A kite on a mountain.,5,0,0,10,8,10,0
A kite on a mountain.,2,0,7,6,8,8,1
A kite on a mountain.,0,0,0,7,8,6,2
A kite on a mountain.,5,0,7,6,7,10,3
A kangaroo on a suitcase.,0,4,0,8,8,10,0
A kangaroo on a suitcase.,1,0,8,10,10,10,1
A kangaroo on a suitcase.,0,0,0,0,10,10,2
A kangaroo on a suitcase.,0,8,8,8,10,10,3
A mushroom on a cloud.,0,4,10,5,7,0,0
A mushroom on a cloud.,6,0,5,10,6,10,1
A mushroom on a cloud.,0,8,10,4,10,9,2
A mushroom on a cloud.,4,2,10,10,8,10,3
A teddy bear on a road.,4,8,0,10,10,8,0
A teddy bear on a road.,2,0,8,10,10,10,1
A teddy bear on a road.,4,8,0,0,10,10,2
A teddy bear on a road.,4,7,10,10,10,10,3
A bee on a surfboard.,0,1,0,8,8,10,0
A bee on a surfboard.,2,10,5,10,10,10,1
A bee on a surfboard.,0,8,0,10,10,10,2
A bee on a surfboard.,0,4,8,10,8,10,3
An apple on a leopard.,0,8,10,0,10,0,0
An apple on a leopard.,1,8,10,0,0,8,1
An apple on a leopard.,0,5,10,8,10,10,2
An apple on a leopard.,0,0,0,10,1,10,3
A cup on a table.,0,10,10,10,10,10,0
A cup on a table.,1,8,4,10,10,10,1
