prompt,0,4,8,12,16,20,24,seed
a herd of elephants all grouped up together.,10,8,8,8,10,9,10,0
a herd of elephants all grouped up together.,8,7,9,10,9,8,8,1
a herd of elephants all grouped up together.,10,5,7,10,10,10,10,2
a herd of elephants all grouped up together.,2,4,7,9,10,10,10,3
a pizza well made in a brown box.,Error,4,7,10,7,10,10,0
a pizza well made in a brown box.,0,7, 10,8,7,8,10,1
a pizza well made in a brown box.,2,5,8,0,7,9,10,2
a pizza well made in a brown box.,1,7,8,8,10,10,10,3
people sitting together while holding onto skiis.,0,1,0,0,0,0,0,0
people sitting together while holding onto skiis.,0,1,0,0,0,0,0,1
people sitting together while holding onto skiis.,7,1,0,0,0,0,0,2
people sitting together while holding onto skiis.,0,2,2,0,0,0,0,3
two bears in the water and one is growling.,7,8,10,8,7,9,10,0
two bears in the water and one is growling.,7,5,10,10,10,7,10,1
two bears in the water and one is growling.,0,7,10,9,7,6,10,2
two bears in the water and one is growling.,7,4,10,7,10,10,10,3
a very long river moving in a big forest.,0,6,7,6,7,7,6,0
a very long river moving in a big forest.,0,5,7,7,8,7,7,1
a very long river moving in a big forest.,0,5,7,8,7,8,7,2
a very long river moving in a big forest.,0,7,8,5,8,7,8,3
A little girl holding a Nintendo Wii game controller.,0,3,0,0,1,5,2,0
A little girl holding a Nintendo Wii game controller.,1,0,0,0,0,0,0,1
A little girl holding a Nintendo Wii game controller.,0,0,0,2,1,7,10,2
A little girl holding a Nintendo Wii game controller.,1,0,0,1,5,9,0,3
this is a woman cleaning a public restroom.,0,0,1,5,4,6,7,0
this is a woman cleaning a public restroom.,0,0,4,8,5,0,5,1
this is a woman cleaning a public restroom.,0,0,2,0,0,1,7,2
this is a woman cleaning a public restroom.,0,1,10,1,8,6,8,3
there is a white dog playing with a green apple.,0,2,7,0,0,10,8,0
there is a white dog playing with a green apple.,0,2,0,7,10,10,10,1
there is a white dog playing with a green apple.,0,0,0,8,0,10,10,2
there is a white dog playing with a green apple.,0,1,0,6,10,10,10,3
A cat that is sitting on some cushions.,2,8,8,1,8,10,8,0
A cat that is sitting on some cushions.,2,4,10,8,0,10,10,1
A cat that is sitting on some cushions.,0,5,10,2,10,7,10,2
A cat that is sitting on some cushions.,1,3,7,0,8,10,10,3
A white toilet sitting next to a wooden cabinet., 4,0,10,10,0,10,10,0
A white toilet sitting next to a wooden cabinet.,0,0,6,7,5,10,10,1
A white toilet sitting next to a wooden cabinet.,0,0,10,9,0,8,10,2
A white toilet sitting next to a wooden cabinet.,0,0,5,7,7,10,4,3
There is a black bird perched on wood.,1,3,7,5,4,8,7,0
There is a black bird perched on wood.,0,0,7,2,5,7,8,1
There is a black bird perched on wood.,0,0,8,0,8,7,10,2
