prompt,0,4,8,12,16,20,24,seed
An orange baseball bat and a brown snake.,0,0,1,0,0,0,1,0
An orange baseball bat and a brown snake.,0,0,0,1,0,0,1,1
An orange baseball bat and a brown snake.,0,0,1,0,0,0,1,2
An orange baseball bat and a brown snake.,0,0,1,1,0,1,1,3
A white leopard and a red castle.,0,0,1,1,1,0,1,0
A white leopard and a red castle.,0,0,1,0,1,1,0,1
A white leopard and a red castle.,0,0,1,1,1,1,1,2
A white leopard and a red castle.,1,0,0,1,1,1,1,3
A blue skyscraper and a yellow sports ball.,1,0,1,1,1,1,1,0
A blue skyscraper and a yellow sports ball.,1,0,1,1,1,1,1,1
A blue skyscraper and a yellow sports ball.,1,0,0,1,1,1,1,2
A blue skyscraper and a yellow sports ball.,0,0,1,1,1,1,1,3
A yellow maple tree and a white sheep.,0,1,0,0,0,1,0,0
A yellow maple tree and a white sheep.,0,0,0,1,1,1,1,1
A yellow maple tree and a white sheep.,0,0,0,1,0,1,1,2
A yellow maple tree and a white sheep.,0,0,0,1,0,1,1,3
A pink bench and an orange toaster.,0,0,0,0,0,0,0,0
A pink bench and an orange toaster.,0,0,0,0,0,0,1,1
A pink bench and an orange toaster.,0,0,0,0,0,0,1,2
A pink bench and an orange toaster.,0,0,0,0,0,0,1,3
A black bird and a green bear.,0,0,1,1,1,1,1,0
A black bird and a green bear.,1,1,1,1,1,1,1,1
A black bird and a green bear.,1,1,1,1,0,1,1,2
A black bird and a green bear.,0,1,1,1,1,1,1,3
A brown pizza and an orange bottle.,0,0,1,1,0,1,1,0
A brown pizza and an orange bottle.,1,0,1,0,1,1,1,1
A brown pizza and an orange bottle.,0,0,1,1,1,1,1,2
A brown pizza and an orange bottle.,0,1,1,1,1,1,1,3
A black forest and a purple bus.,0,0,1,1,0,1,1,0
A black forest and a purple bus.,0,0,1,1,1,1,1,1
A black forest and a purple bus.,0,0,1,1,0,1,1,2
A black forest and a purple bus.,0,0,1,1,1,0,1,3
A green porcupine and a black surfboard.,0,0,1,0,0,1,1,0
A green porcupine and a black surfboard.,0,0,1,0,1,1,1,1
A green porcupine and a black surfboard.,0,0,1,0,1,1,1,2
A green porcupine and a black surfboard.,0,0,0,0,1,1,1,3
A yellow wolf and a black teddy bear.,0,0,1,0,1,0,1,0
A yellow wolf and a black teddy bear.,0,1,0,0,0,1,1,1
A yellow wolf and a black teddy bear.,0,1,1,0,0,1,1,2
A yellow wolf and a black teddy bear.,0,1,1,0,1,1,1,3
An orange maple tree and a purple vase.,0,0,1,0,1,1,1,0
An orange maple tree and a purple vase.,0,1,1,0,1,1,1,1
An orange maple tree and a purple vase.,0,1,1,0,1,1,1,2
An orange maple tree and a purple vase.,0,0,1,0,0,1,1,3
A blue table and a pink couch.,0,1,1,1,1,1,1,0
A blue table and a pink couch.,0,1,0,1,1,1,1,1
A blue table and a pink couch.,0,1,1,1,1,1,1,2
