prompt,3,7,11,15,19,23,seed
A carrot in a bag.,0,0,10,10,7,7.0,0.0
A carrot in a bag.,0,0,8,10,10,10.0,1.0
A carrot in a bag.,0,4,0,0,0,10.0,2.0
A carrot in a bag.,0,0,10,10,10,10.0,3.0
A cake in a bag.,0,0,1,6,5,1.0,0.0
A cake in a bag.,0,0,0,3,6,9.0,1.0
A cake in a bag.,1,1,1,0,5,5.0,2.0
A cake in a bag.,0,0,7,6,8,6.0,3.0
A fish in a backpack.,0,0,0,10,10,9.0,0.0
A fish in a backpack.,1,5,0,10,0,5.0,1.0
A fish in a backpack.,1,0,1,3,10,5.0,2.0
A fish in a backpack.,1,0,0,4,10,5.0,3.0
A knife in a truck.,0,0,0,0,0,10.0,0.0
A knife in a truck.,1,0,0,0,0,1.0,1.0
A knife in a truck.,1,0,10,0,1,2.0,2.0
A knife in a truck.,0,0,0,0,0,2.0,3.0
A parking meter in a microwave.,llf,llf,llf,llf,llf,5.0,0.0
A parking meter in a microwave.,llf,llf,llf,llf,llf,0.0,1.0
A parking meter in a microwave.,llf,llf,llf,llf,llf,3.0,2.0
A parking meter in a microwave.,llf,llf,llf,llf,llf,0.0,3.0
A tennis racket in a train.,llf,llf,llf,llf,llf,0.0,0.0
A tennis racket in a train.,llf,llf,llf,llf,llf,0.0,1.0
A tennis racket in a train.,llf,llf,llf,llf,llf,1.0,2.0
A tennis racket in a train.,llf,llf,llf,llf,llf,5.0,3.0
A dog in a tractor.,0,0,7,0,5,8.0,0.0
A dog in a tractor.,2,0,0,10,10,0.0,1.0
A dog in a tractor.,1,0,1,0,5,10.0,2.0
A dog in a tractor.,1,0,0,7,1,6.0,3.0
A bee in a bowl.,0,2,9,9,10,10.0,0.0
A bee in a bowl.,1,0,8,10,10,6.0,1.0
A bee in a bowl.,0,0,7,10,10,9.0,2.0
A bee in a bowl.,0,8,4,10,10,10.0,3.0
A vase in a tractor.,0,0,0,0,0,5.0,0.0
A vase in a tractor.,0,0,0,0,1,10.0,1.0
A vase in a tractor.,0,0,0,0,0,6.0,2.0
A vase in a tractor.,0,0,0,0,0,1.0,3.0
A can in a bus.,0,0,3,0,0,10.0,0.0
A can in a bus.,0,0,8,3,0,8.0,1.0
A can in a bus.,0,0,1,0,0,3.0,2.0
A can in a bus.,0,4,1,0,0,10.0,3.0
A laptop in a bag.,0,2,5,2,0,0.0,0.0
A laptop in a bag.,5,0,5,10,0,5.0,1.0
A laptop in a bag.,2,3,4,0,0,5.0,2.0
A laptop in a bag.,0,0,0,0,6,5.0,3.0
A vase in a bag.,llf,llf,llf,llf,llf,4.0,0.0
A vase in a bag.,llf,llf,llf,llf,llf,0.0,1.0
A vase in a bag.,llf,llf,llf,llf,llf,7.0,2.0
A vase in a bag.,llf,llf,llf,llf,llf,0.0,3.0
A skunk in an airplane.,0,0,0,0,0,8.0,0.0
A skunk in an airplane.,0,0,1,0,2,7.0,1.0
A skunk in an airplane.,0,1,0,10,0,6.0,2.0
A skunk in an airplane.,0,0,0,6,0,10.0,3.0
A man in an airplane.,1,1,0,10,3,10.0,0.0
A man in an airplane.,0,0,7,8,10,10.0,1.0
A man in an airplane.,4,0,0,0,8,10.0,2.0
A man in an airplane.,0,0,0,10,10,10.0,3.0
A bag in an airplane.,1,0,5,10,8,10.0,0.0
A bag in an airplane.,0,0,10,8,6,10.0,1.0
A bag in an airplane.,1,1,10,7,7,9.0,2.0
A bag in an airplane.,0,1,5,10,10,9.0,3.0
A caterpillar in a bag.,1,0,1,7,7,9.0,0.0
A caterpillar in a bag.,1,0,1,2,9,10.0,1.0
A caterpillar in a bag.,1,0,0,8,5,10.0,2.0
A caterpillar in a bag.,0,0,0,0,8,10.0,3.0
A boy in a truck.,1,1,5,4,0,7.0,0.0
A boy in a truck.,0,0,7,3,4,10.0,1.0
A boy in a truck.,0,0,5,0,0,10.0,2.0
A boy in a truck.,0,1,1,5,0,7.0,3.0
A sunflower in a bowl.,0,5,10,6,10,10.0,0.0
A sunflower in a bowl.,0,0,5,10,10,10.0,1.0
A sunflower in a bowl.,1,0,5,10,10,9.0,2.0
A sunflower in a bowl.,0,0,0,0,7,5.0,3.0
A hot dog in a microwave.,0,0,0,10,10,4.0,0.0
A hot dog in a microwave.,0,1,0,7,10,10.0,1.0
A hot dog in a microwave.,0,0,8,0,0,8.0,2.0
A hot dog in a microwave.,1,0,2,3,0,10.0,3.0
A dinosaur in a car.,0,0,0,0,10,8.0,0.0
A dinosaur in a car.,5,0,0,0,6,10.0,1.0
A dinosaur in a car.,0,0,0,7,5,8.0,2.0
A dinosaur in a car.,0,0,0,8,6,5.0,3.0
A shark in a microwave.,0,0,10,7,10,10.0,0.0
A shark in a microwave.,0,0,0,10,1,10.0,1.0
A shark in a microwave.,0,0,0,8,7,10.0,2.0
A shark in a microwave.,0,10,0,0,2,10.0,3.0
A poppy in a tractor.,1,1,0,3,4,6.0,0.0
A poppy in a tractor.,0,0,0,0,0,0.0,1.0
A poppy in a tractor.,0,0,0,0,5,4.0,2.0
A poppy in a tractor.,0,1,0,5,10,1.0,3.0
A beaver in a truck.,1,0,0,10,10,5.0,0.0
A beaver in a truck.,0,0,0,4,10,10.0,1.0
A beaver in a truck.,0,0,0,0,3,8.0,2.0
A beaver in a truck.,0,0,0,0,10,5.0,3.0
A laptop in a car.,0,2,0,0,0,10.0,0.0
A laptop in a car.,1,0,3,9,8,10.0,1.0
A laptop in a car.,0,0,0,0,0,10.0,2.0
A laptop in a car.,0,0,0,1,0,10.0,3.0
A butterfly in a train.,0,0,1,0,0,5.0,0.0
A butterfly in a train.,1,0,0,0,0,10.0,1.0
A butterfly in a train.,0,0,0,8,3,8.0,2.0
A butterfly in a train.,0,0,0,0,10,10.0,3.0
A fish in a bowl.,0,0,10,10,10,5.0,0.0
A fish in a bowl.,0,0,0,10,10,10.0,1.0
A fish in a bowl.,0,2,0,10,10,10.0,2.0
A fish in a bowl.,0,10,10,0,10,10.0,3.0
A pizza in a suitcase.,1,8,8,10,10,10.0,0.0
A pizza in a suitcase.,1,7,10,10,10,10.0,1.0
A pizza in a suitcase.,0,5,10,5,8,10.0,2.0
A pizza in a suitcase.,1,1,9,5,10,1.0,3.0
A sunflower in a bus.,0,0,0,6,8,1.0,0.0
A sunflower in a bus.,0,0,6,10,10,10.0,1.0
A sunflower in a bus.,0,0,0,5,3,10.0,2.0
A sunflower in a bus.,0,0,6,1,10,10.0,3.0
A sports ball in an oven.,0,0,0,10,0,5.0,0.0
A sports ball in an oven.,0,0,0,10,1,10.0,1.0
A sports ball in an oven.,0,0,2,0,1,10.0,2.0
A sports ball in an oven.,0,0,0,10,10,10.0,3.0
A tennis racket in a refrigerator.,0,0,0,0,0,9.0,0.0
A tennis racket in a refrigerator.,0,0,0,6,0,10.0,1.0
A tennis racket in a refrigerator.,0,0,0,0,0,9.0,2.0
A tennis racket in a refrigerator.,0,0,0,0,0,10.0,3.0
A girl in a car.,0,2,0,10,4,10.0,0.0
A girl in a car.,0,0,1,10,10,10.0,1.0
A girl in a car.,0,0,0,8,8,10.0,2.0
A girl in a car.,0,2,0,10,10,10.0,3.0
A snowboard in a suitcase.,0,4,8,8,4,7.0,0.0
A snowboard in a suitcase.,1,1,0,10,0,10.0,1.0
A snowboard in a suitcase.,1,2,6,5,0,5.0,2.0
A snowboard in a suitcase.,0,0,0,4,10,10.0,3.0
A girl in an airplane.,0,2,0,9,2,10.0,0.0
