prompt,3,7,11,15,19,23,seed
A photo of a Beagle.,0,0,10,8,10,10,0
A photo of a Beagle.,0,0,8,10,10,10,1
A photo of a Beagle.,1,9,10,8,10,8,2
A photo of a Beagle.,0,0,10,8,10,10,3
A photo of a German Shepherd.,0,10,10,10,10,10,0
A photo of a German Shepherd.,5,10,10,10,10,10,1
A photo of a German Shepherd.,0,8,10,10,10,10,2
A photo of a German Shepherd.,0,10,10,10,10,10,3
A photo of a Labrador Retriever.,0,8,5,8,8,10,0
A photo of a Labrador Retriever.,0,7,4,10,8,10,1
A photo of a Labrador Retriever.,0,10,10,10,8,10,2
A photo of a Labrador Retriever.,2,10,10,10,10,10,3
A photo of a Dachshund.,0,8,10,10,10,10,0
A photo of a Dachshund.,0,10,10,10,10,10,1
A photo of a Dachshund.,0,10,10,9,10,10,2
A photo of a Dachshund.,0,10,8,10,10,10,3
A photo of a Bulldog.,5,8,6,10,7,10,0
A photo of a Bulldog.,0,0,5,10,8,10,1
A photo of a Bulldog.,0,6,10,10,7,10,2
A photo of a Bulldog.,0,6,10,9,8,10,3
A photo of a Ragdoll.,0,0,8,5,8,10,0
A photo of a Ragdoll.,4,0,7,10,10,10,1
A photo of a Ragdoll.,0,0,0,0,7,10,2
A photo of a Ragdoll.,0,0,0,9,10,10,3
A photo of a Kangaroo.,0,5,6,8,10,10,0
A photo of a Kangaroo.,0,2,8,10,10,10,1
A photo of a Kangaroo.,0,2,10,8,10,10,2
A photo of a Kangaroo.,0,6,8,10,10,10,3
A photo of a Chicken.,0,0,0,0,10,10,0
A photo of a Chicken.,3,0,3,0,10,10,1
A photo of a Chicken.,0,0,0,0,10,10,2
A photo of a Chicken.,0,0,0,8,10,10,3
A photo of an Owl.,2,1,10,10,10,10,0
A photo of an Owl.,5,3,10,10,10,10,1
A photo of an Owl.,5,10,10,0,10,10,2
A photo of an Owl.,10,7,8,10,10,10,3
A photo of an Eagle.,0,4,0,10,10,10,0
A photo of an Eagle.,2,0,8,10,10,10,1
A photo of an Eagle.,0,5,5,10,10,10,2
A photo of an Eagle.,1,8,7,10,10,9,3
A photo of a Salmon.,0,0,8,7,10,10,0
A photo of a Salmon.,4,8,5,9,10,10,1
A photo of a Salmon.,4,7,0,10,7,10,2
A photo of a Salmon.,9,0,3,5,10,10,3
A photo of a Catfish.,1,0,10,10,10,10,0
A photo of a Catfish.,4,6,9,10,10,10,1
A photo of a Catfish.,6,2,8,8,10,10,2
A photo of a Catfish.,0,2,0,8,10,10,3
A photo of a Cod.,0,0,10,10,10,10,0
A photo of a Cod.,0,0,0,8,10,10,1
A photo of a Cod.,0,0,0,7,7,10,2
A photo of a Cod.,2,0,5,10,10,10,3
A photo of an Orca.,0,0,10,10,10,10,0
A photo of an Orca.,0,10,9,10,10,10,1
A photo of an Orca.,0,5,7,10,10,10,2
A photo of an Orca.,0,0,8,10,10,10,3
A photo of a Komodo dragon.,0,8,8,10,10,10,0
A photo of a Komodo dragon.,0,10,10,8,9,10,1
A photo of a Komodo dragon.,0,7,10,10,9,10,2
A photo of a Komodo dragon.,4,5,10,10,10,10,3
A photo of a King cobra.,0,0,7,10,10,10,0
A photo of a King cobra.,0,0,8,10,10,10,1
A photo of a King cobra.,0,1,3,6,10,10,2
A photo of a King cobra.,0,0,0,10,9,9,3
A photo of a Platypus.,0,0,5,7,5,10,0
A photo of a Platypus.,0,0,2,0,10,10,1
A photo of a Platypus.,0,2,0,0,0,10,2
A photo of a Platypus.,0,0,0,0,10,7,3
A photo of a Narwhal.,0,0,3,0,10,0,0
A photo of a Narwhal.,0,0,0,5,1,0,1
A photo of a Narwhal.,0,0,2,4,10,0,2
A photo of a Narwhal.,0,0,1,0,0,1,3
A photo of an Ostrich.,0,0,8,10,8,10,0
A photo of an Ostrich.,1,0,8,0,10,10,1
A photo of an Ostrich.,0,0,0,2,8,10,2
A photo of an Ostrich.,1,0,0,10,10,10,3
A photo of a cougar.,2,0,6,10,10,10,0
A photo of a cougar.,0,0,5,10,10,10,1
A photo of a cougar.,0,0,0,10,8,10,2
A photo of a cougar.,0,0,0,8,10,10,3
