prompt,0,4,8,12,16,20,24,seed
A donut on a suitcase.,0,1,0,0,1,10,10,0
A donut on a suitcase.,1,0,7,0,0,10,10,1
A donut on a suitcase.,0,0,0,0,2,8,10,2
A donut on a suitcase.,0,2,0,0,10,0,10,3
A telephone on a refrigerator.,0,5,8,6,10,8,10,0
A telephone on a refrigerator.,0,2,10,2,10,8,10,1
A telephone on a refrigerator.,0,0,10,9,8,7,10,2
A telephone on a refrigerator.,0,1,10,10,10,2,10,3
A bottle on a tractor.,0,1,1,10,10,1,7,0
A bottle on a tractor.,0,0,8,10,8,10,8,1
A bottle on a tractor.,0,1,0,7,10,10,10,2
A bottle on a tractor.,0,0,1,8,4,0,8,3
A cake on a mountain.,0,2,2,2,10,10,7,0
A cake on a mountain.,10,1,1,10,0,2,7,1
A cake on a mountain.,7,4,0,1,10,7,10,2
A cake on a mountain.,10,0,2,8,7,10,7,3
A book on a bed.,0,10,10,10,10,10,10,0
A book on a bed.,0,0,10,10,10,10,10,1
A book on a bed.,0,6,10,10,10,10,10,2
A book on a bed.,10,10,10,8,10,10,10,3
A surfboard on a pickup truck.,0,1,10,8,10,10,8,0
A surfboard on a pickup truck.,0,2,10,8,10,8,7,1
A surfboard on a pickup truck.,1,4,10,10,10,2,10,2
A surfboard on a pickup truck.,8,4,10,10,10,8,10,3
A leopard on a tank.,0,2,10,10,10,10,10,0
A leopard on a tank.,0,0,10,10,10,10,10,1
A leopard on a tank.,0,8,10,10,10,10,7,2
A leopard on a tank.,0,3,10,10,10,10,10,3
A zebra on a bridge.,0,4,10,10,8,2,10,0
A zebra on a bridge.,0,0,10,3,2,7,10,1
A zebra on a bridge.,0,1,10,10,10,10,10,2
A zebra on a bridge.,0,2,10,10,10,0,7,3
A kite on a mountain.,7,7,10,5,2,8,7,0
A kite on a mountain.,1,7,4,2,7,7,8,1
A kite on a mountain.,0,1,7,8,2,7,2,2
A kite on a mountain.,10,0,7,0,7,10,10,3
A kangaroo on a suitcase.,0,2,10,0,7,10,2,0
A kangaroo on a suitcase.,0,0,10,10,5,10,10,1
A kangaroo on a suitcase.,0,0,8,0,0,10,8,2
A kangaroo on a suitcase.,0,1,0,0,10,8,10,3
A mushroom on a cloud.,10,7,1,0,7,1,10,0
A mushroom on a cloud.,5,2,0,1,7,10,10,1
A mushroom on a cloud.,2,1,7,10,10,10,10,2
