prompt,3,7,11,15,19,23,seed
A carrot in a bag.,1,10,10,10,10,10.0,0.0
A carrot in a bag.,0,0,10,10,10,10.0,1.0
A carrot in a bag.,0,7,0,0,0,10.0,2.0
A carrot in a bag.,0,10,10,10,10,10.0,3.0
A cake in a bag.,0,0,1,8,10,7.0,0.0
A cake in a bag.,0,0,0,7,7,9.0,1.0
A cake in a bag.,2,2,6,5,6,10.0,2.0
A cake in a bag.,0,0,9,6,9,8.0,3.0
A fish in a backpack.,2,0,0,10,10,10.0,0.0
A fish in a backpack.,4,5,0,10,10,10.0,1.0
A fish in a backpack.,2,1,5,3,10,10.0,2.0
A fish in a backpack.,2,0,0,5,10,10.0,3.0
A knife in a truck.,0,10,10,10,10,10.0,0.0
A knife in a truck.,6,10,0,0,10,10.0,1.0
A knife in a truck.,5,10,10,10,10,10.0,2.0
A knife in a truck.,0,10,10,0,10,10.0,3.0
A parking meter in a microwave.,llf,llf,llf,llf,llf,8.0,0.0
A parking meter in a microwave.,llf,llf,llf,llf,llf,10.0,1.0
A parking meter in a microwave.,llf,llf,llf,llf,llf,3.0,2.0
A parking meter in a microwave.,llf,llf,llf,llf,llf,10.0,3.0
A tennis racket in a train.,llf,llf,llf,llf,llf,10.0,0.0
A tennis racket in a train.,llf,llf,llf,llf,llf,0.0,1.0
A tennis racket in a train.,llf,llf,llf,llf,llf,10.0,2.0
A tennis racket in a train.,llf,llf,llf,llf,llf,10.0,3.0
A dog in a tractor.,0,10,10,10,10,10.0,0.0
A dog in a tractor.,5,10,10,10,10,8.0,1.0
A dog in a tractor.,4,10,5,0,10,10.0,2.0
A dog in a tractor.,5,8,0,10,10,10.0,3.0
A bee in a bowl.,0,3,8,9,10,10.0,0.0
A bee in a bowl.,5,8,8,10,10,10.0,1.0
A bee in a bowl.,1,0,8,10,10,8.0,2.0
A bee in a bowl.,0,8,5,10,10,10.0,3.0
A vase in a tractor.,0,0,10,10,10,8.0,0.0
A vase in a tractor.,5,10,8,10,6,10.0,1.0
A vase in a tractor.,2,6,0,0,10,10.0,2.0
A vase in a tractor.,3,0,9,1,10,1.0,3.0
A can in a bus.,0,0,5,10,10,10.0,0.0
A can in a bus.,0,0,8,4,0,10.0,1.0
A can in a bus.,0,10,2,10,0,4.0,2.0
A can in a bus.,1,4,1,10,0,10.0,3.0
A laptop in a bag.,0,4,10,10,10,0.0,0.0
A laptop in a bag.,8,0,7,10,10,10.0,1.0
A laptop in a bag.,5,5,10,10,10,10.0,2.0
A laptop in a bag.,2,10,10,10,8,8.0,3.0
A vase in a bag.,llf,llf,llf,llf,llf,5.0,0.0
A vase in a bag.,llf,llf,llf,llf,llf,0.0,1.0
A vase in a bag.,llf,llf,llf,llf,llf,5.0,2.0
A vase in a bag.,llf,llf,llf,llf,llf,0.0,3.0
A skunk in an airplane.,0,0,0,10,10,8.0,0.0
