prompt,0,4,8,12,16,20,24,seed
Many different colorful flowers are on a table.,7,2,5,6,4,5,5,0
Many different colorful flowers are on a table.,0,5,4,0,5,7,0,1
Many different colorful flowers are on a table.,4,2,4,6,10,7,0,2
Many different colorful flowers are on a table.,0,4,9,3,6,7,6,3
A few different animals are in the wild.,3,0,5,1,3,1,0,0
A few different animals are in the wild.,1,0,5,2,1,0,7,1
A few different animals are in the wild.,1,0,5,0,5,2,3,2
A few different animals are in the wild.,2,0,1,5,2,2,4,3
a white stove is next to a window,0,2,0,5,10,5,9,0
a white stove is next to a window,0,0,0,0,6,8,10,1
a white stove is next to a window,0,0,0,6,8,10,10,2
a white stove is next to a window,0,0,7,6,10,9,7,3
A rectangular shaped pizza is on a wooden board.,0,5,7,6,7,7,10,0
A rectangular shaped pizza is on a wooden board.,0,0,6,4,6,7,10,1
A rectangular shaped pizza is on a wooden board.,0,0,4,2,1,7,10,2
A rectangular shaped pizza is on a wooden board.,0,0,6,7,5,4,10,3
"A slim, modern fridge is next to some clean, sleek cabinets. ",0,3,4,9,4,7,7,0
"A slim, modern fridge is next to some clean, sleek cabinets. ",5,4,9,7,7,10,9,1
"A slim, modern fridge is next to some clean, sleek cabinets. ",0,3,7,9,10,9,7,2
"A slim, modern fridge is next to some clean, sleek cabinets. ",4,0,9,10,6,6,9,3
Apples of green and red are in white baskets.,0,1,5,0,1,0,10,0
Apples of green and red are in white baskets.,0,0,0,2,1,0,1,1
Apples of green and red are in white baskets.,5,1,5,5,3,5,10,2
Apples of green and red are in white baskets.,0,3,3,5,3,7,8,3
A large empty silver kitchen is under construction.,0,2,5,2,5,5,7,0
A large empty silver kitchen is under construction.,0,2,4,6,2,5,4,1
A large empty silver kitchen is under construction.,0,3,5,6,2,6,4,2
A large empty silver kitchen is under construction.,4,0,6,6,5,8,5,3
The young boy is on the boat navigating it.,4,5,10,4,7,4,10,0
The young boy is on the boat navigating it.,0,4,8,7,10,4,7,1
The young boy is on the boat navigating it.,0,8,10,7,10,10,7,2
The young boy is on the boat navigating it.,5,6,10,7,4,7,10,3
Three brown bananas are by a measuring glass.,1,0,0,0,0,0,10,0
Three brown bananas are by a measuring glass.,0,0,0,6,3,0,4,1
Three brown bananas are by a measuring glass.,0,0,0,0,0,0,4,2
Three brown bananas are by a measuring glass.,0,0,0,1,0,0,4,3
a clock is on a white tower outside,6,7,10,9,10,7,10,0
a clock is on a white tower outside,0,6,10,6,4,9,10,1
a clock is on a white tower outside,0,5,9,10,9,10,5,2
a clock is on a white tower outside,0,8,7,9,10,7,9,3
