prompt,3,7,11,15,19,23,seed
a herd of elephants all grouped up together.,0,3,7,8,10,10,0
a herd of elephants all grouped up together.,1,0,6,10,9,10,1
a herd of elephants all grouped up together.,0,7,8,8,8,10,2
a herd of elephants all grouped up together.,0,6,7,7,6,10,3
a pizza well made in a brown box.,1,6,8,9,10,10,0
a pizza well made in a brown box.,3,9,8,6,7,10,1
a pizza well made in a brown box.,0,6,5,8,8,10,2
a pizza well made in a brown box.,2,0,10,8,10,10,3
people sitting together while holding onto skiis.,10,8,10,8,10,10,0
people sitting together while holding onto skiis.,5,10,10,10,10,10,1
people sitting together while holding onto skiis.,5,10,10,0,10,10,2
people sitting together while holding onto skiis.,0,10,10,10,10,10,3
two bears in the water and one is growling.,1,5,5,10,10,10,0
two bears in the water and one is growling.,5,7,10,8,5,10,1
two bears in the water and one is growling.,2,10,8,7,10,10,2
two bears in the water and one is growling.,1,6,6,10,10,10,3
a very long river moving in a big forest.,2,0,0,7,7,8,0
a very long river moving in a big forest.,1,0,7,7,7,8,1
a very long river moving in a big forest.,0,0,6,10,8,9,2
a very long river moving in a big forest.,4,4,5,7,9,8,3
A little girl holding a Nintendo Wii game controller.,0,6,9,3,10,10,0
A little girl holding a Nintendo Wii game controller.,5,5,10,5,10,10,1
A little girl holding a Nintendo Wii game controller.,5,7,6,5,10,10,2
A little girl holding a Nintendo Wii game controller.,0,6,7,5,10,10,3
this is a woman cleaning a public restroom.,0,8,0,10,7,10,0
this is a woman cleaning a public restroom.,4,0,8,10,8,10,1
this is a woman cleaning a public restroom.,0,5,10,8,10,8,2
this is a woman cleaning a public restroom.,0,0,10,10,10,8,3
there is a white dog playing with a green apple.,0,5,9,10,8,10,0
there is a white dog playing with a green apple.,0,5,8,8,10,10,1
there is a white dog playing with a green apple.,0,8,8,10,10,10,2
there is a white dog playing with a green apple.,0,8,10,10,8,10,3
A cat that is sitting on some cushions.,0,10,8,10,10,10,0
A cat that is sitting on some cushions.,0,8,10,10,10,10,1
A cat that is sitting on some cushions.,0,5,10,0,10,10,2
A cat that is sitting on some cushions.,0,10,10,10,10,10,3
A white toilet sitting next to a wooden cabinet.,3,0,10,10,10,10,0
A white toilet sitting next to a wooden cabinet.,0,0,9,10,10,10,1
A white toilet sitting next to a wooden cabinet.,0,0,10,8,10,10,2
A white toilet sitting next to a wooden cabinet.,0,0,10,8,10,9,3
There is a black bird perched on wood.,0,0,0,8,9,10,0
There is a black bird perched on wood.,5,0,8,8,8,8,1
There is a black bird perched on wood.,0,0,10,10,10,10,2
There is a black bird perched on wood.,4,0,10,8,8,10,3
A man in a white tie smiles while posing.,6,0,8,10,8,10,0
A man in a white tie smiles while posing.,5,7,10,8,10,10,1
A man in a white tie smiles while posing.,6,0,10,8,9,7,2
A man in a white tie smiles while posing.,5,8,6,10,10,10,3
many different sinks near one another with mirrors,1,8,8,8,0,8,0
